
[00:00:00.000 --> 00:00:03.480]  今年是年初二
[00:00:03.480 --> 00:00:05.600]  祝福大家新年蒙福
[00:00:05.600 --> 00:00:10.120]  從歲首到年中都夢夜和華的看顧保守
[00:00:10.120 --> 00:00:11.320]  在新的一年裏面
[00:00:11.320 --> 00:00:13.720]  不知道大家有沒有新的期盼
[00:00:13.720 --> 00:00:16.480]  新的計劃和新的立志
[00:00:16.480 --> 00:00:21.360]  我記得我剛剛來香港的時候
[00:00:21.360 --> 00:00:23.480]  我發覺香港原來隨即晚上
[00:00:23.480 --> 00:00:26.240]  有一個很特別的事情會發生
[00:00:26.240 --> 00:00:28.440]  當然在大家身上是不會見到的
[00:00:28.440 --> 00:00:31.000]  就是在電視裏面見到很多市民
[00:00:31.000 --> 00:00:37.720]  會去黃大仙排隊爭著上頭柱香
[00:00:37.720 --> 00:00:40.520]  去祈求神靈保守他們有身體健康
[00:00:40.520 --> 00:00:41.880]  萬事如意
[00:00:41.880 --> 00:00:45.320]  甚至是財運亨通
[00:00:45.320 --> 00:00:46.720]  我見到這個畫面的時候
[00:00:46.720 --> 00:00:48.000]  我就在想
[00:00:48.000 --> 00:00:49.520]  一年之守
[00:00:49.520 --> 00:00:51.680]  作為基督徒
[00:00:51.680 --> 00:00:55.200]  我們和他們有什麼不同的地方呢?
[00:00:55.200 --> 00:00:57.760]  我們同樣求神賜下祝福
[00:00:57.760 --> 00:01:00.880]  我們都希望成為蒙福的子民
[00:01:00.880 --> 00:01:03.880]  但是在一年之守
[00:01:03.880 --> 00:01:05.040]  比起祈福
[00:01:05.040 --> 00:01:06.440]  比起祈求福氣
[00:01:06.440 --> 00:01:09.440]  更加重要更加寶貴的是
[00:01:09.440 --> 00:01:13.600]  我們可以向神獻上什麼禮物
[00:01:13.600 --> 00:01:15.880]  我們新的計劃新的立志裏面
[00:01:15.880 --> 00:01:21.640]  應該是我們怎樣向神去作出一個獻情
[00:01:21.640 --> 00:01:23.360]  在神的面前
[00:01:23.360 --> 00:01:27.840]  不單止停留在向神求什麼
[00:01:27.840 --> 00:01:29.040]  而更加重要的是
[00:01:29.040 --> 00:01:33.400]  我們可以向神獻上什麼禮物
[00:01:33.400 --> 00:01:34.960]  在《肥納比書》裏面
[00:01:34.960 --> 00:01:36.600]  最常出現的詞語
[00:01:36.600 --> 00:01:40.160]  最受人關注的詞語就是「喜樂」
[00:01:40.160 --> 00:01:43.560]  它的名詞和動詞加起來有十六次
[00:01:43.560 --> 00:01:45.480]  保羅在這卷書信裏面
[00:01:45.480 --> 00:01:48.800]  強調的是一個屬基督的喜樂的生命
[00:01:48.800 --> 00:01:51.960]  到底是一個怎樣的生命
[00:01:51.960 --> 00:01:54.840]  適逢我們現在讀《肥納比書》
[00:01:54.840 --> 00:01:56.440]  也是年初的時間
[00:01:56.440 --> 00:01:57.680]  會不會我們思想到
[00:01:57.680 --> 00:01:59.280]  在接下來一年的時間
[00:01:59.280 --> 00:02:01.800]  我們向神獻上的禮物
[00:02:01.800 --> 00:02:05.680]  會不會就是一份喜樂的生命呢?
[00:02:05.680 --> 00:02:10.520]  我們會不會更多被喜樂所充滿呢?
[00:02:10.520 --> 00:02:12.040]  《肥納比書》第四章的內容
[00:02:12.040 --> 00:02:13.360]  幫助我們思想
[00:02:13.360 --> 00:02:17.320]  怎樣才可以實踐一個喜樂的生命
[00:02:17.320 --> 00:02:20.160]  上星期我們聽到
[00:02:20.160 --> 00:02:23.640]  講到「人生不如意事十有八九」
[00:02:23.640 --> 00:02:25.480]  的確在很多事情裏面
[00:02:25.480 --> 00:02:27.960]  我們感覺在處境裏面
[00:02:27.960 --> 00:02:29.840]  我們很難去喜樂
[00:02:29.840 --> 00:02:32.520]  成為我們喜樂的挑戰
[00:02:32.520 --> 00:02:34.880]  今日的經文都提到兩處的地方
[00:02:34.880 --> 00:02:37.480]  是對我們的挑戰
[00:02:37.480 --> 00:02:40.880]  第一個就是不如意的人際關係
[00:02:40.880 --> 00:02:43.280]  講到裏面有兩位姊妹
[00:02:43.280 --> 00:02:46.560]  她們很有可能和保羅
[00:02:46.560 --> 00:02:48.920]  她剛剛去到肥納比這個城市的時候
[00:02:48.920 --> 00:02:50.400]  去傳福音的時候
[00:02:50.400 --> 00:02:52.400]  帶領她們信主
[00:02:52.400 --> 00:02:56.280]  然後她們很熱心地和保羅一起同工
