
[00:00:00.000 --> 00:00:02.680]  我們再回到哥倫多的時候
[00:00:02.680 --> 00:00:05.320]  你記得哥倫多是一個怎樣的世界
[00:00:05.320 --> 00:00:07.680]  很大很大的城市
[00:00:07.680 --> 00:00:10.160]  很繁華的世界
[00:00:10.160 --> 00:00:11.400]  很多錢
[00:00:11.400 --> 00:00:14.000]  其實你記得
[00:00:14.000 --> 00:00:17.080]  如果保羅在哥倫多前書第一章就說
[00:00:17.080 --> 00:00:21.200]  當時在哥倫多教會里面的人不是出身很高的
[00:00:21.200 --> 00:00:22.960]  全部都是比較低微的
[00:00:22.960 --> 00:00:26.400]  但是你出身低微不代表你不想高攀
[00:00:26.400 --> 00:00:28.080]  你明白我的意思嗎
[00:00:28.160 --> 00:00:31.400]  我們都說藍領白領都是想做金領的
[00:00:31.400 --> 00:00:34.640]  所以我說你低與高
[00:00:34.640 --> 00:00:37.400]  其實個個在哥倫多就是想攀上去
[00:00:37.400 --> 00:00:39.240]  所以從這個角度來說
[00:00:39.240 --> 00:00:42.960]  我覺得哥倫多教會和香港是很相似的
[00:00:42.960 --> 00:00:46.160]  這兩個城市都很自由很繁華
[00:00:46.160 --> 00:00:50.240]  而這兩個城市裏面最大的引誘
[00:00:50.240 --> 00:00:54.520]  整個文化就是金錢情慾和地位
[00:00:54.520 --> 00:00:56.560]  你發覺哥倫多教會里面
[00:00:56.560 --> 00:01:00.520]  大部分所有的問題都是出於這三樣東西
[00:01:00.520 --> 00:01:02.360]  都是和這些東西有關係的
[00:01:02.360 --> 00:01:08.240]  我還沒帶你進入看那些經文之前
[00:01:08.240 --> 00:01:10.920]  我想給你一點看一個視頻
[00:01:10.920 --> 00:01:13.280]  如果你聽過我教的東西
[00:01:13.280 --> 00:01:17.360]  你知道有時候我會給你看一個叫The Bible Project
[00:01:17.360 --> 00:01:18.840]  你可以去YouTube那裏找
[00:01:18.840 --> 00:01:20.160]  叫The Bible Project
[00:01:20.160 --> 00:01:22.440]  它將每一本新約舊約的書
[00:01:22.440 --> 00:01:25.440]  變成七八分鐘的濃縮版
[00:01:25.520 --> 00:01:27.840]  其實它做了很多神學功夫
[00:01:27.840 --> 00:01:29.680]  不過我就不建議你去看
[00:01:29.680 --> 00:01:34.040]  因爲它通常九成對一成不對
[00:01:34.040 --> 00:01:35.960]  但是你不知道那一成在哪裏
[00:01:35.960 --> 00:01:38.920]  你看了你中了招都不知道發生什麼事
[00:01:38.920 --> 00:01:43.080]  它又有人將它變成廣東話版
[00:01:43.080 --> 00:01:45.240]  但是它裏面有些資料是很好的
[00:01:45.240 --> 00:01:47.600]  我給你看一兩分鐘
[00:01:47.600 --> 00:01:52.920]  這個是哥倫多前書的引言介紹
[00:01:54.120 --> 00:01:58.240]  哥倫多前書基本上是保羅斯比較模式式的教會羣體
[00:01:58.240 --> 00:02:01.400]  哥倫多是古代世界上主要的港口城市
[00:02:01.400 --> 00:02:03.760]  也有超多的希臘羅馬神院
[00:02:03.760 --> 00:02:06.080]  它是一個超龐大的金庫中心
[00:02:06.080 --> 00:02:09.080]  所以很多人貪生來到這裏做書教
[00:02:09.080 --> 00:02:11.720]  它花了一年半那麼久在這裏認識本地人
[00:02:11.720 --> 00:02:13.080]  他們知道關於耶穌
[00:02:13.080 --> 00:02:15.600]  它就在一大陣子成爲了耶穌的領導
[00:02:15.600 --> 00:02:18.040]  它就形成了一大班的教會羣體
[00:02:18.040 --> 00:02:20.240]  你可以在歷史團隊主題十八章裏面
[00:02:20.240 --> 00:02:24.720]  看完這些,過一陣子保羅斯就過了半個其他的城市建立教會
[00:02:24.720 --> 00:02:26.600]  他就開始收到一些小報告
[00:02:26.600 --> 00:02:29.160]  說哥倫多這些教會形成了一個神
[00:02:29.160 --> 00:02:32.240]  擺在他面前就是不同的問題組成的大災
[00:02:32.240 --> 00:02:34.440]  這個就是《連家的歷史》這封信
[00:02:34.440 --> 00:02:36.600]  它可以分成五個主要的部分
