
[00:00:00.000 --> 00:00:02.000]  各位弟弟姊妹晚安
[00:00:02.000 --> 00:00:04.000]  我們一起祈禱
[00:00:04.000 --> 00:00:06.000]  天父我們仰望你
[00:00:06.000 --> 00:00:08.000]  當我們
[00:00:08.000 --> 00:00:10.000]  真是歌頌你
[00:00:10.000 --> 00:00:12.000]  讚美你的時候
[00:00:12.000 --> 00:00:14.000]  祈求主你給我們的生命都成為
[00:00:14.000 --> 00:00:16.000]  那個你討你喜悅
[00:00:16.000 --> 00:00:18.000]  的活祭
[00:00:18.000 --> 00:00:20.000]  讓我們能夠可以生命更生而變化
[00:00:20.000 --> 00:00:22.000]  也幫助孩子講解
[00:00:22.000 --> 00:00:24.000]  你的話語清楚
[00:00:24.000 --> 00:00:26.000]  我們因著你的話語
[00:00:26.000 --> 00:00:28.000]  就是成為我們改變生命的理由
[00:00:28.000 --> 00:00:30.000]  多謝主
[00:00:30.000 --> 00:00:32.000]  我們的禱告是奉耶穌基督命求
[00:00:32.000 --> 00:00:34.000]  阿們
[00:00:34.000 --> 00:00:36.000]  今天的講道我們就會繼續
[00:00:36.000 --> 00:00:38.000]  延續爾創亞書
[00:00:38.000 --> 00:00:40.000]  四首僕人之歌的第二首
[00:00:40.000 --> 00:00:42.000]  第二首其實就
[00:00:42.000 --> 00:00:44.000]  記載在爾創亞書的四十九章
[00:00:44.000 --> 00:00:46.000]  第一到第六節
[00:00:46.000 --> 00:00:48.000]  的經文裏面
[00:00:48.000 --> 00:00:50.000]  我一開頭就打算引用
[00:00:50.000 --> 00:00:52.000]  兩位學者
[00:00:52.000 --> 00:00:54.000]  這兩位學者可能真的幫助你
[00:00:54.000 --> 00:00:56.000]  去到研讀這四首的僕人之歌
[00:00:56.000 --> 00:00:58.000]  首先我們明白
[00:00:58.000 --> 00:01:00.000]  原來由第四十章
[00:01:00.000 --> 00:01:02.000]  去到五十五章
[00:01:02.000 --> 00:01:04.000]  通常那些人就稱這
[00:01:04.000 --> 00:01:06.000]  十幾章的經文
[00:01:06.000 --> 00:01:08.000]  就是來自一個先知的手筆
[00:01:08.000 --> 00:01:10.000]  那個先知我們不知道他的名字
[00:01:10.000 --> 00:01:12.000]  是哪一個
[00:01:12.000 --> 00:01:14.000]  但是我們在學術界裏面就作了個名字
[00:01:14.000 --> 00:01:16.000]  給他,他的名字就叫做
[00:01:16.000 --> 00:01:18.000]  第二爾創亞
[00:01:18.000 --> 00:01:20.000]  你聽到這個第二爾創亞
[00:01:20.000 --> 00:01:22.000]  你就看下去你就會問
[00:01:22.000 --> 00:01:24.000]  爾創亞書不是爾創亞
[00:01:24.000 --> 00:01:26.000]  寫的嗎?為什麼會有個第二
[00:01:26.000 --> 00:01:28.000]  爾創亞在裏面呢?
[00:01:28.000 --> 00:01:30.000]  因為古代的
[00:01:30.000 --> 00:01:32.000]  作者觀和我們現代真的
[00:01:32.000 --> 00:01:34.000]  有些不同,現代例如
[00:01:34.000 --> 00:01:36.000]  《色驚色出火》是高明謙
[00:01:36.000 --> 00:01:38.000]  寫的,大家買了沒有?真的要買
[00:01:38.000 --> 00:01:40.000]  那你買了之後
[00:01:40.000 --> 00:01:42.000]  你不會想裏面的內容不是
