
[00:00:00.000 --> 00:00:04.400]  各位大英姐妹,眨眼又一日啦,又一齊睇聖經啦
[00:00:04.400 --> 00:00:08.200]  今日嘅題目就《因為他們坦然無懼》
[00:00:08.200 --> 00:00:14.000]  呢個題目我諗咗好耐,因為嗰段經文就有好多好嘅內容
[00:00:14.000 --> 00:00:16.400]  咁呢就有第二個題目我都好想揀嘅
[00:00:16.400 --> 00:00:20.800]  不過呢我就最後用呢個《因為他們坦然無懼》
[00:00:20.800 --> 00:00:23.400]  呢四個字呢今日就送畀大家
[00:00:23.400 --> 00:00:27.800]  因為坦然無懼呢做人嚟講都真係好重要嘅
[00:00:27.800 --> 00:00:33.400]  有坦然無懼呢幾個字會令到我哋發揮到更加大嘅力量
[00:00:33.400 --> 00:00:39.200]  更加好嘅,嗰啲潛質盡量釋放,而且壓力比較細
[00:00:39.200 --> 00:00:42.400]  希望大家都能夠坦然無懼嘅
[00:00:42.400 --> 00:00:46.400]  生命樹同大家一齊讀聖經,今日聖經人、聖經事
[00:00:46.400 --> 00:00:49.400]  睇下聖經背後上帝嘅作為
[00:00:49.400 --> 00:00:53.200]  先睇呢一個地圖先,呢個地圖呢
[00:00:53.200 --> 00:01:00.600]  我就著時機搵唔到,不過呢就搵返瓦角同耳塑嘅地圖畀大家睇下
[00:01:00.600 --> 00:01:03.800]  略為呢就介紹下兩個地方
[00:01:03.800 --> 00:01:08.800]  一個叫梭角,一個叫比奴伊勒
[00:01:08.800 --> 00:01:11.800]  比奴伊勒呢大家可能聽得多啲熟啲啦
[00:01:11.800 --> 00:01:16.000]  比奴伊勒記唔記得呢,就係瓦角喺呢個瓦博道口
[00:01:16.000 --> 00:01:21.800]  就預備一陣遲啲明天就會見到嗰個耳塑㗎啦
[00:01:21.800 --> 00:01:24.200]  咁就大家分別咗幾十年
[00:01:24.200 --> 00:01:28.200]  咁好想見返哥哥向佢賠罪嘅耳塑真係
[00:01:28.200 --> 00:01:30.800]  係瓦角真係好想同佢哥哥認罪
[00:01:30.800 --> 00:01:36.200]  係我當日呃咗你個長子名分又真係唔好呀咁樣
[00:01:36.200 --> 00:01:38.600]  咁呢就不過好驚
[00:01:38.600 --> 00:01:44.600]  因為而家我已經有老有嫩有曬我嘅家當牛羊無數
[00:01:44.600 --> 00:01:48.800]  咁而哥哥耳塑呢亦都係
[00:01:48.800 --> 00:01:53.000]  喺呢個所以嘅地方呢佢已經係好有錢
[00:01:53.000 --> 00:01:55.000]  亦都好大族
[00:01:55.000 --> 00:02:01.600]  咁呢就一派人去話哎呀哥哥你嘅弟弟瓦角想搵你
[00:02:01.600 --> 00:02:03.400]  就見返面喎
