
[00:00:00.000 --> 00:00:03.000]  好,我們一起禱告。
[00:00:03.000 --> 00:00:07.000]  當頂智慕安靜下來的時候,
[00:00:07.000 --> 00:00:10.000]  讓我們闖開我們的心懷,
[00:00:10.000 --> 00:00:15.000]  將我們生命所有的重擔都卸給我們的上主。
[00:00:15.000 --> 00:00:19.000]  我們生命是很脆弱,
[00:00:19.000 --> 00:00:23.000]  但是神又告訴我們,我們的生命是很寶貴。
[00:00:23.000 --> 00:00:28.000]  我們雖然很渺小,很多的瑕疵,很多的弱點,
[00:00:28.000 --> 00:00:34.000]  但是上帝他都樂意去愛我們,去揀選我們,
[00:00:34.000 --> 00:00:38.000]  甚至去使用我們,成為貴重的器皿。
[00:00:38.000 --> 00:00:40.000]  主求你幫助我們,
[00:00:40.000 --> 00:00:44.000]  叫我們在你面前願意去向你馴服,
[00:00:44.000 --> 00:00:46.000]  願意去給你改造,
[00:00:46.000 --> 00:00:50.000]  因為你的心意原本就是要我們成為完美,
[00:00:50.000 --> 00:00:53.000]  好像神一樣那麼完全,一樣那麼完美。
[00:00:53.000 --> 00:00:56.000]  求你讓我們不要輕看自己的生命,
[00:00:56.000 --> 00:01:00.000]  但是叫我們在神面前好好地成長,
[00:01:00.000 --> 00:01:04.000]  成為合乎神你所喜悅的生命。
[00:01:04.000 --> 00:01:07.000]  求你祝福我們,聽我們祈禱奉耶穌基督的聖名。
[00:01:07.000 --> 00:01:15.000]  有兩節的聖經,請PowerPoint幫我解禁出來,
[00:01:15.000 --> 00:01:18.000]  以蔡學書的一章十八節,
[00:01:18.000 --> 00:01:22.000]  還有詩篇的五十一篇第六和第七節,
[00:01:22.000 --> 00:01:24.000]  以蔡學書一章十八節,
[00:01:24.000 --> 00:01:26.000]  有沒有見到?
[00:01:26.000 --> 00:01:29.000]  我們一起讀,以蔡學書一章第十八,預備起!
[00:01:29.000 --> 00:01:34.000]  我們讀完詩篇五十一篇六七,預備起!
[00:01:34.000 --> 00:01:38.000]  兩節聖經都講到,
[00:01:38.000 --> 00:01:42.000]  神去和那些屬神的人去辯論,
[00:01:42.000 --> 00:01:44.000]  祂說:來,我們一起辯論,
[00:01:44.000 --> 00:01:47.000]  祂說:你的罪須紅如丹顏,
[00:01:47.000 --> 00:01:52.000]  雖然好像朱紅一樣那麼深色,
[00:01:52.000 --> 00:01:54.000]  你可以比雪更白,
[00:01:54.000 --> 00:01:58.000]  雖然好像紅如丹顏,
[00:01:58.000 --> 00:02:00.000]  也可以白如羊毛。
[00:02:00.000 --> 00:02:02.000]  而詩篇那裡講到,
[00:02:02.000 --> 00:02:04.000]  祂說:神喜歡內裡靜寂,
[00:02:04.000 --> 00:02:07.000]  祂說:神求你用牛舌草潔淨我,
[00:02:07.000 --> 00:02:09.000]  我就能夠比雪更白。
[00:02:09.000 --> 00:02:12.000]  今天我們會從《創世紀》第三十八章,
[00:02:12.000 --> 00:02:15.000]  從尤大這個人物,
[00:02:15.000 --> 00:02:17.000]  看到神眼中的尤大,
[00:02:17.000 --> 00:02:21.000]  等一下你會在經文裡面看到一個一塔胡桃,
[00:02:21.000 --> 00:02:23.000]  如果你不認識他,
[00:02:23.000 --> 00:02:26.000]  都會覺得這個人怎麼會和神的家庭,
[00:02:26.000 --> 00:02:29.000]  一個屬神的家族有關係呢?
[00:02:29.000 --> 00:02:31.000]  聖經講到,
[00:02:31.000 --> 00:02:34.000]  神樂意要將我們罪人,
[00:02:34.000 --> 00:02:36.000]  從罪裡面拯救出來,
[00:02:36.000 --> 00:02:39.000]  不知道你生命有沒有經歷過被改變,
[00:02:39.000 --> 00:02:41.000]  最後神使用你。
[00:02:41.000 --> 00:02:43.000]  你有時會讀到一些聖經,
[00:02:43.000 --> 00:02:45.000]  講到耶穌基督的生命榜樣,
[00:02:45.000 --> 00:02:47.000]  講到使徒保羅,
[00:02:47.000 --> 00:02:51.000]  講到很多但爾利,耶利米,
[00:02:51.000 --> 00:02:54.000]  講到一些很偉大的人物,
[00:02:54.000 --> 00:02:57.000]  你會覺得這些人和我很遙遠,
[00:02:57.000 --> 00:03:01.000]  但今天聖經有另外一些生命的例子,
