
[00:00:00.000 --> 00:00:04.000]  愛情和婚姻不一定是互通和順利
[00:00:04.000 --> 00:00:09.000]  偶然在教會裏面我們比較好的家庭比較多
[00:00:09.000 --> 00:00:12.000]  當然不好的家庭不等於沒有成長的困難
[00:00:12.000 --> 00:00:14.000]  但偶然我們也知道也聽到
[00:00:14.000 --> 00:00:20.000]  甚至在感情問題甚至結婚問題裏有很多波折
[00:00:20.000 --> 00:00:22.000]  所以今天選擇的題目是
[00:00:22.000 --> 00:00:25.000]  逃避地獄式的愛情
[00:00:25.000 --> 00:00:27.000]  地獄式在現代字眼也很複雜
[00:00:27.000 --> 00:00:29.000]  有些人喜歡地獄是好的
[00:00:29.000 --> 00:00:32.000]  所以有什麼地獄火鍋就越來越興奮
[00:00:32.000 --> 00:00:35.000]  如果真的有一個地獄式的愛情
[00:00:35.000 --> 00:00:39.000]  興奮完之後可能會痛到超痛也不奇怪
[00:00:39.000 --> 00:00:41.000]  今天選擇了一個人物
[00:00:41.000 --> 00:00:44.000]  舊約人物阿比蓋
[00:00:44.000 --> 00:00:46.000]  她和丈夫的關係應該也一般般
[00:00:46.000 --> 00:00:52.000]  是一個傷痕很多或很艱難的婚姻故事
[00:00:52.000 --> 00:00:54.000]  今天經文比較散
[00:00:54.000 --> 00:00:58.000]  我讀給大家聽說這個故事的背景
[00:00:58.000 --> 00:01:01.000]  25週第一節講到的背景就是
[00:01:01.000 --> 00:01:03.000]  撒慕爾仙姿死了
[00:01:03.000 --> 00:01:08.000]  大衛當時被他的王素羅王逼白
[00:01:08.000 --> 00:01:11.000]  一個很好的一個為國家重力
[00:01:11.000 --> 00:01:13.000]  是王的女婿的大衛
[00:01:13.000 --> 00:01:17.000]  是無故因為嫉妒的緣故被素羅王逼白
[00:01:17.000 --> 00:01:20.000]  大衛當時曾經是希望撒慕爾幫到他
[00:01:20.000 --> 00:01:22.000]  但素羅王繼續逼白他
[00:01:22.000 --> 00:01:25.000]  對大衛來說這是人生裏的一個低谷
[00:01:25.000 --> 00:01:27.000]  大衛一直被素羅王逼白
[00:01:27.000 --> 00:01:30.000]  而這個長者仙姿也死了
[00:01:30.000 --> 00:01:32.000]  所以在他低谷的時候
[00:01:32.000 --> 00:01:35.000]  大衛去到巴蘭的曠野
[00:01:35.000 --> 00:01:38.000]  是當時南部最南部的地方
[00:01:38.000 --> 00:01:42.000]  我記得日治時期有嘉納
[00:01:42.000 --> 00:01:47.000]  大衛之派嘉納的南部地方
[00:01:47.000 --> 00:01:48.000]  去到第二節
[00:01:48.000 --> 00:01:51.000]  那裏有一個人很有錢
[00:01:51.000 --> 00:01:57.000]  當時古代錢有多少農產品或木畜有多少
[00:01:57.000 --> 00:01:59.000]  有三千個羊
[00:01:59.000 --> 00:02:00.000]  綿羊
[00:02:00.000 --> 00:02:01.000]  一千個山羊
[00:02:01.000 --> 00:02:02.000]  即是很有錢
[00:02:02.000 --> 00:02:06.000]  有少少已經接近像昔日說的若白那些很有錢的人
[00:02:06.000 --> 00:02:08.000]  在當地應該差不多
[00:02:08.000 --> 00:02:11.000]  我們香港的李嘉誠富大富翁
[00:02:11.000 --> 00:02:13.000]  到第三節說到的人物
[00:02:13.000 --> 00:02:15.000]  他的名字叫做拿白
[00:02:15.000 --> 00:02:17.000]  是嘉納族的人
[00:02:17.000 --> 00:02:20.000]  他的妻子是阿比蓋
[00:02:20.000 --> 00:02:23.000]  當你介紹他夫婦的時候很對比
[00:02:23.000 --> 00:02:25.000]  他的妻子叫阿比蓋
[00:02:25.000 --> 00:02:28.000]  聰明俊美
[00:02:28.000 --> 00:02:30.000]  原來希伯來文有三個詞
[00:02:30.000 --> 00:02:31.000]  good
[00:02:31.000 --> 00:02:32.000]  good understanding
[00:02:32.000 --> 00:02:34.000]  即是很有智慧很有聰明
[00:02:34.000 --> 00:02:37.000]  然後再加一字beautiful
[00:02:37.000 --> 00:02:39.000]  中國人以前笑女性
[00:02:39.000 --> 00:02:41.000]  女子
[00:02:41.000 --> 00:02:42.000]  無才
[00:02:42.000 --> 00:02:44.000]  便是德
[00:02:44.000 --> 00:02:49.000]  現在香港人見到女士很多都是上司
[00:02:49.000 --> 00:02:51.000]  但當代來說
[00:02:51.000 --> 00:02:56.000]  古代一個女子又聰明又有智慧又美麗
[00:02:56.000 --> 00:02:58.000]  何等好的妻子呢
[00:02:58.000 --> 00:03:00.000]  很難羨慕
[00:03:00.000 --> 00:03:01.000]  才德的婦人
[00:03:01.000 --> 00:03:02.000]  誰能得著呢
[00:03:02.000 --> 00:03:03.000]  得著過誰呢
[00:03:03.000 --> 00:03:05.000]  是拿白
[00:03:05.000 --> 00:03:08.000]  這個字有一個pick
[00:03:08.000 --> 00:03:09.000]  剛pick
[00:03:09.000 --> 00:03:11.000]  兇惡
[00:03:11.000 --> 00:03:12.000]  英文翻譯
[00:03:12.000 --> 00:03:14.000]  又harsh又evil
[00:03:14.000 --> 00:03:16.000]  即是evil這字
[00:03:16.000 --> 00:03:21.000]  又拳打腳踢又粗魯又惡
[00:03:21.000 --> 00:03:23.000]  你猜這樣的家庭
[00:03:23.000 --> 00:03:26.000]  假如你是一個阿比蓋
[00:03:26.000 --> 00:03:28.000]  又聰明又美麗
