
[00:00:00.000 --> 00:00:07.000]  大家好,我很高興有機會在光復堂與大家一起思想關於基督教的信仰
[00:00:07.000 --> 00:00:09.000]  這也是我自己很喜歡的
[00:00:09.000 --> 00:00:13.000]  教會提議我跟大家講福音
[00:00:13.000 --> 00:00:19.000]  福音的英文就是Gospel,簡單來說就是Good News,即是好消息
[00:00:19.000 --> 00:00:24.000]  究竟基督教有什麼信仰上的好消息呢?
[00:00:24.000 --> 00:00:29.000]  我自己因為多年來都是研究宗教的比較
[00:00:29.000 --> 00:00:36.000]  我對中國的宗教,尤其是中國的儒家思想,孔孟的儒家思想
[00:00:36.000 --> 00:00:44.000]  老莊的道家思想和中國的佛學,尤其是天台宗、花艷宗和禪宗
[00:00:44.000 --> 00:00:46.000]  我都有教這些科
[00:00:46.000 --> 00:00:51.000]  所以奇怪的地方,你今天站在這裡又講基督教
[00:00:51.000 --> 00:00:55.000]  是的,我覺得這些都是非常好的宗教,剛才講的那些
[00:00:55.000 --> 00:00:58.000]  都是安身立命很好的地方
[00:00:58.000 --> 00:01:00.000]  但是它不能夠取代基督教
[00:01:00.000 --> 00:01:04.000]  因為基督教有一些很獨特的地方是其他宗教沒有的
[00:01:04.000 --> 00:01:09.000]  我自己也很佩服,除了聖經之外
[00:01:09.000 --> 00:01:13.000]  有三本書我近期差不多每個星期都看一段
[00:01:13.000 --> 00:01:18.000]  一個就是《論語》,另外一個就是《莊子》,還有一本就是《六祖談經》
[00:01:18.000 --> 00:01:21.000]  這幾本書都幫我很多的啟發
[00:01:21.000 --> 00:01:24.000]  但是基督教有什麼特別呢?
[00:01:24.000 --> 00:01:29.000]  今天我就嘗試和大家講一下,為什麼我還站在這裡和大家講基督教
[00:01:29.000 --> 00:01:33.000]  因為我覺得基督教有一些東西是其他宗教不能夠給予的
[00:01:33.000 --> 00:01:35.000]  而那個就是對於你的一個好消息
[00:01:35.000 --> 00:01:39.000]  還有是願意和你一起來分享
[00:01:39.000 --> 00:01:41.000]  究竟基督教是怎樣的呢?
[00:01:41.000 --> 00:01:46.000]  我就弄了一些圖表,這裡是一個簡單的講義
[00:01:46.000 --> 00:01:49.000]  教開書的人都是找些東西畫畫的
[00:01:49.000 --> 00:01:52.000]  這個是我自己作的,自己想出來的
[00:01:52.000 --> 00:01:53.000]  這個圖很簡單的
[00:01:53.000 --> 00:01:56.000]  我嘗試用三分鐘講完基督教是什麼給大家聽
[00:01:56.000 --> 00:01:58.000]  三分鐘
[00:01:58.000 --> 00:02:02.000]  1,2,3,4,5,就是這五樣東西
[00:02:02.000 --> 00:02:04.000]  我覺得基督教是第一
[00:02:04.000 --> 00:02:12.000]  基督教告訴我們和相信宇宙有一位創造的主宰
[00:02:12.000 --> 00:02:14.000]  他是真的,他創造了這個宇宙
[00:02:14.000 --> 00:02:17.000]  並且創造了人類,你和我
[00:02:17.000 --> 00:02:21.000]  他不是創造了我們之後就丟了我們一邊,讓我們自生自滅
[00:02:21.000 --> 00:02:23.000]  他還是一個愛的上帝
[00:02:23.000 --> 00:02:25.000]  所以他創造了我們之後
[00:02:25.000 --> 00:02:30.000]  尤其是給人有一個很重要,也是最尊嚴的一個禮物
