
[00:00:00.000 --> 00:00:02.040]  因為沒有錢而煩惱
[00:00:02.040 --> 00:00:03.580]  甚至淪為盜賊
[00:00:03.580 --> 00:00:05.940]  以致遺憾終生的故事
[00:00:05.940 --> 00:00:07.240]  我們都聽得很多
[00:00:07.240 --> 00:00:10.240]  有一個做生意的人
[00:00:10.240 --> 00:00:13.820]  他在贏得2002年Notto彩票
[00:00:13.820 --> 00:00:17.920]  3億1400萬美金之後
[00:00:17.920 --> 00:00:22.520]  他起出望外地表示他崇高的理想
[00:00:22.520 --> 00:00:25.860]  他想要創立一個慈善基金
[00:00:25.860 --> 00:00:32.000]  讓曾經被遣散的員工有再度就業的機會
[00:00:32.000 --> 00:00:35.840]  而且要好好地善待他的家人
[00:00:35.840 --> 00:00:40.460]  這位原本已經富裕的商人對記者說
[00:00:40.460 --> 00:00:44.040]  他不會因為贏得這個巨額彩金
[00:00:44.040 --> 00:00:46.600]  而生活有所改變
[00:00:46.600 --> 00:00:48.900]  幾年之後
[00:00:48.900 --> 00:00:54.800]  一則跟進的報導揭示了這個故事有不同的結局
[00:00:54.800 --> 00:00:59.000]  自從得到歷來最大的彩金之後
[00:00:59.000 --> 00:01:02.740]  這個商人就捲入了一些法律的糾紛
[00:01:02.740 --> 00:01:04.280]  名譽掃地
[00:01:04.280 --> 00:01:10.420]  而他所有的身家都在賭博之中散盡了
[00:01:10.420 --> 00:01:14.260]  同樣是遺憾終生
[00:01:14.260 --> 00:01:17.320]  好多年前
[00:01:17.320 --> 00:01:21.160]  有一個名叫阿古爾的人
[00:01:21.160 --> 00:01:28.840]  神似他心思細膩早已經預料到這個可悲的結局
[00:01:28.840 --> 00:01:31.400]  並且寫了下來
[00:01:31.400 --> 00:01:35.500]  阿古爾他了解自己本性的軟弱
[00:01:35.500 --> 00:01:40.360]  並且意識到擁有太多或者太少
[00:01:40.360 --> 00:01:43.940]  都會令人落入險境
[00:01:43.940 --> 00:01:46.500]  他這樣寫
[00:01:46.500 --> 00:01:52.640]  他說我比眾人更蠢笨也沒有人的聰明
[00:01:52.640 --> 00:01:57.260]  我沒有學好智慧也不認識自性者
[00:01:57.260 --> 00:01:59.820]  誰升天又降下來
[00:01:59.820 --> 00:02:02.620]  誰聚風在掌握中
[00:02:02.620 --> 00:02:05.440]  誰包水在衣服裡
[00:02:05.440 --> 00:02:08.260]  誰立定地的四極
[00:02:08.260 --> 00:02:09.800]  他明叫什麼
[00:02:09.800 --> 00:02:11.840]  他而指明叫什麼
[00:02:11.840 --> 00:02:14.920]  你知道嗎
[00:02:14.920 --> 00:02:18.500]  神的言語句句都是念靜的
[00:02:18.500 --> 00:02:20.300]  投靠他的
[00:02:20.300 --> 00:02:23.360]  他便作他們的盾牌
[00:02:23.360 --> 00:02:26.180]  他的言語你不可加添
[00:02:26.180 --> 00:02:28.480]  恐怕他責備你
[00:02:28.480 --> 00:02:33.600]  你就顯為說謊言的
[00:02:33.600 --> 00:02:38.720]  特別為了這樣他謙卑禱告說
[00:02:38.720 --> 00:02:40.520]  我求你兩件事
[00:02:40.520 --> 00:02:42.320]  在我未死之先
[00:02:42.320 --> 00:02:45.640]  不要不賜給我
[00:02:45.640 --> 00:02:49.240]  求你使虛假和謊言遠離我
[00:02:49.240 --> 00:02:53.080]  使我也不貧窮也不富足
[00:02:53.080 --> 00:02:57.420]  賜給我需用的飲食
[00:02:57.420 --> 00:02:59.480]  恐怕我飽足不認你
[00:02:59.480 --> 00:03:02.280]  說夜禍話是誰呢
[00:03:02.280 --> 00:03:05.360]  又恐怕我貧窮就偷竊
[00:03:05.360 --> 00:03:09.720]  以至褻瀆我神的命
[00:03:09.720 --> 00:03:12.020]  剛才讀的這段經文
[00:03:12.020 --> 00:03:18.680]  記載在《真言》第30章1到9節
[00:03:18.680 --> 00:03:20.980]  阿古爾他明白
[00:03:20.980 --> 00:03:22.520]  因為我們的軟弱
[00:03:22.520 --> 00:03:26.100]  所以無論是富貴或者貧窮
[00:03:26.100 --> 00:03:29.680]  都會使我們陷入試探
[00:03:29.680 --> 00:03:33.520]  為此我們要小心提防
[00:03:33.520 --> 00:03:37.100]  因此我們需要依靠上帝
[00:03:37.100 --> 00:03:41.960]  因為他教導我們這樣禱告
[00:03:41.960 --> 00:03:44.020]  我們日用的飲食
[00:03:44.020 --> 00:03:47.860]  今日賜給我們
[00:03:47.860 --> 00:03:53.220]  富有的人可以因為不滿足而貧困
[00:03:53.220 --> 00:03:59.880]  貧困的人可以因為知足而富有
[00:03:59.880 --> 00:04:01.680]  主耶穌教我們的主通文
[00:04:01.680 --> 00:04:09.620]  我跟大家分享過 內容是 一個稱呼加三個願望
[00:04:09.620 --> 00:04:16.280]  加三個祈求 加一個重贊
[00:04:16.280 --> 00:04:20.620]  上幾次已經跟大家講了三個願望
[00:04:20.620 --> 00:04:25.480]  第一個是 願人都尊你的名為聖
[00:04:25.480 --> 00:04:31.120]  第二個是 願你的國降臨
[00:04:31.120 --> 00:04:35.220]  第三個願望 願神的旨意
[00:04:35.220 --> 00:04:39.820]  行在地上如同行在天上
[00:04:39.820 --> 00:04:43.420]  這三個願望都是和神有關係
[00:04:43.420 --> 00:04:45.820]  都是祈求神的國 神的義
[00:04:45.820 --> 00:04:50.060]  和神的旨意可以實行在這個世界
[00:04:50.060 --> 00:04:55.700]  讓我們過著在地若天的生活
[00:04:55.700 --> 00:05:00.300]  天在人間 人在天上
[00:05:00.300 --> 00:05:04.140]  享受與神同在的喜樂
[00:05:04.140 --> 00:05:08.740]  與神同行的屬靈品質
[00:05:08.740 --> 00:05:14.640]  這些願望都是我們禱告必須祈求的
[00:05:14.640 --> 00:05:18.220]  先求神的國和神的義
[00:05:18.220 --> 00:05:22.060]  是這三個願望的重點
[00:05:22.060 --> 00:05:26.920]  然後再為我們自己的生活祈求
[00:05:26.920 --> 00:05:31.020]  所以主祷文提醒我們 禱告的次序
[00:05:31.020 --> 00:05:36.400]  是先為神 後為自己
[00:05:36.400 --> 00:05:39.460]  在一個漫天風雪的早上
[00:05:39.460 --> 00:05:43.820]  有一班牧師正在教堂裏面開研討會
[00:05:43.820 --> 00:05:47.900]  他們在討論如何在教會帶領
[00:05:47.900 --> 00:05:51.500]  鼓勵會眾參與傳福音的時工
[00:05:51.500 --> 00:05:54.060]  他們個個都是身經百戰的
[00:05:54.060 --> 00:05:57.140]  每個都有他一套的板斧
