
[00:00:00.000 --> 00:00:04.440]  最近聽人分享過一件這樣的事
[00:00:04.440 --> 00:00:05.920]  有一位年青人
[00:00:05.920 --> 00:00:07.280]  他分享的時候都頗強調
[00:00:07.280 --> 00:00:09.120]  他是一個大學生
[00:00:09.120 --> 00:00:12.200]  可能說他也是有讀過書的人
[00:00:12.200 --> 00:00:16.360]  他在一些連鎖的快餐店買飯
[00:00:16.360 --> 00:00:18.240]  他想叫一個飯餐
[00:00:18.240 --> 00:00:20.840]  這個飯餐原來他設定了
[00:00:20.840 --> 00:00:23.600]  本身是跟一個紅米飯
[00:00:23.600 --> 00:00:24.480]  於是他就問
[00:00:24.480 --> 00:00:27.040]  可不可以轉做白飯
[00:00:27.040 --> 00:00:30.320]  但店員就表示這些飯餐公司
[00:00:30.320 --> 00:00:33.600]  已經定了規矩上是不能轉的
[00:00:33.600 --> 00:00:36.920]  於是這個年青人就大怒大吵
[00:00:36.920 --> 00:00:38.120]  就在那裏問
[00:00:38.120 --> 00:00:40.600]  為何不能轉?為何不可以?
[00:00:40.600 --> 00:00:44.160]  找個能說話的人出來跟我說話
[00:00:44.160 --> 00:00:47.480]  吵了很久都解決不了這個問題
[00:00:47.480 --> 00:00:51.600]  因為我相信這類大集團經營的快餐店
[00:00:51.600 --> 00:00:53.880]  我想不是說一些前線員工
[00:00:53.880 --> 00:00:57.400]  說轉就轉,不是說這麼容易說得出
[00:00:57.400 --> 00:01:00.160]  而場面就是後面的人
[00:01:00.160 --> 00:01:01.680]  條龍越來越長
[00:01:01.680 --> 00:01:04.360]  等得很不耐煩,亦有些鼓嘈
[00:01:04.360 --> 00:01:06.920]  場面亦都很尷尬
[00:01:06.920 --> 00:01:10.080]  其實我想反映意見當然是可以
[00:01:10.080 --> 00:01:12.880]  但是否一定要用一種大吵大鬧
[00:01:12.880 --> 00:01:17.200]  這種模式,發怒氣的方法
[00:01:17.200 --> 00:01:21.200]  才可以叫人去尊重你的意見呢?
[00:01:21.200 --> 00:01:22.760]  不過我想這一類的事
[00:01:22.760 --> 00:01:25.000]  可能你們都見怪不怪
[00:01:25.000 --> 00:01:28.640]  因為現在投訴的文化是非常氾濫
[00:01:28.640 --> 00:01:30.760]  可能你都說這些類似的事
[00:01:30.760 --> 00:01:35.000]  常常在我身邊都聽過或發生過
[00:01:35.000 --> 00:01:36.200]  但我們都會想
[00:01:36.200 --> 00:01:40.160]  其實反映意見本身並不是一件錯事
[00:01:40.160 --> 00:01:43.000]  問題是如果我們真的想反映意見
[00:01:43.000 --> 00:01:45.800]  作為基督徒,在處事上
[00:01:45.800 --> 00:01:47.960]  尤其是在一些態度上
[00:01:47.960 --> 00:01:49.880]  我們究竟怎樣表達
[00:01:49.880 --> 00:01:54.120]  你覺得才會更加合乎神的心意呢?
[00:01:54.120 --> 00:02:00.040]  這個就不像我們剛才聽到的例子
[00:02:00.040 --> 00:02:05.200]  是否要這樣才可以讓人聽意見呢?
[00:02:05.200 --> 00:02:07.360]  今日我們這個經文都很希望
[00:02:07.360 --> 00:02:11.600]  教導我們和這個世代所看的數法不同
[00:02:11.600 --> 00:02:16.440]  以致我們都可以活出一個基督徒的見證
[00:02:16.440 --> 00:02:19.880]  而這一季我們都是看《針研》
[00:02:19.880 --> 00:02:21.880]  在《針研書》裏面
[00:02:21.880 --> 00:02:26.360]  我們發現我們通常都會好像剛剛看那一段
[00:02:26.360 --> 00:02:28.800]  是用一種這樣的表達方式
[00:02:28.800 --> 00:02:31.200]  就是一個對比
[00:02:31.200 --> 00:02:33.000]  我們見到有智慧人
[00:02:33.000 --> 00:02:35.440]  和一些不合神心意的人當中
[00:02:35.440 --> 00:02:38.360]  包括有表達有些洩漫人
[00:02:38.360 --> 00:02:42.440]  一些漁網人或者一些好流人血的人
[00:02:42.440 --> 00:02:46.600]  我們兩者的行為要做一個很強烈的對比
[00:02:46.600 --> 00:02:48.920]  以致我們更加容易分別出
[00:02:48.920 --> 00:02:51.880]  如果一個充滿屬神智慧的人
[00:02:51.880 --> 00:02:55.800]  應有的是甚麼態度和行為呢?
[00:02:55.800 --> 00:02:59.440]  而最終智慧人亦都必定可以得到
[00:02:59.440 --> 00:03:02.880]  從神而來的福氣
[00:03:02.880 --> 00:03:06.000]  我們可以看回經文上
[00:03:06.000 --> 00:03:08.040]  在29章第8節
[00:03:08.040 --> 00:03:13.360]  裏面說「洩漫人攝獲通食
[00:03:13.360 --> 00:03:16.720]  智慧人止息眾怒」
[00:03:16.720 --> 00:03:19.560]  意思可以解作一些高傲的人
[00:03:19.560 --> 00:03:22.440]  專門喜歡用煽氣鬥爭
[00:03:22.440 --> 00:03:26.000]  亦都滿足他的權力慾一方面
[00:03:26.000 --> 00:03:28.240]  而智慧人他的處理方法
[00:03:28.240 --> 00:03:30.760]  就是一般都會顧全大局
[00:03:30.760 --> 00:03:34.360]  設法消除這些紛爭
[00:03:34.360 --> 00:03:37.400]  「洩漫人」亦都可以譯作一些「譏詔」的人
[00:03:37.400 --> 00:03:38.840]  意思即是一些高傲
[00:03:38.840 --> 00:03:40.600]  看不起其他人的人
[00:03:40.600 --> 00:03:43.320]  只是想表現自己
[00:03:43.320 --> 00:03:45.040]  如果我們可以想到
[00:03:45.040 --> 00:03:46.960]  在我們的群體裏面
[00:03:46.960 --> 00:03:48.720]  真的有這種人的話
[00:03:48.720 --> 00:03:51.720]  相信一定有很多的紛爭
[00:03:51.720 --> 00:03:53.680]  而我們亦都不小心
[00:03:53.680 --> 00:03:58.640]  亦都容易被捲入爭吵和紛爭的漩渦裏面
[00:03:58.640 --> 00:04:02.520]  「煽惑通食」原來指使城市著火
[00:04:02.520 --> 00:04:04.720]  即是被火燒毀
[00:04:04.720 --> 00:04:09.280]  好像《針研》其實有另一些地方有類似的意思
[00:04:09.280 --> 00:04:12.400]  譬如在《針研》的二十六章
[00:04:12.400 --> 00:04:13.800]  有一節說
[00:04:13.800 --> 00:04:16.960]  「好真敬的人煽惑爭端
[00:04:16.960 --> 00:04:21.240]  就如如火加炭 火上加柴一樣」
[00:04:21.240 --> 00:04:24.960]  只是為了挑起一些不滿
[00:04:24.960 --> 00:04:28.680]  「煽漫人」他會嘲笑正義挑起爭端
[00:04:28.680 --> 00:04:30.560]  但是「智慧人」怎樣呢?
[00:04:30.560 --> 00:04:33.000]  即是盡量會平息怒氣
[00:04:33.000 --> 00:04:35.640]  亦都好像另一段的《針研》
[00:04:35.640 --> 00:04:38.520]  另一節的《針研》十五章十八節所說
[00:04:38.520 --> 00:04:41.160]  「暴露的人挑起爭端
[00:04:41.160 --> 00:04:44.920]  引路的人自釋紛爭」
[00:04:44.920 --> 00:04:47.040]  接著第八節之後的第九節那裏說
[00:04:47.040 --> 00:04:49.120]  「智慧人與慾望人相爭
[00:04:49.120 --> 00:04:53.880]  或怒或笑 總不能使他自釋」
[00:04:53.880 --> 00:04:56.280]  「智慧人和慾望人上到法庭」
[00:04:56.280 --> 00:04:59.080]  這裡說到上到法庭的時候
[00:04:59.080 --> 00:05:02.480]  而慾望人那種或笑或怒的態度
[00:05:02.480 --> 00:05:07.560]  總不能夠願意和人和平地和解
[00:05:07.560 --> 00:05:10.800]  所以當這些訴訟去到法庭的時候
[00:05:10.800 --> 00:05:12.760]  相信就真的很煩惱
[00:05:12.760 --> 00:05:14.320]  如果你遇到這些人
[00:05:14.320 --> 00:05:16.440]  他會用不同的方法都可以
[00:05:16.440 --> 00:05:20.080]  但是偏偏不和你和平和解
