
[00:00:00.000 --> 00:00:03.220]  今次的主題是「有大有細」
[00:00:03.220 --> 00:00:05.920]  究竟是講什麼呢?
[00:00:05.920 --> 00:00:12.000]  是講「原來神創造人」
[00:00:12.000 --> 00:00:14.000]  每一個人都要經歷
[00:00:14.000 --> 00:00:16.440]  從小到大
[00:00:16.440 --> 00:00:18.900]  然後到中年人到老年人這個階段
[00:00:18.900 --> 00:00:20.900]  每一個人都要經歷
[00:00:20.900 --> 00:00:23.480]  但是不是有些人說
[00:00:23.480 --> 00:00:25.280]  小朋友是沒用的
[00:00:25.280 --> 00:00:26.840]  小朋友什麼都不懂
[00:00:26.840 --> 00:00:28.360]  只是吵吵鬧鬧
[00:00:28.360 --> 00:00:29.900]  女兒長大了
[00:00:29.900 --> 00:00:31.140]  長大了就沒有了
[00:00:31.140 --> 00:00:33.140]  小朋友才有能力
[00:00:33.140 --> 00:00:35.140]  長大了我們就很忙
[00:00:35.140 --> 00:00:36.640]  做不到事
[00:00:36.640 --> 00:00:38.640]  中年人長大了
[00:00:38.640 --> 00:00:40.640]  很多事情要後悔
[00:00:40.640 --> 00:00:42.640]  不停地後悔
[00:00:42.640 --> 00:00:44.640]  然後到老年的時候
[00:00:44.640 --> 00:00:46.640]  你會說我還是沒用的
[00:00:46.640 --> 00:00:48.640]  骨頭都打鼓了
[00:00:48.640 --> 00:00:50.640]  整天都是這樣
[00:00:50.640 --> 00:00:52.640]  你的人生就是這樣過去
[00:00:52.640 --> 00:00:57.520]  你沒辦法看到神給你看到的
[00:00:57.520 --> 00:00:59.520]  那個視野
[00:00:59.520 --> 00:01:01.520]  神想你做的事情
[00:01:01.520 --> 00:01:03.520]  你沒辦法看到
[00:01:03.520 --> 00:01:05.520]  原來在不同的年紀
[00:01:05.520 --> 00:01:07.520]  不同的時間
[00:01:07.520 --> 00:01:09.520]  神都會用你
[00:01:09.520 --> 00:01:11.520]  並且神會讓你更加
[00:01:11.520 --> 00:01:13.520]  在祂的心意裏走
[00:01:13.520 --> 00:01:15.520]  然後神會大大的賜福給你
[00:01:15.520 --> 00:01:17.520]  當你去聽祂說
