
[00:00:00.000 --> 00:00:02.840]  我們一直在講一個短的系列
[00:00:02.840 --> 00:00:04.360]  是講女性的侍奉
[00:00:04.360 --> 00:00:06.360]  我們從不同的經文出發
[00:00:06.360 --> 00:00:08.360]  來思考這個問題
[00:00:08.360 --> 00:00:10.360]  我們曾經講過
[00:00:10.360 --> 00:00:12.360]  聖經裏面應該怎樣看
[00:00:12.360 --> 00:00:14.720]  女性的侍奉
[00:00:14.720 --> 00:00:18.480]  還有社會裏面有不同的
[00:00:18.480 --> 00:00:20.960]  宗派有不同的聲音等等
[00:00:20.960 --> 00:00:23.960]  我們應該在這些經文裏面怎樣去處理
[00:00:23.960 --> 00:00:25.960]  這是一個很切身的問題
[00:00:25.960 --> 00:00:28.360]  因為教會總是有男有女的
[00:00:28.360 --> 00:00:32.600]  甚至很多教會都是女性比較多於男性
[00:00:32.600 --> 00:00:34.600]  對嗎
[00:00:34.600 --> 00:00:36.600]  我們UV不知為何
[00:00:36.600 --> 00:00:39.600]  我們是五五的
[00:00:39.600 --> 00:00:41.600]  多年來都是
[00:00:41.600 --> 00:00:44.600]  不是女性特別多於男性
[00:00:44.600 --> 00:00:46.600]  就是男女的均勻
[00:00:46.600 --> 00:00:48.600]  都是平衡得不錯
[00:00:48.600 --> 00:00:50.600]  不知道這是誰的功勞
[00:00:50.600 --> 00:00:52.600]  我也不太清楚
[00:00:52.600 --> 00:00:54.600]  是上帝差派的人
[00:00:54.600 --> 00:00:57.600]  所以我們未必有這種問題
[00:00:57.600 --> 00:00:59.600]  我曾經去過一些教會
[00:00:59.600 --> 00:01:01.600]  整個小組
[00:01:01.600 --> 00:01:03.600]  十個人或十二個人的小組
[00:01:03.600 --> 00:01:05.600]  有一個男生在那裏
[00:01:05.600 --> 00:01:07.600]  然後有十一個女生
[00:01:07.600 --> 00:01:09.600]  好像蝴蝶一樣
[00:01:09.600 --> 00:01:11.600]  飛來飛去
[00:01:11.600 --> 00:01:13.600]  是有些不同的
[00:01:13.600 --> 00:01:15.600]  但是是一個切身的問題
[00:01:15.600 --> 00:01:17.600]  因為普遍的教會裏面
[00:01:17.600 --> 00:01:19.600]  是有很多女士和姐妹
[00:01:19.600 --> 00:01:21.600]  在那裏合作和建立教會
[00:01:21.600 --> 00:01:23.600]  所以他們真的功不可沒
[00:01:23.600 --> 00:01:25.600]  但很多時候我們看聖經的時候
[00:01:25.600 --> 00:01:27.600]  我們有個感覺
[00:01:27.600 --> 00:01:29.600]  就是以男為上
[00:01:29.600 --> 00:01:31.600]  或者以男為主導
[00:01:31.600 --> 00:01:33.600]  不知道大家有沒有這樣的感覺
[00:01:33.600 --> 00:01:35.600]  在聖經裏面從頭到尾
[00:01:35.600 --> 00:01:37.600]  如果你去看
[00:01:37.600 --> 00:01:39.600]  留意一下
[00:01:39.600 --> 00:01:41.600]  有沒有一些信心的人物
[00:01:41.600 --> 00:01:43.600]  聖經裏面的人物
[00:01:43.600 --> 00:01:45.600]  是不是很多都是男人
[00:01:45.600 --> 00:01:47.600]  你想想
[00:01:47.600 --> 00:01:49.600]  有誰
[00:01:49.600 --> 00:01:51.600]  你想到的大部分都是男人
[00:01:51.600 --> 00:01:53.600]  阿伯拉罕是不是男人
[00:01:53.600 --> 00:01:55.600]  以撒瓦國
[00:01:55.600 --> 00:01:57.600]  十二眾子十二支派之父
[00:01:57.600 --> 00:01:59.600]  然後摩西
[00:01:59.600 --> 00:02:01.600]  大衛索羅門
[00:02:01.600 --> 00:02:03.600]  這些全部都是男人的名字
[00:02:03.600 --> 00:02:05.600]  對不對
[00:02:05.600 --> 00:02:07.600]  好像很奇怪
[00:02:07.600 --> 00:02:09.600]  其實一點都不奇怪
[00:02:09.600 --> 00:02:11.600]  因為當時的社會當時的文化
[00:02:11.600 --> 00:02:13.600]  是屬於這種的
[00:02:13.600 --> 00:02:15.600]  習俗
[00:02:15.600 --> 00:02:17.600]  男為上男在外
[00:02:17.600 --> 00:02:19.600]  女在內
[00:02:19.600 --> 00:02:21.600]  所以很多時候
[00:02:21.600 --> 00:02:23.600]  由年輕的時候到現在
[00:02:23.600 --> 00:02:25.600]  在教會裏面去講
[00:02:25.600 --> 00:02:27.600]  聖經裏面
[00:02:27.600 --> 00:02:29.600]  舊屬歷史的推展
[00:02:29.600 --> 00:02:31.600]  那個工作的進展
[00:02:31.600 --> 00:02:33.600]  由創世直到基督
[00:02:33.600 --> 00:02:35.600]  然後再到新天新地
[00:02:35.600 --> 00:02:37.600]  你見到那個timeline
[00:02:37.600 --> 00:02:39.600]  由左邊
[00:02:39.600 --> 00:02:41.600]  創世與人的半變墮落
[00:02:41.600 --> 00:02:43.600]  到族長的時期
[00:02:43.600 --> 00:02:45.600]  出埃及
[00:02:45.600 --> 00:02:47.600]  然後出了埃及他們在四十年在曠野
[00:02:47.600 --> 00:02:49.600]  然後他們先入主迦南
[00:02:49.600 --> 00:02:51.600]  然後才定居在迦南
[00:02:51.600 --> 00:02:53.600]  對不對
[00:02:53.600 --> 00:02:55.600]  然後到王國的時代
[00:02:55.600 --> 00:02:57.600]  王國分裂了
[00:02:57.600 --> 00:02:59.600]  然後北國滅南國又被滅
[00:02:59.600 --> 00:03:01.600]  然後他們大部分被老巴比倫
[00:03:01.600 --> 00:03:03.600]  然後就回歸
[00:03:03.600 --> 00:03:05.600]  回歸回來的時候
[00:03:05.600 --> 00:03:07.600]  就等這位彌賽亞基督
[00:03:07.600 --> 00:03:09.600]  耶穌基督來到
[00:03:09.600 --> 00:03:11.600]  這個就已經
[00:03:11.600 --> 00:03:13.600]  涵蓋了整個的
[00:03:13.600 --> 00:03:15.600]  舊約新約的
[00:03:15.600 --> 00:03:17.600]  整個的歷史
[00:03:17.600 --> 00:03:19.600]  或者整個的救贖的計劃
[00:03:19.600 --> 00:03:21.600]  中間那裡
[00:03:21.600 --> 00:03:23.600]  我們很多時候聽到的就是
[00:03:23.600 --> 00:03:25.600]  這個故事裡面由頭到尾
[00:03:25.600 --> 00:03:27.600]  所謂英雄人物
[00:03:27.600 --> 00:03:29.600]  所謂那些神用的人
[00:03:29.600 --> 00:03:31.600]  就是下面那些
[00:03:31.600 --> 00:03:33.600]  阿布拉罕爾薩亞國
[00:03:33.600 --> 00:03:35.600]  摩西約書亞帶領
[00:03:35.600 --> 00:03:37.600]  以色列人進入迦南
[00:03:37.600 --> 00:03:39.600]  然後有士司的時代
[00:03:39.600 --> 00:03:41.600]  大部分的士司都是男人
[00:03:41.600 --> 00:03:43.600]  然後大衛之前是素羅
[00:03:43.600 --> 00:03:45.600]  後面就是索羅門等等
[00:03:45.600 --> 00:03:47.600]  然後他們被老回歸
[00:03:47.600 --> 00:03:49.600]  就是以斯拉
[00:03:49.600 --> 00:03:51.600]  尼希米
[00:03:51.600 --> 00:03:53.600]  然後到耶穌呼召十二個門徒
[00:03:53.600 --> 00:03:55.600]  都是男人
[00:03:55.600 --> 00:03:57.600]  這個就是下面我們通常留意到的
[00:03:57.600 --> 00:04:01.600]  上面我們很少留意的
[00:04:01.600 --> 00:04:03.600]  原來每一個關鍵的地方
[00:04:03.600 --> 00:04:05.600]  你看到有轉折
[00:04:05.600 --> 00:04:07.600]  這個聖經歷史有轉折的時候
[00:04:07.600 --> 00:04:09.600]  關鍵的人物
[00:04:09.600 --> 00:04:11.600]  往往就是女士
[00:04:11.600 --> 00:04:13.600]  你有沒有留意過
[00:04:13.600 --> 00:04:15.600]  由人的叛變開始
[00:04:15.600 --> 00:04:17.600]  然後上帝有一個應許
[00:04:17.600 --> 00:04:19.600]  就是給一個女人的後裔
[00:04:19.600 --> 00:04:21.600]  然後她可以
[00:04:21.600 --> 00:04:23.600]  戰勝邪惡
[00:04:23.600 --> 00:04:25.600]  女人的後裔
[00:04:25.600 --> 00:04:27.600]  女人的後裔
[00:04:27.600 --> 00:04:29.600]  然後到族長時期過了
[00:04:29.600 --> 00:04:31.600]  以色列人
[00:04:31.600 --> 00:04:33.600]  流浪在埃及的時候
[00:04:33.600 --> 00:04:35.600]  救他們
[00:04:35.600 --> 00:04:37.600]  出埃及之前
[00:04:37.600 --> 00:04:39.600]  是誰去使
[00:04:39.600 --> 00:04:41.600]  摩西能夠成為英雄
[00:04:41.600 --> 00:04:43.600]  原來是修身婆
[00:04:43.600 --> 00:04:45.600]  出埃及記第一章
[00:04:45.600 --> 00:04:47.600]  記得嗎
[00:04:47.600 --> 00:04:49.600]  Alice也有提及過
