
[00:00:00.000 --> 00:00:01.800]  家政不需要用筆寫字
[00:00:01.800 --> 00:00:03.080]  因為現在不用筆來寫字
[00:00:03.080 --> 00:00:05.960]  她沒有力氣在電腦打字
[00:00:05.960 --> 00:00:08.160]  她沒有力氣用電腦來打字
[00:00:08.160 --> 00:00:10.440]  我們變成了一個藉口
[00:00:10.440 --> 00:00:11.800]  讓我們變成有一個藉口
[00:00:11.800 --> 00:00:13.960]  有些主婦只顧著打麻將
[00:00:13.960 --> 00:00:16.120]  就好像有一些婦女喜歡打麻將一樣
[00:00:16.120 --> 00:00:18.360]  打到連煮飯都不煮了
[00:00:18.360 --> 00:00:20.040]  她們打到連煮飯都不願意煮
[00:00:20.040 --> 00:00:21.600]  是啊,我很想煮
[00:00:21.600 --> 00:00:22.920]  因為她說我很想煮飯
[00:00:22.920 --> 00:00:24.360]  心靈願意的
[00:00:24.360 --> 00:00:25.720]  我心裡是願意的
[00:00:25.720 --> 00:00:27.880]  老公快要回來了,下班了
[00:00:27.880 --> 00:00:29.480]  其實我丈夫快要回來了
[00:00:29.480 --> 00:00:31.040]  但是肉體軟弱
[00:00:31.040 --> 00:00:32.400]  但是又歧視軟弱
[00:00:32.400 --> 00:00:33.560]  叫外賣就算了
[00:00:33.560 --> 00:00:34.840]  所以去叫外賣就可以了
[00:00:34.840 --> 00:00:36.880]  成為我們日常生活當中的一個藉口
[00:00:36.880 --> 00:00:38.880]  成為我們生活當中的一個藉口
[00:00:38.880 --> 00:00:42.280]  但是耶穌說這番話
[00:00:42.280 --> 00:00:44.320]  但是耶穌說這一番話
[00:00:44.320 --> 00:00:46.200]  不是給我們一個藉口
[00:00:46.200 --> 00:00:47.280]  不是讓我們有一個藉口
[00:00:47.280 --> 00:00:48.280]  我們不可以經常說
[00:00:48.280 --> 00:00:49.240]  我心裡很想做
[00:00:49.240 --> 00:00:51.080]  但是做不到,怎麼辦呢
[00:00:51.080 --> 00:00:51.960]  我們不要經常說
[00:00:51.960 --> 00:00:53.000]  我們心裡很想做
[00:00:53.000 --> 00:00:53.880]  但是做不到
[00:00:53.880 --> 00:00:55.200]  耶穌說這番話
[00:00:55.200 --> 00:00:57.360]  其實是在教訓門徒
[00:00:57.360 --> 00:01:00.040]  耶穌說這番話其實是在教訓門徒
[00:01:00.040 --> 00:01:03.160]  你不要只顧著心裡願意就可以了
[00:01:03.160 --> 00:01:05.240]  你不要只顧著心裡願意就可以了
[00:01:05.240 --> 00:01:07.040]  你也要有行動
[00:01:07.040 --> 00:01:08.320]  你也要有行動
[00:01:08.320 --> 00:01:12.880]  克西瑪利援提醒了我們這兩句話
[00:01:12.880 --> 00:01:16.280]  克西瑪利援你告訴我們這番話
[00:01:16.280 --> 00:01:19.360]  剛才領事帶我們唱了一首歌
[00:01:19.360 --> 00:01:20.840]  剛才領事帶我們唱了一首歌
[00:01:20.840 --> 00:01:22.400]  記不記得有一句話
[00:01:22.400 --> 00:01:24.080]  記不記得有一句話
[00:01:24.080 --> 00:01:26.880]  使我莫忘克西瑪利
[00:01:26.880 --> 00:01:30.240]  使我莫忘克西瑪利
[00:01:30.240 --> 00:01:33.440]  莫忘我主痛苦受死
[00:01:33.440 --> 00:01:35.680]  莫忘我主痛苦受死
[00:01:35.680 --> 00:01:38.040]  克西瑪利援提醒了我們
[00:01:38.040 --> 00:01:40.440]  使克西瑪利援提醒我們
[00:01:40.440 --> 00:01:43.840]  主耶穌基督也經歷過很痛苦的時間
[00:01:43.840 --> 00:01:47.400]  主耶穌基督也經歷過很痛苦的時間
[00:01:47.400 --> 00:01:51.120]  但是雖然祂的肉體似乎是軟弱的
