
[00:00:00.000 --> 00:00:03.560]  各位聽眾今天我們繼續看亞國書的訊息
[00:00:03.560 --> 00:00:07.000]  今天我們去到亞國書四章第十三至十七節
[00:00:07.000 --> 00:00:10.840]  今天的題目也很適合大家在面對疫情的時候
[00:00:10.840 --> 00:00:14.160]  去思考的就是如何面對明天
[00:00:14.160 --> 00:00:18.560]  我們看看亞國書四章十三至十七節裡面聖經怎樣說
[00:00:30.000 --> 00:00:53.680]  「你們原是一片雲霧,出現片刻就不見了,你們倒應當說,主若願意,我們就能活著,也可以做這事,話那是,現今你們竟然狂傲自誇,凡這樣的自誇都是邪惡的,所以人若知道該行善而不去行,這就是他的罪了。」
[00:00:53.680 --> 00:01:06.880]  頂智慧在這個疫情底下我們經常都會問一個問題就是疫情何事了呢?我們什麼時候才能出街呢?什麼時候才能回到教會呢?什麼時候才能回到工作呢?
[00:01:06.880 --> 00:01:11.440]  這個也是很多人在疫情裡面我們會問的一個問題
[00:01:11.440 --> 00:01:15.160]  我們對於未來也是覺得很不明朗
[00:01:15.160 --> 00:01:21.120]  我們經常聽到的就是在疫情過後究竟美國的經濟會怎樣呢?
[00:01:21.120 --> 00:01:30.560]  我們仍然能夠維持我們的工作呢?或者我們子女的讀書呢?未來的學業會不會受到影響呢?
[00:01:30.560 --> 00:01:36.960]  又或者是甚至教會那個我們經常都聽說會不會搞一個新的教會秩序呢?
[00:01:36.960 --> 00:01:43.160]  或者甚至世界的各國的關係會不會有一個新的秩序呢?
[00:01:43.160 --> 00:01:54.120]  這些都是我們經常會問的問題,作為一個基督徒在聖經裡面究竟怎樣看待我們面對明天的情況呢?
[00:01:54.120 --> 00:01:57.560]  所以今天阿國書給了我們一個很好的訊息
[00:01:57.560 --> 00:02:06.360]  這個就是阿國在四章十三、十七節裡面我們解答了三個在面對明天裡面很多人
[00:02:06.360 --> 00:02:11.200]  而且包括著基督徒都有的錯誤的心態
[00:02:11.200 --> 00:02:19.160]  而阿國也都嘗試和我們解釋從聖經裡面我們怎樣去看待這三個錯誤的心態呢?
[00:02:19.160 --> 00:02:21.120]  我們看看這三個心態是什麼呢?
[00:02:21.120 --> 00:02:28.640]  第一我叫它做精密盤算,第二我叫它做未來預算,第三我們廣東人叫做聽日子算
[00:02:28.640 --> 00:02:32.680]  我們看看這三個錯誤的心態是怎樣的呢?
[00:02:32.680 --> 00:02:36.880]  我們看看首先第一個錯誤的心態我叫它做精密盤算
[00:02:36.880 --> 00:02:43.720]  聖經裡面這樣講,注意有人說今天或明天我們要往某城去,在那裡住一年做買賣賺錢
[00:02:43.720 --> 00:02:51.600]  我們留意一下阿國書裡面有很多次寫著亦做注意的
[00:02:51.600 --> 00:02:55.800]  或者在原文希臘文裡面是叫Agel
[00:02:55.800 --> 00:03:01.080]  這個字其實是一個很特別的字來的,如果你們看阿國書
[00:03:01.080 --> 00:03:04.400]  它開每一個主題,阿國書裡面有很多不同的主題
[00:03:04.400 --> 00:03:13.040]  開每一個新的主題它都有這個字在的,在和修本亦做注意
[00:03:13.040 --> 00:03:19.080]  什麼叫做注意?英文亦做come now或者come listen,就是注意
[00:03:19.080 --> 00:03:24.080]  其實這個字是一個豐富的座語詞來的
[00:03:24.080 --> 00:03:28.720]  這個字其實很簡單,就好像當時一些的
[00:03:28.720 --> 00:03:35.280]  如果你記得我們中國人有一些人如果賣藝一賣的時候
[00:03:35.280 --> 00:03:40.680]  你要吸引人注意來看,懷疑來看,於是他就打鑼告訴你
[00:03:40.680 --> 00:03:47.160]  噹噹噹,注意注意注意,有東西聽,很重要的東西請你留心
[00:03:47.160 --> 00:03:53.560]  十三節就是這樣,一開始的時候就是Attention,注意注意
[00:03:53.560 --> 00:04:00.640]  大家聽一下有一個新的段落,有一個新的主題告訴我們知道
[00:04:00.640 --> 00:04:08.680]  阿國就用了兩個人的,兩個商家的對話來開始這個新的主題
[00:04:08.680 --> 00:04:11.880]  這兩個商家在說什麼呢?就是一句這樣的說話
[00:04:11.880 --> 00:04:16.440]  告訴我們知道他們商業裡面的一個精密的盤算
[00:04:16.440 --> 00:04:19.520]  我們看見整個說話裡面在說什麼呢?
[00:04:19.520 --> 00:04:24.000]  就是兩個商人他們在談他們一單的生意
[00:04:24.000 --> 00:04:29.520]  這單生意簡直是天衣無縫,他們是什麼時候去?
[00:04:29.520 --> 00:04:33.440]  就是今天或者明天,今天或者明天去,是哪些人去?
[00:04:33.440 --> 00:04:38.760]  我們兩個去,用什麼方法去?我們直接自己親自前往
[00:04:38.760 --> 00:04:44.160]  去什麼地方?去某一個城,何其一年的時間做什麼?
[00:04:44.160 --> 00:04:48.840]  做買賣,為了什麼?為了賺錢得利
[00:04:48.840 --> 00:04:58.040]  看見這個兩個人的計劃所謂天衣無縫,做一個很美麗的計劃
[00:04:58.040 --> 00:05:04.000]  但是這個計劃有一樣特別缺乏的地方
[00:05:04.000 --> 00:05:10.920]  這個缺乏的地方就是這個計劃裡面是缺乏了上帝在當中
