
[00:00:00.000 --> 00:00:03.000]  今天我要跟各位分享什麼訊息?
[00:00:03.000 --> 00:00:07.200]  各位知道嗎?
[00:00:07.200 --> 00:00:08.200]  (美國當心起)
[00:00:08.200 --> 00:00:10.200]  美國當心起
[00:00:10.200 --> 00:00:13.600]  就是相對我們剛才練的四十句五章
[00:00:13.600 --> 00:00:17.800]  (美國當心起)
[00:00:17.800 --> 00:00:24.400]  (美國當心起)
[00:00:24.400 --> 00:00:25.800]  所以我剛才說
[00:00:25.800 --> 00:00:29.800]  (美國當心起)
[00:00:29.800 --> 00:00:32.800]  是Frederick的兒子川普
[00:00:32.800 --> 00:00:36.800]  你當憤心擄掠你的敵人
[00:00:36.800 --> 00:00:40.600]  所以我們今天是說美國當心起
[00:00:40.600 --> 00:00:43.200]  我們先說祝美國生日快樂
[00:00:43.200 --> 00:00:46.400]  Happy birthday to America
[00:00:46.400 --> 00:00:51.600]  今天有沒有去看煙火的?
[00:00:51.600 --> 00:00:56.000]  這裡頭好像不流行了
[00:00:56.000 --> 00:00:57.200]  是感謝神
[00:00:57.200 --> 00:01:00.200]  但是煙火在我們心裡面放
[00:01:00.200 --> 00:01:01.000]  是不是?
[00:01:01.000 --> 00:01:02.400]  感謝神
[00:01:02.400 --> 00:01:07.400]  是聽說其實出去在群眾之中
[00:01:07.400 --> 00:01:10.200]  很容易中標吧
[00:01:10.200 --> 00:01:11.600]  現在又嚴重了
[00:01:11.600 --> 00:01:12.800]  又嚴重了
[00:01:12.800 --> 00:01:13.600]  是的
[00:01:13.600 --> 00:01:14.400]  感謝神
[00:01:14.400 --> 00:01:17.000]  我們弟兄姐妹每一個人都戴口罩
[00:01:17.000 --> 00:01:19.000]  都是勤洗手的
[00:01:19.000 --> 00:01:19.800]  Hallelujah
[00:01:19.800 --> 00:01:21.800]  而且地方不亂去的
[00:01:21.800 --> 00:01:24.800]  但是今天我們會有飯吃
[00:01:24.800 --> 00:01:25.800]  Hallelujah
[00:01:25.800 --> 00:01:27.400]  我們會外面叫菜
[00:01:27.400 --> 00:01:29.200]  那麼我們自己煮些飯
[00:01:29.200 --> 00:01:30.200]  好像是這樣子
[00:01:30.200 --> 00:01:31.400]  我如果錯的話
[00:01:31.400 --> 00:01:32.600]  不要吃我
[00:01:32.600 --> 00:01:35.000]  Hallelujah
[00:01:35.000 --> 00:01:36.800]  那麼我要跟各位講是說
[00:01:36.800 --> 00:01:38.200]  美國生日快樂
[00:01:38.200 --> 00:01:40.400]  美國的由來
[00:01:40.400 --> 00:01:44.000]  還有在聖經裡面預言的美國
[00:01:44.000 --> 00:01:46.800]  還有美國要心起
[00:01:46.800 --> 00:01:49.200]  美國也將要衰敗
[00:01:49.200 --> 00:01:52.600]  而末日的美國會是什麼樣子
[00:01:52.600 --> 00:01:55.000]  最後我要來說
[00:01:55.000 --> 00:01:56.600]  美國要當心起
[00:01:56.600 --> 00:01:59.600]  美國要當心起
[00:01:59.600 --> 00:02:02.400]  Frederick的兒子川普
[00:02:02.400 --> 00:02:06.400]  要奮心努力你的敵人
[00:02:06.400 --> 00:02:08.200]  到底敵人是誰
[00:02:08.200 --> 00:02:09.400]  我們要搞清楚
[00:02:09.400 --> 00:02:10.200]  是不是?
[00:02:10.200 --> 00:02:11.000]  Hallelujah
[00:02:11.000 --> 00:02:13.000]  讚美神
[00:02:13.000 --> 00:02:15.600]  是的
[00:02:15.600 --> 00:02:16.800]  我們來看
[00:02:16.800 --> 00:02:19.000]  我們祝美國生日快樂
[00:02:19.000 --> 00:02:20.200]  July 4th
[00:02:20.200 --> 00:02:21.800]  是不是?
[00:02:21.800 --> 00:02:24.800]  那麼就是7月4號
[00:02:24.800 --> 00:02:27.600]  每年這個時候過去
[00:02:27.600 --> 00:02:29.800]  我們都會有怎麼樣
[00:02:29.800 --> 00:02:31.800]  烤肉
[00:02:31.800 --> 00:02:35.600]  甚至於我們會出去露營
[00:02:35.600 --> 00:02:38.400]  我有好幾次在營區裡面
[00:02:38.400 --> 00:02:41.000]  跟大家來講道等等
[00:02:41.000 --> 00:02:42.600]  當然都是禮拜六禮拜天
[00:02:42.600 --> 00:02:43.600]  還是要趕回來
[00:02:43.600 --> 00:02:45.600]  禮拜五禮拜六在外面
[00:02:45.600 --> 00:02:50.600]  那美國是在1776年7月4號的時候
[00:02:50.600 --> 00:02:52.200]  它是獨立的
[00:02:52.200 --> 00:02:55.600]  剛開始幾個州
[00:02:55.600 --> 00:02:57.600]  13個州
[00:02:57.600 --> 00:03:00.800]  所以為什麼美國的星條旗
[00:03:00.800 --> 00:03:03.600]  會有50個星星
[00:03:03.600 --> 00:03:05.600]  13個Stripes
[00:03:05.600 --> 00:03:06.800]  13條
[00:03:06.800 --> 00:03:10.000]  就是他當初宣告獨立的
[00:03:10.000 --> 00:03:11.600]  Independence Day
[00:03:11.600 --> 00:03:13.000]  就是July 4th
[00:03:13.000 --> 00:03:14.200]  13個州
[00:03:14.200 --> 00:03:17.400]  現在50個州
[00:03:17.400 --> 00:03:19.000]  那50個星星
[00:03:19.000 --> 00:03:21.200]  還有12個蜀地
[00:03:21.200 --> 00:03:22.800]  蜀地包括什麼
[00:03:22.800 --> 00:03:24.200]  關島啦
[00:03:24.200 --> 00:03:26.000]  波多黎各啦
[00:03:26.000 --> 00:03:28.200]  還有幾個地方
[00:03:28.200 --> 00:03:31.400]  還有印第安保留區
[00:03:31.400 --> 00:03:33.200]  那我請問各位
