
[00:00:00.000 --> 00:00:04.680]  港鐵主席馬先生在今年一月的時候
[00:00:04.680 --> 00:00:06.800]  去會見傳媒
[00:00:06.800 --> 00:00:11.400]  他講出,他作為主席對港鐵有三個願景
[00:00:11.400 --> 00:00:16.200]  第一,希望三條新的線路可以如期通車
[00:00:16.200 --> 00:00:19.200]  請各位議員高抬貴手
[00:00:19.200 --> 00:00:24.800]  第二,提升服務質素,令乘客開心,沒有太多投訴
[00:00:24.800 --> 00:00:28.200]  第三,加強自己員工的培訓
[00:00:28.200 --> 00:00:31.800]  馬先生真是新主席,新作風
[00:00:31.800 --> 00:00:35.000]  不單一個願景,還要三個願景
[00:00:35.000 --> 00:00:38.600]  我真的希望這三個願景能夠成就
[00:00:38.600 --> 00:00:43.800]  頂姊妹,新曆年我們已經來到第二月七號了
[00:00:43.800 --> 00:00:48.400]  但按農曆年來說,今天是最後一日,年廿九
[00:00:48.400 --> 00:00:53.400]  無論過去農曆的一年,你經歷如何
[00:00:53.400 --> 00:00:56.800]  過了今晚,應該說過了今天十二點
[00:00:56.800 --> 00:01:00.600]  我們從新的農曆年開始
[00:01:00.600 --> 00:01:04.000]  你願不願意為自己訂下一個新的願景
[00:01:04.000 --> 00:01:08.200]  展開新的一頁呢?
[00:01:08.200 --> 00:01:10.400]  好比一個廣告,它說
[00:01:10.400 --> 00:01:13.600]  新的一年,手機當然要新
[00:01:13.600 --> 00:01:16.000]  如果想擁有我們公司的一部手機
[00:01:16.000 --> 00:01:18.600]  麻煩你到我們某某網站加個like
[00:01:18.600 --> 00:01:20.600]  就有機會得到了
[00:01:20.600 --> 00:01:25.200]  一些商業機構,尚且會把握一些新年的日子
[00:01:25.200 --> 00:01:28.000]  做一些宣傳伎倆
[00:01:28.000 --> 00:01:32.400]  提醒我們,新年真的要新的東西
[00:01:32.400 --> 00:01:34.400]  要有新的開始
[00:01:34.400 --> 00:01:37.400]  是的,正如《針研》所說
[00:01:37.400 --> 00:01:42.200]  沒有異象,民就放肆
[00:01:42.200 --> 00:01:44.400]  就好像一套電影所說
[00:01:44.400 --> 00:01:46.600]  如果我們沒有夢想
[00:01:46.600 --> 00:01:49.400]  其實我們跟一條鹹魚沒什麼分別
[00:01:49.400 --> 00:01:53.000]  所以頂姊妹,我們真的不想我們做鹹魚
[00:01:53.000 --> 00:02:00.000]  我們更加不想做一個鹹魚的基督徒
[00:02:00.000 --> 00:02:02.400]  雖然我們要作炎作光
[00:02:02.400 --> 00:02:06.600]  不過不是做鹹魚
[00:02:06.600 --> 00:02:09.000]  或許,你很忙碌
[00:02:09.000 --> 00:02:10.600]  你沒有時間
[00:02:10.600 --> 00:02:14.400]  或者你沒有想過要做任何的願景
[00:02:14.400 --> 00:02:17.200]  或者你覺得你過去做了很多願景
[00:02:17.200 --> 00:02:19.000]  但都不能夠兌現,是嗎?
[00:02:19.000 --> 00:02:23.200]  是,不想做了,但我很願意今天的訊息
[00:02:23.200 --> 00:02:25.800]  鼓勵你,幫助你,提醒你
[00:02:25.800 --> 00:02:29.000]  開放你的生命,你的心思
[00:02:29.000 --> 00:02:36.600]  讓新的一年,你能夠活得又願景,又盼望
[00:02:36.600 --> 00:02:39.400]  伊斯利文是神的選民
[00:02:39.400 --> 00:02:43.600]  而摩西亦都是神所揀選的領袖
[00:02:43.600 --> 00:02:48.800]  當星日摩西在荷里山領受神的召命的時候
[00:02:48.800 --> 00:02:53.800]  他簡直不能夠相信神對他的召命
[00:02:53.800 --> 00:02:58.000]  甚至可以這樣說,他不知所措
[00:02:58.000 --> 00:03:07.000]  我摩西何德何能去承擔這個拯救同胞離開埃及的重任呢?
[00:03:07.000 --> 00:03:10.600]  今天我很希望藉著第七節和第十五節
[00:03:10.600 --> 00:03:13.000]  讓我們一起學習
[00:03:13.000 --> 00:03:17.600]  如何去領受神給人的召命
[00:03:17.600 --> 00:03:19.600]  特別是給我們自己的召命
[00:03:19.600 --> 00:03:23.600]  並且以這樣作為我們新一年的願景,好嗎?
[00:03:23.600 --> 00:03:25.600]  一起學習
[00:03:25.600 --> 00:03:30.000]  先說一些背景,特別是在第一、三章一至到第六節
[00:03:30.000 --> 00:03:34.400]  這裡提到摩西牧羊去臥虎米顛祭司葉匹羅的羊群
[00:03:34.400 --> 00:03:37.600]  米顛其實是一大半島的民族
[00:03:37.600 --> 00:03:40.000]  其實根據聖經告訴你
[00:03:40.000 --> 00:03:43.400]  米顛其實是阿不拉罕後代的代表
[00:03:43.400 --> 00:03:47.600]  即米顛族,米顛人其實是阿不拉罕的後代
[00:03:47.600 --> 00:03:49.600]  跟以色列很有淵源
[00:03:49.600 --> 00:03:53.600]  摩西因為逃避法老的追殺
[00:03:53.600 --> 00:03:55.600]  所以去到米顛那裡
[00:03:55.600 --> 00:03:58.600]  竟然成家立室
[00:03:58.600 --> 00:04:02.600]  這裡說米顛的祭司葉匹羅
[00:04:02.600 --> 00:04:04.600]  其實在第二章的時候
[00:04:04.600 --> 00:04:07.600]  葉匹羅有另一個名字叫做劉爾
[00:04:07.600 --> 00:04:09.600]  這兩個都同名
[00:04:09.600 --> 00:04:11.600]  都是摩西臥虎同一個人
[00:04:11.600 --> 00:04:17.600]  而當摩西去到荷麗山去領受一個儀仗
[00:04:17.600 --> 00:04:19.600]  荷麗山在那裡呢?
[00:04:19.600 --> 00:04:22.600]  簡單來說,荷麗山就等於西賴山
[00:04:22.600 --> 00:04:25.600]  也就是摩西領受十屆的地方
[00:04:25.600 --> 00:04:30.600]  但較為準確,荷麗山不是一座山
[00:04:30.600 --> 00:04:32.600]  荷麗山應該是指一群的山
[00:04:32.600 --> 00:04:36.600]  其中一個叫西賴山
[00:04:36.600 --> 00:04:40.600]  也是摩西領受十屆的山
[00:04:40.600 --> 00:04:42.600]  也被稱為摩西山
[00:04:42.600 --> 00:04:48.600]  無論如何,那裡是摩西領受召命的地方
[00:04:48.600 --> 00:04:52.600]  那裡也是以色列人領受上帝十屆
[00:04:52.600 --> 00:04:56.600]  領受上帝約的一個地方
[00:04:56.600 --> 00:04:58.600]  很重要
[00:04:58.600 --> 00:05:01.600]  神怎樣在那個地方向摩西顯現呢?
[00:05:01.600 --> 00:05:07.600]  聖經說,上帝以荊棘火焰向摩西顯現
[00:05:07.600 --> 00:05:09.600]  沒有什麼特別,荊棘火焰
[00:05:09.600 --> 00:05:14.600]  聖經說,荊棘被火燒著的時候
[00:05:14.600 --> 00:05:16.600]  竟然沒有燒毀
[00:05:16.600 --> 00:05:18.600]  這個異象才震撼
[00:05:18.600 --> 00:05:20.600]  正常的摩西,好奇的摩西
[00:05:20.600 --> 00:05:23.600]  就上前想想,這麼有趣
[00:05:23.600 --> 00:05:25.600]  荊棘是什麼荊棘?
[00:05:25.600 --> 00:05:27.600]  上帝說,不要,摩西
[00:05:27.600 --> 00:05:29.600]  請你不要走前
[00:05:29.600 --> 00:05:31.600]  請你脫下你的鞋
[00:05:31.600 --> 00:05:35.600]  因為你所站的是聖地
[00:05:35.600 --> 00:05:39.600]  聖地不是因為那裡是荷列山或是西乃山
[00:05:39.600 --> 00:05:45.600]  聖地是因為那裡有上帝存在、臨在的地方
[00:05:45.600 --> 00:05:47.600]  換言之頂姊妹
[00:05:47.600 --> 00:05:49.600]  聖地不只是以色列
[00:05:49.600 --> 00:05:54.600]  聖地包括在尖沙咀全生命堂
[00:05:54.600 --> 00:05:56.600]  只要有神臨在的地方
[00:05:56.600 --> 00:05:58.600]  這個就是一個聖地
[00:05:58.600 --> 00:06:00.600]  當你進入到這個聖地的時候
[00:06:00.600 --> 00:06:01.600]  頂姊妹
[00:06:01.600 --> 00:06:05.600]  你就會有一個敬畏上帝的心
[00:06:05.600 --> 00:06:07.600]  在《出納記》十九章的時候
[00:06:07.600 --> 00:06:09.600]  神吩咐摩西
[00:06:09.600 --> 00:06:12.600]  要以色列人用三天的時間自劫
[00:06:12.600 --> 00:06:15.600]  然後準備領受神的吩咐
[00:06:15.600 --> 00:06:17.600]  他們要沐浴更衣等等
[00:06:17.600 --> 00:06:22.600]  甚至要摩西劃定界線
[00:06:22.600 --> 00:06:26.600]  以色列人是不可以逾越那個界線
[00:06:26.600 --> 00:06:29.600]  如果逾越了或碰到西乃山
[00:06:29.600 --> 00:06:31.600]  百姓必死
[00:06:31.600 --> 00:06:34.600]  在《出納記》三十三章甚至說
[00:06:34.600 --> 00:06:36.600]  你不能看見我的面
[00:06:36.600 --> 00:06:39.600]  因為人見我的面不能夠存活
[00:06:39.600 --> 00:06:40.600]  頂姊妹
[00:06:40.600 --> 00:06:42.600]  我只能夠說
[00:06:42.600 --> 00:06:45.600]  今天我和你能夠站在那裡敬拜上帝
[00:06:45.600 --> 00:06:48.600]  全是因為基督救贖的雄恩
[00:06:48.600 --> 00:06:50.600]  按照舊約
[00:06:50.600 --> 00:06:53.600]  如果來到一個聖殿裡面
[00:06:53.600 --> 00:06:55.600]  我們帶著一個不恭敬的心
[00:06:55.600 --> 00:06:57.600]  鄙視的心
[00:06:57.600 --> 00:07:00.600]  上帝可以擊殺我們
[00:07:00.600 --> 00:07:03.600]  我們沒資格見這位聖潔的上帝
[00:07:03.600 --> 00:07:07.600]  上帝要透過荊棘的火焰
[00:07:07.600 --> 00:07:09.600]  告訴摩西
[00:07:09.600 --> 00:07:11.600]  我是一位聖潔的上帝
[00:07:11.600 --> 00:07:13.600]  我就是烈火
[00:07:13.600 --> 00:07:15.600]  不過奇妙的是
[00:07:15.600 --> 00:07:17.600]  竟然荊棘焦著了不會燒毀
[00:07:17.600 --> 00:07:20.600]  有一個可能的解釋
[00:07:20.600 --> 00:07:22.600]  就是上帝要透過這個異象
[00:07:22.600 --> 00:07:25.600]  要告訴摩西和他的民族
[00:07:25.600 --> 00:07:27.600]  甚至今天告訴我們
[00:07:27.600 --> 00:07:31.600]  人生我們面對荊棘的火焰
[00:07:31.600 --> 00:07:33.600]  紅紅烈火
[00:07:33.600 --> 00:07:36.600]  給我們的考驗
[00:07:36.600 --> 00:07:38.600]  但我們不致燒滅
[00:07:38.600 --> 00:07:40.600]  是因為上帝的恩典
[00:07:40.600 --> 00:07:43.600]  神其實可以用很多方式來顯現
[00:07:43.600 --> 00:07:45.600]  他可以以耶和華使者來顯現
[00:07:45.600 --> 00:07:47.600]  可以以運彩來顯現
[00:07:47.600 --> 00:07:49.600]  無論如何在各個裡面
[00:07:49.600 --> 00:07:52.600]  上帝是以不同的形式來顯現
[00:07:52.600 --> 00:07:56.600]  要領受神的召命
[00:07:56.600 --> 00:08:00.600]  我們必須要認識召命的特色
[00:08:00.600 --> 00:08:02.600]  在原經文裡面
[00:08:02.600 --> 00:08:04.600]  神召命的特色
[00:08:04.600 --> 00:08:06.600]  在於這個召命
[00:08:06.600 --> 00:08:08.600]  是很確定的
[00:08:08.600 --> 00:08:10.600]  是很確定的
[00:08:10.600 --> 00:08:12.600]  我們一起讀聖經第三章
[00:08:12.600 --> 00:08:14.600]  七召第九節
[00:08:14.600 --> 00:08:16.600]  我們在螢光幕一起讀就可以了
[00:08:16.600 --> 00:08:18.600]  預備起
[00:08:18.600 --> 00:08:22.600]  話說我的百姓在埃及所受的困苦
