
[00:00:00.000 --> 00:00:03.720]  好,其實我預備今天這篇講章的時候
[00:00:03.720 --> 00:00:06.160]  我想說我的心情是很複雜的
[00:00:06.160 --> 00:00:07.120]  為什麼很複雜呢?
[00:00:07.120 --> 00:00:09.520]  一來我很開心,開心什麼呢?
[00:00:09.520 --> 00:00:11.760]  一來回到香港,去分享訊息
[00:00:11.760 --> 00:00:15.400]  另外一件事就是,我還有兩個星期就去旅行了
[00:00:15.400 --> 00:00:18.480]  那我就想,去旅行之前最後一篇訊息
[00:00:18.480 --> 00:00:22.440]  那打算找一篇激勵一點,鼓勵一點
[00:00:22.440 --> 00:00:24.520]  那我也在想,其實看到大家
[00:00:24.520 --> 00:00:28.560]  我看了大家的時間表,其實二賽阿書已經講了很多了
[00:00:28.560 --> 00:00:30.920]  那我想,還有什麼沒講呢?
[00:00:30.920 --> 00:00:34.000]  那我突然想起一節經文,如鷹展翅上騰
[00:00:34.000 --> 00:00:37.960]  我想,我搭飛機也上騰,那不如一起上騰吧
[00:00:37.960 --> 00:00:42.840]  但是,誰知道我一邊看聖經,一邊翻查聖經,想的時候
[00:00:42.840 --> 00:00:46.840]  發現這篇訊息,原來都不是那麼簡單
[00:00:46.840 --> 00:00:49.880]  原來可能當中它講很多的東西
[00:00:49.880 --> 00:00:55.840]  可能令到弟兄姊妹會覺得,對你的信仰有點衝擊
[00:00:55.840 --> 00:00:58.920]  所以,不過我又想了想,不過不要緊的
[00:00:58.920 --> 00:01:03.200]  苦口良藥,有衝擊就好了,有衝擊我們才可以成長
[00:01:03.200 --> 00:01:06.680]  好,那我們就一起去看看今天的經文
[00:01:06.680 --> 00:01:10.960]  在二賽阿書四十章,二十七至三十一節
[00:01:10.960 --> 00:01:12.600]  我們一起讀一讀今天的經文吧
[00:01:12.600 --> 00:01:14.960]  準備,一二三
[00:01:14.960 --> 00:01:20.960]  阿閣,你為何說?以色列,你為何言?
[00:01:20.960 --> 00:01:24.200]  我的道路向耶和華隱藏
[00:01:24.200 --> 00:01:27.760]  我的冤屈神並不查問
[00:01:27.760 --> 00:01:30.360]  你豈不曾知道嗎?
[00:01:30.360 --> 00:01:33.040]  你豈不曾聽見嗎?
[00:01:33.040 --> 00:01:35.800]  永在的神,耶和華
[00:01:35.800 --> 00:01:37.920]  創造地極的主
[00:01:37.920 --> 00:01:41.040]  他不疲乏,也不困倦
[00:01:41.040 --> 00:01:44.400]  他的智慧無法測度
[00:01:44.400 --> 00:01:47.080]  疲乏的,他賜能力
[00:01:47.080 --> 00:01:49.800]  軟弱的,他加力量
[00:01:49.800 --> 00:01:53.840]  就是年輕人,也要疲乏困倦
[00:01:53.840 --> 00:01:57.440]  強壯的,也必傳言跌倒
[00:01:57.440 --> 00:02:01.880]  但那等候耶和華的,必重申得力
[00:02:01.880 --> 00:02:05.160]  他們必如鷹展翅上騰
[00:02:05.160 --> 00:02:08.160]  他們奔跑,卻不困倦
[00:02:08.160 --> 00:02:10.560]  行走,卻不疲乏
[00:02:10.560 --> 00:02:12.240]  好,經文讀到這裡
[00:02:12.240 --> 00:02:15.360]  我想大家都很熟悉,讀到最後那幾節
[00:02:15.360 --> 00:02:18.880]  講到疲乏的賜能力,軟弱的加力量
[00:02:18.880 --> 00:02:21.640]  我們大家聽到這些經文都很興奮
[00:02:21.640 --> 00:02:24.360]  我一直都有看,看這段經文的時候
[00:02:24.360 --> 00:02:26.520]  其實這段經文講什麼呢?
[00:02:26.520 --> 00:02:28.800]  講的就是,以初下先知
[00:02:28.800 --> 00:02:32.240]  講的這群以色列民,他們去到祈禱
[00:02:32.240 --> 00:02:35.000]  講他們「信」,其實都不要說祈禱是「信」
[00:02:35.000 --> 00:02:36.560]  在祈禱當中「信」
[00:02:36.560 --> 00:02:39.320]  為何上帝這樣?上帝去了哪裡?
[00:02:39.320 --> 00:02:42.720]  在這樣的困境,或者苦難當中
[00:02:42.720 --> 00:02:44.240]  我們的上帝去了哪裡?
[00:02:44.240 --> 00:02:47.200]  為何好像走哪一步都不對?
