
[00:00:00.000 --> 00:00:03.100]  我想大家知道 還有不夠兩個禮拜
[00:00:03.100 --> 00:00:05.900]  就是聖誕節 10月25號
[00:00:05.900 --> 00:00:07.700]  不知道大家到了這個時間
[00:00:07.700 --> 00:00:10.500]  是不是已經準備好過聖誕呢
[00:00:10.500 --> 00:00:13.500]  上個禮拜是黑色星期五
[00:00:13.500 --> 00:00:15.300]  就是黑色星期五
[00:00:15.300 --> 00:00:18.500]  全國的商店都大減價
[00:00:18.500 --> 00:00:19.700]  剛剛過了禮拜一 是不是
[00:00:19.700 --> 00:00:21.100]  cyber monday
[00:00:21.100 --> 00:00:23.100]  所以到了這個時間
[00:00:23.100 --> 00:00:25.900]  如果你 其實還有機會買減價的東西
[00:00:25.900 --> 00:00:28.500]  不過應該 我希望你已經做好
[00:00:28.500 --> 00:00:30.900]  過聖誕的準備
[00:00:30.900 --> 00:00:31.900]  不過呢
[00:00:31.900 --> 00:00:37.100]  當我嘗試在網上找一些資料
[00:00:37.100 --> 00:00:38.600]  到底過聖誕
[00:00:38.600 --> 00:00:40.800]  那些人有什麼list
[00:00:40.800 --> 00:00:43.200]  在他們手上呢
[00:00:43.200 --> 00:00:44.900]  我就發覺其實在網上找到
[00:00:44.900 --> 00:00:47.900]  關於那個christmas list
[00:00:47.900 --> 00:00:50.600]  絕大部分都是一些禮品
[00:00:50.600 --> 00:00:54.200]  禮物 建議你可以買些什麼
[00:00:54.200 --> 00:00:56.800]  有些是一些願望的list
[00:00:56.800 --> 00:00:59.700]  你想要什麼 有些想買什麼
[00:00:59.700 --> 00:01:01.100]  給一些建議你們
[00:01:01.100 --> 00:01:03.000]  有些是你想得到什麼
[00:01:03.000 --> 00:01:04.900]  有很多建議在上面
[00:01:04.900 --> 00:01:06.400]  而且你會發覺
[00:01:06.400 --> 00:01:07.700]  還是分明的
[00:01:07.700 --> 00:01:09.200]  有些是給小朋友的
[00:01:09.200 --> 00:01:11.300]  the best gift for children
[00:01:11.300 --> 00:01:15.300]  有些是給青少年的teenager
[00:01:15.300 --> 00:01:19.400]  有些是給男的 給女的一大堆
[00:01:19.400 --> 00:01:21.300]  如果真的有聖誕老人的話
[00:01:21.300 --> 00:01:22.400]  我相信在這個時間
[00:01:22.400 --> 00:01:26.300]  他們手上已經有一個很長的聖誕清單
[00:01:26.300 --> 00:01:28.900]  可能這個畫面都看不到
[00:01:28.900 --> 00:01:31.300]  一路下去全世界這麼多人
[00:01:31.300 --> 00:01:33.500]  很多人都很想有些東西需要
[00:01:33.500 --> 00:01:36.600]  很多人也想要送些禮物出去
[00:01:36.600 --> 00:01:42.200]  聖誕節似乎是一個交換禮物的時間
[00:01:42.200 --> 00:01:49.200]  不過當我上網找找這些建議的時候
[00:01:49.200 --> 00:01:52.500]  也看到一些很有趣的請求
[00:01:52.500 --> 00:01:54.000]  其中一個是什麼呢
[00:01:54.000 --> 00:01:57.900]  "Please help me, Christmas is coming up"
[00:01:57.900 --> 00:02:01.800]  "and I have no idea what to put on my list"
[00:02:01.800 --> 00:02:05.000]  他說請你幫幫忙 聖誕節來了
[00:02:05.000 --> 00:02:06.700]  但是我還不知道
[00:02:06.700 --> 00:02:10.700]  我應該放些什麼在我的清單上
[00:02:10.700 --> 00:02:13.300]  另外一個 聖誕快到了
[00:02:13.300 --> 00:02:17.500]  而我還沒想好我要些什麼禮物
[00:02:17.500 --> 00:02:19.800]  我是一個13歲的女生
[00:02:19.800 --> 00:02:20.900]  我已經有手機了
[00:02:20.900 --> 00:02:24.000]  又有iPod了 又有電子平板了
[00:02:24.000 --> 00:02:28.200]  我已經不需要什麼電子產品了
[00:02:28.200 --> 00:02:33.000]  不知道你們知不知道有些什麼很酷的禮物
[00:02:33.000 --> 00:02:35.400]  譬如GameStop
[00:02:35.400 --> 00:02:37.100]  GameStop是什麼呢 我也不知道
[00:02:37.100 --> 00:02:40.600]  可能年輕人知道也不一定
[00:02:40.600 --> 00:02:44.900]  看到這些的時候是相當有意思 相當有興趣
[00:02:44.900 --> 00:02:49.700]  不過今天我也想給大家幾個建議
[00:02:49.700 --> 00:02:53.200]  預備你們過聖誕的清單
[00:02:53.200 --> 00:02:56.000]  我希望我給大家的建議是一些另類的建議
[00:02:56.000 --> 00:02:59.000]  是一些另類的清單
[00:02:59.000 --> 00:03:01.000]  我不知道大家想不想
[00:03:01.000 --> 00:03:04.200]  利用這個聖誕節
[00:03:04.200 --> 00:03:12.500]  來深化我們和我們的家人 朋友 同事的關係
[00:03:12.500 --> 00:03:16.100]  以致我們過聖誕是過得更加有意思
[00:03:16.100 --> 00:03:19.000]  不只是去party 喝喝喫喫這麼簡單
[00:03:19.000 --> 00:03:20.900]  利用這個聖誕節的機會
[00:03:20.900 --> 00:03:29.000]  去加深 去鞏固我們和我們身邊很重要的人的關係
[00:03:29.000 --> 00:03:33.200]  保羅在寫給貼塞羅尼加的書信裏
[00:03:33.200 --> 00:03:36.000]  給了我們一點點的啓示
[00:03:36.000 --> 00:03:37.700]  我們一起看看這段聖經
[00:03:37.700 --> 00:03:41.200]  貼塞羅尼加前書第三章第九到十三節
[00:03:41.200 --> 00:03:43.500]  這裏說 我們在神的面前
[00:03:43.500 --> 00:03:46.000]  因着你們甚是喜樂
[00:03:46.000 --> 00:03:51.900]  爲這一切的喜樂可用何等的感謝爲你們報答神呢?
[00:03:51.900 --> 00:03:55.200]  我們晝夜切切地祈求要見你們的面
[00:03:55.200 --> 00:03:58.100]  飽滿你們信心的不足
[00:03:58.100 --> 00:04:01.300]  願神 我們的父和我們的主耶穌
[00:04:01.300 --> 00:04:05.000]  一直引領我們到你們那裏去
[00:04:05.000 --> 00:04:05.900]  十二節
[00:04:05.900 --> 00:04:09.000]  又願主叫你們彼此相愛的心
[00:04:09.000 --> 00:04:12.400]  並愛衆人的心都能增長
[00:04:12.400 --> 00:04:15.800]  充足 如同我們愛你們一樣
[00:04:15.800 --> 00:04:18.700]  好使你們當我們主耶穌
[00:04:18.700 --> 00:04:21.400]  和他衆聖徒來的時候
[00:04:21.400 --> 00:04:23.200]  在我們神面前
[00:04:23.200 --> 00:04:25.100]  心裏堅固
[00:04:25.100 --> 00:04:26.900]  聖慧聖潔
[00:04:26.900 --> 00:04:29.800]  無可責弊
[00:04:29.800 --> 00:04:31.600]  第一個我給大家的建議
[00:04:31.600 --> 00:04:34.500]  第一個我提議大家有的清單是什麼呢?
[00:04:34.500 --> 00:04:37.200]  是一個讓你開心快樂
[00:04:37.200 --> 00:04:41.700]  讓你能夠爲他們感謝神的一個名單
[00:04:41.700 --> 00:04:43.000]  OK
[00:04:43.000 --> 00:04:44.000]  第九節那裏說
[00:04:44.000 --> 00:04:49.400]  不僅是保羅和他的拍檔我們
[00:04:49.400 --> 00:04:51.100]  在神的面前因爲你們的緣故
[00:04:51.100 --> 00:04:52.800]  很開心很快樂
[00:04:52.800 --> 00:04:56.300]  保羅和他全道的同伴們
[00:04:56.300 --> 00:05:01.100]  因爲聽到貼上信徒的信心不斷成長
[00:05:01.100 --> 00:05:02.500]  信耶穌之後生命的改變
[00:05:02.500 --> 00:05:03.600]  很開心快樂
[00:05:03.600 --> 00:05:05.600]  他說爲這一切的喜樂
[00:05:05.600 --> 00:05:08.200]  我可以用什麼去感謝
[00:05:08.200 --> 00:05:10.600]  爲你們報答神呢?
[00:05:10.600 --> 00:05:13.400]  保羅因爲他們這羣信徒
[00:05:13.400 --> 00:05:14.700]  很開心快樂
[00:05:14.700 --> 00:05:15.700]  甚至到一個地步
[00:05:15.700 --> 00:05:18.000]  都不知道應該怎麼向他們感謝
[00:05:18.000 --> 00:05:19.900]  真的很開心快樂
[00:05:19.900 --> 00:05:25.100]  連怎麼感謝都不知道
[00:05:25.100 --> 00:05:28.600]  不知道在我們的生命當中
[00:05:28.600 --> 00:05:30.400]  在我們每一個人的生命當中
[00:05:30.400 --> 00:05:32.600]  有沒有哪幾個人
[00:05:32.600 --> 00:05:34.200]  你一想起他們的時候
[00:05:34.200 --> 00:05:35.900]  你就很開心
[00:05:35.900 --> 00:05:37.100]  你一想起他們的時候
[00:05:37.100 --> 00:05:40.100]  你就很快樂
[00:05:40.100 --> 00:05:41.500]  你會因爲他們的緣故
[00:05:41.500 --> 00:05:43.000]  感謝天父上帝
