
[00:00:00.000 --> 00:00:03.280]  主羅太兄姊妹大家平安
[00:00:03.280 --> 00:00:07.180]  今天的題目真的很震撼性
[00:00:07.180 --> 00:00:10.560]  就是「日頭停留,月亮止住」
[00:00:10.560 --> 00:00:14.600]  大家可能都聽過這個故事
[00:00:14.600 --> 00:00:18.000]  也是一個很超自然的神蹟
[00:00:18.000 --> 00:00:20.560]  看到神的大臨
[00:00:20.560 --> 00:00:23.840]  在今天的世代當中
[00:00:23.840 --> 00:00:27.200]  尤其是今天我們環環繞繞
[00:00:27.200 --> 00:00:33.000]  大家看新聞都是在說這個新型冠狀病毒的疫情
[00:00:33.000 --> 00:00:36.720]  大家知道已經超過十萬人
[00:00:36.720 --> 00:00:41.040]  全世界超過十萬人感染
[00:00:41.040 --> 00:00:43.880]  超過三千人 三千六百人死亡
[00:00:43.880 --> 00:00:45.800]  也是很厲害
[00:00:45.800 --> 00:00:51.600]  但其實原來有很多事情我們聖經也有預言過
[00:00:51.600 --> 00:00:54.960]  可以看到神的智慧
[00:00:54.960 --> 00:00:57.640]  是在聖經幾千年前寫的
[00:00:57.640 --> 00:01:00.400]  其實已經寫了很多東西出來
[00:01:00.400 --> 00:01:06.320]  大家都留意到韓國的南韓疫情很嚴重
[00:01:06.320 --> 00:01:10.720]  大家看新聞都知道嚴重性很大
[00:01:10.720 --> 00:01:13.520]  原因就是有一間教會
[00:01:13.520 --> 00:01:16.680]  很多人問我教會神都不保佑基督教
[00:01:16.680 --> 00:01:19.960]  我提醒大家那間教會是一個異端
[00:01:19.960 --> 00:01:21.360]  不是我們正統的基督教
[00:01:21.360 --> 00:01:22.760]  大家要留意這一點
[00:01:22.760 --> 00:01:28.400]  很多信徒說南韓有二十萬個信徒
[00:01:28.400 --> 00:01:29.440]  你說多厲害
[00:01:29.440 --> 00:01:30.720]  二十萬個 我們有多少個
[00:01:30.720 --> 00:01:32.640]  我們不止二十個
[00:01:32.640 --> 00:01:34.200]  不過真的很厲害
[00:01:34.200 --> 00:01:37.240]  這個叫新天地耶穌教會
[00:01:37.240 --> 00:01:40.360]  證明他們也信耶穌
[00:01:40.360 --> 00:01:41.480]  他們是基督教
[00:01:41.480 --> 00:01:42.680]  不過他們是異端
[00:01:42.680 --> 00:01:44.280]  已經走歪了路
[00:01:44.280 --> 00:01:45.960]  甚至有些人說他們是邪教
[00:01:45.960 --> 00:01:48.320]  其實已經有很多年的歷史
[00:01:48.320 --> 00:01:52.280]  他們的創辦人李孟熙
[00:01:52.280 --> 00:01:57.240]  他們的信徒覺得他是一個神
