
[00:00:00.000 --> 00:00:02.600]  今早和大家思想
[00:00:02.600 --> 00:00:06.080]  他說當你拒絕神的時候怎樣呢?
[00:00:06.080 --> 00:00:09.080]  很多人因為信耶穌
[00:00:09.080 --> 00:00:11.680]  有些人說信耶穌我不信了
[00:00:11.680 --> 00:00:15.080]  因為信了耶穌很多的約束
[00:00:15.080 --> 00:00:18.880]  好像覺得不信耶穌就沒有約束
[00:00:18.880 --> 00:00:21.400]  好像當我們拒絕神的時候
[00:00:21.400 --> 00:00:23.680]  我們就能夠得到自由
[00:00:23.680 --> 00:00:25.880]  究竟是不是這樣呢?
[00:00:25.880 --> 00:00:28.280]  自由究竟是什麼呢?
[00:00:28.280 --> 00:00:30.480]  很多人認為自由就是
[00:00:30.480 --> 00:00:33.480]  我們自己喜歡做自己喜歡的事情
[00:00:33.480 --> 00:00:35.480]  這個就是自由
[00:00:35.480 --> 00:00:40.880]  有一天有兩個小朋友在爭拗
[00:00:40.880 --> 00:00:47.880]  因為一個小朋友被另一個小朋友
[00:00:47.880 --> 00:00:52.480]  可能得罪了
[00:00:52.480 --> 00:00:54.680]  他就很生氣
[00:00:54.680 --> 00:00:57.280]  有一位老師來調解
[00:00:57.280 --> 00:01:02.480]  他就對這個小朋友說
[00:01:02.480 --> 00:01:04.880]  叫他不要生氣
[00:01:04.880 --> 00:01:07.080]  這個男孩子
[00:01:07.080 --> 00:01:08.880]  他就很生氣的男孩子
[00:01:08.880 --> 00:01:11.480]  他說我連生氣都沒有自由嗎?
[00:01:11.480 --> 00:01:14.080]  我不知道你有沒有說過這些話
[00:01:14.080 --> 00:01:16.480]  老師說
[00:01:16.480 --> 00:01:20.480]  沒有錯,你可以有生氣的自由
[00:01:20.480 --> 00:01:23.480]  但是你可不可以有不生氣的自由呢?
[00:01:23.480 --> 00:01:26.480]  你有沒有想過這個問題?
[00:01:26.480 --> 00:01:29.080]  你可以有生氣的自由
[00:01:29.080 --> 00:01:32.280]  但是你可不可以有不生氣的自由呢?
[00:01:32.280 --> 00:01:35.480]  如果你不能夠不生氣
[00:01:35.480 --> 00:01:40.080]  那你就沒有自由了
[00:01:40.080 --> 00:01:44.480]  你就被不生氣綁住了
[00:01:44.480 --> 00:01:47.480]  你有吃的自由
[00:01:47.480 --> 00:01:50.280]  你有沒有不吃的自由呢?
[00:01:50.280 --> 00:01:51.680]  我們經常想
[00:01:51.680 --> 00:01:53.680]  我有吃的自由,對不對?
[00:01:53.680 --> 00:01:56.280]  但是你有沒有不吃的自由呢?
[00:01:56.280 --> 00:01:58.280]  沒有,一見到就吃
