
[00:00:00.000 --> 00:00:01.000]  約翰福音那一篇
[00:00:01.000 --> 00:00:03.000]  耶穌有七個宣告
[00:00:03.000 --> 00:00:07.000]  這七個宣告是祂對自己的身份的宣告
[00:00:07.000 --> 00:00:08.000]  過去我說了五個
[00:00:08.000 --> 00:00:10.000]  今天去到第六個
[00:00:10.000 --> 00:00:11.000]  我第一個宣告
[00:00:11.000 --> 00:00:12.000]  祂曾經這樣說
[00:00:12.000 --> 00:00:14.000]  祂說我是生命的羊
[00:00:14.000 --> 00:00:16.000]  I am the bread of life
[00:00:16.000 --> 00:00:17.000]  我是生命的羊
[00:00:17.000 --> 00:00:19.000]  換言之我們看到我們的主耶穌
[00:00:19.000 --> 00:00:21.000]  當祂這樣宣告的時候
[00:00:21.000 --> 00:00:24.000]  其實祂是對人的物質的需要
[00:00:24.000 --> 00:00:26.000]  其實祂都是關心
[00:00:26.000 --> 00:00:27.000]  祂不只是單單關心
[00:00:27.000 --> 00:00:29.000]  我們屬靈生命的需要
[00:00:29.000 --> 00:00:32.000]  祂同樣是關心我們物質的需要
[00:00:32.000 --> 00:00:33.000]  所以主道文那一篇
[00:00:33.000 --> 00:00:34.000]  曾經說過
[00:00:34.000 --> 00:00:35.000]  我們日用的飲食
[00:00:35.000 --> 00:00:38.000]  是今天賜給我們
[00:00:38.000 --> 00:00:39.000]  當耶穌說
[00:00:39.000 --> 00:00:40.000]  我是生命的羊的時候
[00:00:40.000 --> 00:00:43.000]  其實耶穌基督要我們學習
[00:00:43.000 --> 00:00:47.000]  我們要用信心來等候神的供應
[00:00:47.000 --> 00:00:49.000]  當然對於我們很多時候
[00:00:49.000 --> 00:00:51.000]  這個等候神的供應
[00:00:51.000 --> 00:00:53.000]  很多時候未必很貼我們
[00:00:53.000 --> 00:00:54.000]  因為我們今天的生活
[00:00:54.000 --> 00:00:56.000]  或許我們不需要每一天
[00:00:56.000 --> 00:00:58.000]  去等候上帝給我們的供應
[00:00:58.000 --> 00:01:01.000]  我們不需要再等媽媽的日子
[00:01:01.000 --> 00:01:04.000]  甚至今天我們未吃午餐
[00:01:04.000 --> 00:01:06.000]  已經知道晚餐吃什麼都不奇怪
[00:01:06.000 --> 00:01:08.000]  所以我們的信心的等候
[00:01:08.000 --> 00:01:10.000]  未必是我們今天很貼切
[00:01:10.000 --> 00:01:11.000]  但另一方面
[00:01:11.000 --> 00:01:13.000]  其實這個世界可能很多人
[00:01:13.000 --> 00:01:16.000]  只是活在一個信心上的等候
[00:01:16.000 --> 00:01:17.000]  正如我前幾天
[00:01:17.000 --> 00:01:20.000]  我的博士論文的老師和我分享
[00:01:20.000 --> 00:01:21.000]  他說他最近這幾年
[00:01:21.000 --> 00:01:24.000]  接觸了雲南一個山區
[00:01:24.000 --> 00:01:28.000]  這個山區有一些中國人
[00:01:28.000 --> 00:01:30.000]  是一個族 一個暴族
[00:01:30.000 --> 00:01:33.000]  這個暴族過去曾經在緬甸住過
[00:01:33.000 --> 00:01:36.000]  結果在緬甸又回到雲南這個地方
[00:01:36.000 --> 00:01:40.000]  這個地方他們活得很艱苦的時候
[00:01:40.000 --> 00:01:43.000]  他們的小朋友仍然沒有衣著的時候
[00:01:43.000 --> 00:01:45.000]  而最奇怪的是
[00:01:45.000 --> 00:01:49.000]  這群人百分之九十都是基督徒
[00:01:49.000 --> 00:01:50.000]  都想不到
[00:01:50.000 --> 00:01:51.000]  百分之九十
[00:01:51.000 --> 00:01:52.000]  但他們沒有衣著
[00:01:52.000 --> 00:01:54.000]  很多小朋友沒有出道
[00:01:54.000 --> 00:01:56.000]  以致我老師過去幾年
[00:01:56.000 --> 00:02:01.000]  一直默默地去服侍這群群體
[00:02:01.000 --> 00:02:03.000]  怎樣去幫他們有教育
[00:02:03.000 --> 00:02:07.000]  怎樣幫他們重拾他們生命的成長
[00:02:07.000 --> 00:02:10.000]  我們未必感受到這種信心的供應
[00:02:10.000 --> 00:02:11.000]  但對於他們來說
[00:02:11.000 --> 00:02:13.000]  可能對於很多宣教士來說
[00:02:13.000 --> 00:02:16.000]  他們真的每一天正在等候上帝
[00:02:16.000 --> 00:02:18.000]  給他們的供應
[00:02:18.000 --> 00:02:19.000]  我是世界的光
[00:02:19.000 --> 00:02:21.000]  耶穌基督第二個宣告
[00:02:21.000 --> 00:02:23.000]  當然光是有一個帶領的作用
[00:02:23.000 --> 00:02:25.000]  一個引導的作用
[00:02:25.000 --> 00:02:26.000]  但亦都是一個見證
[00:02:26.000 --> 00:02:29.000]  所以上帝亦都透過耶穌基督提醒我們
[00:02:29.000 --> 00:02:31.000]  今日我們在這個世界上
[00:02:31.000 --> 00:02:34.000]  是否活出一個美好的見證
[00:02:34.000 --> 00:02:37.000]  這個燈不是擺在桌底下
[00:02:37.000 --> 00:02:38.000]  而是擺在桌上
[00:02:38.000 --> 00:02:39.000]  今日我們的生命
[00:02:39.000 --> 00:02:41.000]  是否令到我們旁邊的人
[00:02:41.000 --> 00:02:43.000]  覺得我們信耶穌
[00:02:43.000 --> 00:02:45.000]  嘩 信耶穌真的好精彩
[00:02:45.000 --> 00:02:48.000]  抑或你這樣信耶穌我就不信了
[00:02:48.000 --> 00:02:50.000]  如果這樣叫信耶穌我就不信了
[00:02:50.000 --> 00:02:51.000]  究竟我們的生命
[00:02:51.000 --> 00:02:53.000]  是令到人有甚麼回應呢
[00:02:53.000 --> 00:02:55.000]  這個是給我們一個提醒
[00:02:55.000 --> 00:02:56.000]  一個學習
[00:02:56.000 --> 00:02:57.000]  而第三
[00:02:57.000 --> 00:02:59.000]  耶穌說我是羊的門
