
[00:00:00.000 --> 00:00:03.000]  兄弟姐妹們,平安,一齊祈禱
[00:00:03.000 --> 00:00:10.000]  天父,感謝祢的恩典,讓我們在2023年第一天都來敬拜祢
[00:00:10.000 --> 00:00:14.000]  祢從歲首到年終都看顧我們的神
[00:00:14.000 --> 00:00:21.000]  我們也極其願意從歲首到年終,我們一直都會堅持敬拜祢
[00:00:22.000 --> 00:00:30.000]  祢的聖靈在我們當中,幫助我們認識祢更多,愛祢更多,奉耶穌幾多名祈禱,阿們
[00:00:30.000 --> 00:00:36.000]  今天是2023年第一天,首先我恭祝大家新年快樂
[00:00:36.000 --> 00:00:41.000]  我不知道大家有沒有一些新年的新願望
[00:00:41.000 --> 00:00:48.000]  我希望大家更多認識聖靈,並且成為一位更成熟的基督徒
[00:00:49.000 --> 00:00:54.000]  因此我們在新的一年開始的時候就有這個系列講到
[00:00:54.000 --> 00:00:59.000]  總題是聖靈是我們的幫助者
[00:00:59.000 --> 00:01:06.000]  今天我要從主耶穌介紹門徒認識聖靈
[00:01:06.000 --> 00:01:12.000]  去首先了解聖靈的身份,以及祂是怎樣幫助我們
[00:01:13.000 --> 00:01:22.000]  我相信所有基督徒都會認信基督教所相信的上帝是三位一體
[00:01:22.000 --> 00:01:27.000]  雖然我們很難了解,三位怎樣又是一體
[00:01:27.000 --> 00:01:36.000]  但我們仍然會相信上帝是三位一體,不是兩位一體,也不是四位一體
[00:01:37.000 --> 00:01:44.000]  因為雖然聖經裡沒有這個三位一體的說法,或者英文叫Trinity
[00:01:44.000 --> 00:01:57.000]  但是聖經所啟示的有關三位一體的經文是很多的,今天是其中一個
[00:01:57.000 --> 00:02:05.000]  對三位一體的認識來說,我們對主耶穌的認識當然是最清楚的
[00:02:06.000 --> 00:02:10.000]  因為福音書裡記載了很多主耶穌的生平事跡
[00:02:10.000 --> 00:02:15.000]  從祂的出生到死亡都有很清楚的記載
[00:02:15.000 --> 00:02:19.000]  但是對聖靈的認識是比較弱的
[00:02:19.000 --> 00:02:26.000]  所以我們希望通過這個系列的講道幫助大家更加認識聖靈
[00:02:26.000 --> 00:02:32.000]  並且在生活上我們會更多去尋求聖靈的幫助
[00:02:33.000 --> 00:02:40.000]  好,今天我們要從主耶穌的介紹,去認識聖靈是一位偉助者
[00:02:40.000 --> 00:02:45.000]  在楊方十四章十六節,主耶穌對門說:
[00:02:45.000 --> 00:02:55.000]  「我要求父,父就賜給你們另一位保衛師,使他永遠與你們同在」
[00:02:56.000 --> 00:03:05.000]  新約聖經的原文是用希臘文寫的,從希臘文去了解保衛師這個詞對我們會有些幫助
[00:03:05.000 --> 00:03:14.000]  原文這個詞是有「安慰者」和「幫助者」的意思,甚至有「輔導員」的含義
[00:03:14.000 --> 00:03:22.000]  英文聖經的翻譯有些翻譯為「Helper」,有些翻譯為「Advocate」
[00:03:23.000 --> 00:03:30.000]  即是一位公開支持你的信念的人,或者通俗一點來說就是粉絲
[00:03:30.000 --> 00:03:37.000]  因此現代中文的翻譯就譯為「衛助者」
[00:03:37.000 --> 00:03:44.000]  而在和修版也有一個註腳話可以譯為「勸慰者」
[00:03:45.000 --> 00:03:56.000]  介紹「保衛師」或「衛助者」這個翻譯後,我想先介紹聖靈是和主耶穌和天父一樣,同樣是上帝
[00:03:56.000 --> 00:04:01.000]  或者說祂是三位一體的上帝其中一位
[00:04:01.000 --> 00:04:07.000]  十六之說:「另一位衛助者永遠與你們同在」
[00:04:07.000 --> 00:04:13.000]  「另一位」其實包含了代替耶穌的意思
[00:04:14.000 --> 00:04:23.000]  從有武漢第十四章的上文來看,我們知道主耶穌已經告訴門徒祂要走了
[00:04:23.000 --> 00:04:30.000]  所以祂安慰門徒說:「你們不用擔憂,以後沒有人帶領你們」
[00:04:30.000 --> 00:04:35.000]  「我會要求父派另一位代替我」
[00:04:35.000 --> 00:04:43.000]  「而且祂永遠不會離開你們,永遠與你們同在」
[00:04:44.000 --> 00:04:52.000]  在第十七節,主耶穌稱呼那位「衛助者」是「真理的靈」
[00:04:52.000 --> 00:05:00.000]  在約翰福音十四章六節,主耶穌已經宣告過:「我就是道路,真理生命」
[00:05:00.000 --> 00:05:09.000]  如果這位「衛助者」也是「真理」,那就是和主耶穌同等了
[00:05:10.000 --> 00:05:19.000]  十八節也很奇怪,耶穌說:「我不撇下你們為孤兒,我要再回到你們這裏來」
[00:05:19.000 --> 00:05:26.000]  如果沒有前面那句話:「我要再回到你們這裏來」
[00:05:26.000 --> 00:05:31.000]  其實可以指主耶穌復活後向門顯現的事
[00:05:32.000 --> 00:05:41.000]  但由於有前面那句話:「我不撇下你們為孤兒」,包含了一個意思:祂回來後是不會走的
[00:05:41.000 --> 00:05:50.000]  但我們知道主耶穌復活,復活了四十天後,又回到天上,再走過
[00:05:50.000 --> 00:05:58.000]  因此這裏應該是主耶穌藉著聖靈,再回到門徒那裏
[00:05:59.000 --> 00:06:02.000]  而不會撇下他們為孤兒
[00:06:02.000 --> 00:06:14.000]  如果我們把十七節和二十節一起看,那就更加明顯看到耶穌和聖靈的一體性
[00:06:14.000 --> 00:06:27.000]  十七節最後一句話:「因為他(他在你們生命裏常與你們同在)
[00:06:28.000 --> 00:06:35.000]  而二十節最後一句話:「你們在我裏面,我也在你們裏面」
[00:06:35.000 --> 00:06:43.000]  所以我們看到第十七節「他就是我,我就是他,聖靈也是我,我就是聖靈」
[00:06:43.000 --> 00:06:46.000]  好像沒有什麼分別
[00:06:46.000 --> 00:06:52.000]  換句話說,主耶穌和聖靈真的沒有分別
