
[00:00:00.000 --> 00:00:05.520]  今天和大家分享教會編排的經文
[00:00:05.520 --> 00:00:06.880]  永生之道
[00:00:06.880 --> 00:00:09.520]  我想先問大家一個問題
[00:00:09.520 --> 00:00:11.840]  如果有人問你
[00:00:11.840 --> 00:00:15.760]  大兄、姊妹或微信問你
[00:00:15.760 --> 00:00:21.520]  朋友,你可否告訴我什麼是永生之道?
[00:00:21.520 --> 00:00:23.840]  你會怎樣回答他?
[00:00:23.840 --> 00:00:25.840]  你會告訴他什麼?
[00:00:25.840 --> 00:00:27.840]  什麼是永生之道?
[00:00:27.840 --> 00:00:32.080]  你會說:你跟我回教會找牧師吧
[00:00:32.080 --> 00:00:34.080]  我叫牧師幫你回答
[00:00:34.080 --> 00:00:36.080]  這個方法也不錯
[00:00:36.080 --> 00:00:38.880]  如果你能夠有答案
[00:00:38.880 --> 00:00:42.000]  即是你對你的信仰也很清楚
[00:00:42.000 --> 00:00:46.400]  所以我們今天希望透過短短30分鐘的時間
[00:00:46.400 --> 00:00:48.400]  我們透過這段經文
[00:00:48.400 --> 00:00:51.520]  學一些很重要的舊儀
[00:00:51.520 --> 00:00:59.680]  在講台上我們可以用來講清楚基督教的舊儀
[00:00:59.680 --> 00:01:04.000]  這個也是教會講台的一個功能
[00:01:04.000 --> 00:01:07.120]  我們永生是什麼意思
[00:01:07.120 --> 00:01:09.120]  我們怎樣看罪
[00:01:09.120 --> 00:01:10.800]  我們怎樣看神
[00:01:10.800 --> 00:01:11.840]  這些重要的舊儀
[00:01:11.840 --> 00:01:15.600]  我想有時我們在教會的講壇也可以說
[00:01:15.600 --> 00:01:17.760]  很感恩今天這段經文
[00:01:17.760 --> 00:01:23.360]  可以讓我們來看耶穌怎樣來講永生
[00:01:23.360 --> 00:01:28.080]  我想現在先給大家一些印象
[00:01:28.080 --> 00:01:30.640]  這段經文的一些亮點
[00:01:30.640 --> 00:01:32.240]  因為經文很長
[00:01:32.240 --> 00:01:35.360]  我用這個方式給大家一些印象
[00:01:35.360 --> 00:01:40.000]  因為如果你平時有做我們教會的靈修
[00:01:40.000 --> 00:01:42.320]  這些經文你就很熟悉了
[00:01:42.320 --> 00:01:43.680]  如果沒有的話
[00:01:43.680 --> 00:01:47.520]  你可以用你前面的那本聖經
[00:01:47.520 --> 00:01:50.160]  或者你可以用你手機的聖經打開
[00:01:50.160 --> 00:01:51.840]  但不要看WhatsApp就可以了
[00:01:51.840 --> 00:01:55.360]  有什麼亮點呢
[00:01:55.360 --> 00:02:00.400]  第一就是耶穌宣告祂自己是生命的靈
[00:02:00.400 --> 00:02:04.560]  這是我們在聖經裏面很震撼的
[00:02:04.560 --> 00:02:06.880]  祂說我是生命的靈
[00:02:06.880 --> 00:02:08.880]  這是其中的亮點
[00:02:08.880 --> 00:02:12.480]  第二就是耶穌和眾人說
[00:02:12.480 --> 00:02:14.480]  要吃祂的肉
[00:02:14.480 --> 00:02:16.000]  要喝祂的血
[00:02:16.000 --> 00:02:18.880]  這都是我們讀到《約翰福音》的時候
[00:02:18.880 --> 00:02:21.040]  覺得很難以明白的
[00:02:21.040 --> 00:02:23.360]  甚至難以接受
[00:02:23.360 --> 00:02:27.600]  甚至在經文裏面也告訴我們
[00:02:27.600 --> 00:02:29.200]  當時有很多的門徒
[00:02:29.200 --> 00:02:30.880]  聽到這句話
[00:02:30.880 --> 00:02:33.120]  都離開了耶穌
[00:02:33.120 --> 00:02:37.440]  第三就是耶穌問十二門徒
[00:02:37.440 --> 00:02:39.840]  你們是不是要離開我?
[00:02:39.840 --> 00:02:43.360]  你們是不是也要和他們一樣離開我?
[00:02:43.360 --> 00:02:48.160]  這也是特別記載在聖經裏面的一節經文
[00:02:48.160 --> 00:02:53.760]  另外就是彼得說出那句很出名的話
[00:02:53.760 --> 00:02:57.440]  主啊,祢有永生之道
[00:02:57.440 --> 00:03:00.960]  我們魂歸屬誰呢?
[00:03:00.960 --> 00:03:02.800]  主有永生之道
[00:03:02.800 --> 00:03:04.800]  也是從這段經文出來的
[00:03:04.800 --> 00:03:08.480]  最後有一件事可能我們沒有留意
