
[00:00:00.000 --> 00:00:03.280]  這個聖經可信媽系列
[00:00:03.280 --> 00:00:06.440]  我們已經講到尾二的一個訊息
[00:00:06.440 --> 00:00:10.760]  今天要和大家講的是聖經裡面的預言
[00:00:10.760 --> 00:00:12.560]  我曾經講過
[00:00:12.560 --> 00:00:16.080]  神在聖經裡面有祂的特別啟示
[00:00:16.080 --> 00:00:19.280]  自然啟示就是創神的創造
[00:00:19.280 --> 00:00:21.640]  但是不能夠讓我們認識神
[00:00:21.640 --> 00:00:25.660]  神是透過特別的啟示將祂自己顯現出來
[00:00:25.660 --> 00:00:27.600]  包括三個部分
[00:00:27.600 --> 00:00:31.280]  第一是祂在舊約不斷向人顯現
[00:00:31.280 --> 00:00:35.800]  透過夢境、異象、甚至祭籤
[00:00:35.800 --> 00:00:38.240]  讓人看到祂的旨意
[00:00:38.240 --> 00:00:41.120]  讓人知道祂的存在
[00:00:41.120 --> 00:00:45.040]  第二就是祂是無所不能的神
[00:00:45.040 --> 00:00:49.300]  所以祂在聖經裡面有很多祂的神跡、歧視
[00:00:49.300 --> 00:00:52.720]  這個也是我上一次和大家分享的
[00:00:52.720 --> 00:00:56.800]  今天要講的就是祂是無所不知的神
[00:00:56.800 --> 00:00:59.240]  所以祂是知道一切
[00:00:59.240 --> 00:01:04.320]  在詩篇的139篇的4節、147篇的5節
[00:01:04.320 --> 00:01:09.200]  以塞亞書的40章28節和約翰一書的3章20
[00:01:09.200 --> 00:01:12.280]  都告訴我們祂是無所不知
[00:01:12.280 --> 00:01:15.360]  祂在我們的時間和空間的外面
[00:01:15.360 --> 00:01:18.040]  能知過去未來
[00:01:18.040 --> 00:01:20.120]  今天的經文剛才讀過
[00:01:20.120 --> 00:01:24.000]  就是以塞亞書的46章9至10節
[00:01:24.000 --> 00:01:26.640]  你們要追憐上古的事
[00:01:26.640 --> 00:01:30.000]  因為我是神,並無別神
[00:01:30.000 --> 00:01:33.200]  我是神,在沒有能給我的
[00:01:33.200 --> 00:01:35.800]  我從起初指明末後的事
[00:01:35.800 --> 00:01:39.200]  從古時言明未成的事說
[00:01:39.200 --> 00:01:41.480]  我的囚算必立定
[00:01:41.480 --> 00:01:45.480]  凡我所喜悅的,我必成就
[00:01:45.480 --> 00:01:47.840]  神祂喜歡做什麼就做什麼
[00:01:47.840 --> 00:01:51.560]  祂所講的事一定是會發生
