
[00:00:00.000 --> 00:00:05.000]  各位,新年快樂!
[00:00:05.000 --> 00:00:10.000]  今天是我們的春節,是農曆的新年。
[00:00:10.000 --> 00:00:17.000]  您知道嗎?我們農曆的新年跟猶太人的一月節有什麼相似之處?
[00:00:17.000 --> 00:00:19.000]  非常地方是很相像的。
[00:00:19.000 --> 00:00:26.000]  譬如,第一,都是定在這一天為正月初一。
[00:00:26.000 --> 00:00:35.000]  那麼聖經上面說,摩西從神領受,就是說以這一月為一年的首月,為第一天。
[00:00:35.000 --> 00:00:40.000]  那麼過這個節,它的地點應該是哪裡呢?
[00:00:40.000 --> 00:00:47.000]  猶太人是通通要在家裡面,要在那裡團聚,要在那裡守夜,
[00:00:47.000 --> 00:00:53.000]  要在那裡聚餐,要在那裡盛會,要在那裡讚美神。
[00:00:53.000 --> 00:00:56.000]  我們也是一樣,我們都要在家裡面。
[00:00:56.000 --> 00:01:06.000]  我記得我以前小時候,年三十晚除夕夜,高高興興,快快樂樂,穿著新衣服,
[00:01:06.000 --> 00:01:16.000]  然後拿著壓歲錢,然後就玩十點半,十分鐘不到,全部都輸光了。
[00:01:16.000 --> 00:01:19.000]  年年如此。
[00:01:19.000 --> 00:01:26.000]  但是不管怎麼樣,這是我們的傳統,跟猶太人一樣,大家都高高興興,快快樂樂。
[00:01:26.000 --> 00:01:29.000]  而要做什麼工作呢?
[00:01:29.000 --> 00:01:34.000]  我們在除夕,我們在之前,我們要大掃除。
[00:01:34.000 --> 00:01:41.000]  今天我們教會沒有大掃除,應該各家各人都要大掃除,
[00:01:41.000 --> 00:01:51.000]  把家裡面弄得乾乾淨淨的,要除掉一切的晦氣,要煥然一新,迎接新的一年。
[00:01:51.000 --> 00:01:58.000]  而且我們要喫無效麵包的餃子等等。
[00:01:58.000 --> 00:02:06.000]  那麼猶太人也是這樣,他們要整裝待發,他們要喫羔羊宴,
[00:02:06.000 --> 00:02:16.000]  他們要喫羊肉無效餅,還有苦菜等,隨時準備要出埃及,要準備出發去了。
[00:02:16.000 --> 00:02:24.000]  所以那個晚上,我們叫做大團圓,那麼中國人如此,猶太人也是如此。
[00:02:24.000 --> 00:02:31.000]  至於大年初一,大年初二等等,一路下來,其他的日子,
[00:02:31.000 --> 00:02:37.000]  我們中國人要記住,我們要團拜,我們還要回孃家。
[00:02:37.000 --> 00:02:44.000]  那麼猶太人呢,他們要有盛會,要聚會,他們不可以做任何的工作,非常的好。
[00:02:44.000 --> 00:02:54.000]  因為那幾天是大大的要享福,包括他們連喫什麼,連做菜做飯都不行,
[00:02:54.000 --> 00:02:58.000]  所以之前就要全部通通做好了。
[00:02:58.000 --> 00:03:10.000]  我記得以前剛結婚沒多久,過年,是要到你家過呢?還是我家過呢?還是我們的家過呢?
[00:03:10.000 --> 00:03:13.000]  常常為這種事情吵來吵去。
[00:03:13.000 --> 00:03:23.000]  今天我們很高興我們在神的家裡面來過,待會我們各自回家也可以一起來過年。
[00:03:23.000 --> 00:03:34.000]  而世世代代中國人都把這一天,這一個節日定為傳統,猶太人守它為聖日。
[00:03:34.000 --> 00:03:41.000]  那麼我們會在門框門楣上面貼上春聯,紅通通的春聯,
[00:03:41.000 --> 00:03:57.000]  會四季如春,猴年運騰,或者是什麼什麼吉祥的話。猶太人也是,他們要在門內門框上塗上羊的血。
[00:03:57.000 --> 00:04:08.000]  為什麼呢?因為滅命天使,他要來殺投生的,凡埃及地投生的都要被殺。
[00:04:08.000 --> 00:04:18.000]  但是當他看到門內門框上有羔羊的血的時候,他知道是神的指名,他就要越過去,他就要pass over。
[00:04:18.000 --> 00:04:22.000]  所以這個日子叫做越節,pass over。
[00:04:22.000 --> 00:04:32.000]  那麼中國人也是一樣,我們要放鞭炮,我們要敲鑼打鼓,要驅趕喫人的年獸。
[00:04:32.000 --> 00:04:36.000]  所以我們又長了一歲,感謝神,讚美神。
[00:04:36.000 --> 00:04:41.000]  今年是2016年,我們步入猴年。
[00:04:41.000 --> 00:04:53.000]  為什麼猴呢?因為這是我們中國人從魏晉南北朝時代就用十二生肖來把人的出生年月日,
[00:04:53.000 --> 00:05:00.000]  出生的天干地枝跟十二樣動物十二生肖把它連起來。
[00:05:00.000 --> 00:05:12.000]  各位一起跟我來數,一鼠、二牛、三虎、四兔、五龍、六蛇、七馬、八羊、九猴、十雞、十一狗、十二老母豬、小豬,阿雷諾亞、讚美神。
[00:05:12.000 --> 00:05:16.000]  我是屬虎的,我有的時候說是屬貓的。
[00:05:16.000 --> 00:05:26.000]  但是當我們把天干地枝跟人的出生年連在一起的時候,就有了十二生肖。
[00:05:26.000 --> 00:05:39.000]  天干是什麼?天干就是嘉峪丙丁物體根芯韌葵,地枝是直籌銀毛層四五位生球物骸。
[00:05:39.000 --> 00:05:46.000]  今年是什麼年呢?今年是2016年,是丙生年。
[00:05:46.000 --> 00:05:50.000]  丙生年怎麼算呢?我教你們一個最簡單的算法。
