
[00:00:00.000 --> 00:00:01.000]  大英姊妹 早晨
[00:00:01.000 --> 00:00:04.000]  讓我們先一起低頭禱告
[00:00:04.000 --> 00:00:09.000]  親愛的天父 感謝你招聚我們在教會裏面
[00:00:09.000 --> 00:00:12.000]  一起仰望你的恩典
[00:00:12.000 --> 00:00:14.000]  求你開放我們的心
[00:00:14.000 --> 00:00:18.000]  讓你的道在我們生命裏面扎根
[00:00:18.000 --> 00:00:20.000]  我們這樣禱告
[00:00:20.000 --> 00:00:23.000]  是奉主耶穌基督的名字祈求
[00:00:26.000 --> 00:00:31.000]  今天我們的講題叫做「我們抓住的稻草」
[00:00:31.000 --> 00:00:36.000]  可能有些人看到這個講題都大概猜到它的出處
[00:00:36.000 --> 00:00:40.000]  這個講題的出處就是有一句英文的諺語
[00:00:40.000 --> 00:00:42.000]  叫做「抓住稻草」
[00:00:42.000 --> 00:00:43.000]  不知道大家有沒有聽過
[00:00:43.000 --> 00:00:47.000]  意思就是當一個人他浸在水裏面
[00:00:47.000 --> 00:00:50.000]  或者他在困境裏面的時候
[00:00:50.000 --> 00:00:52.000]  他無論見到什麼飄浮著
[00:00:52.000 --> 00:00:55.000]  他都會很想游游游走過去抓住他
[00:00:55.000 --> 00:00:58.000]  就算只是一根稻草都不例外
[00:00:58.000 --> 00:01:01.000]  我想中文裏面有一個類似的想法
[00:01:01.000 --> 00:01:04.000]  叫做「病急亂投醫」
[00:01:04.000 --> 00:01:05.000]  都很相似
[00:01:05.000 --> 00:01:08.000]  講題有這條「救命稻草」
[00:01:08.000 --> 00:01:12.000]  跟我們今天的經文有什麼關係呢
[00:01:12.000 --> 00:01:13.000]  我們一起看看
[00:01:13.000 --> 00:01:18.000]  今天的經文一開始第一節就講到
[00:01:19.000 --> 00:01:25.000]  第二天官長、長老、民事在耶路撒冷聚集
[00:01:25.000 --> 00:01:29.000]  又有大祭司和他們的親族在那裏
[00:01:29.000 --> 00:01:32.000]  第二天又發生這麼多人聚集的事
[00:01:32.000 --> 00:01:34.000]  發生了什麼事呢
[00:01:34.000 --> 00:01:37.000]  為什麼這班人要突然聚集在一起呢
[00:01:37.000 --> 00:01:42.000]  事源就是第二天的前一天
[00:01:42.000 --> 00:01:43.000]  第一天
[00:01:43.000 --> 00:01:45.000]  第一天發生了什麼事呢
[00:01:45.000 --> 00:01:48.000]  這件事一講出來大家應該有些印象
[00:01:48.000 --> 00:01:51.000]  因為上星期林牧師正道都有提到這件事
[00:01:51.000 --> 00:01:55.000]  這件事就是使徒彼得、約翰
[00:01:55.000 --> 00:01:58.000]  他們經過耶路撒冷的聖殿
[00:01:58.000 --> 00:02:00.000]  在一個尾門的門口
[00:02:00.000 --> 00:02:02.000]  見到一個騎腿的人
[00:02:02.000 --> 00:02:03.000]  大家可能記得
[00:02:03.000 --> 00:02:07.000]  彼得在那時候對他說了一句很出名的
[00:02:07.000 --> 00:02:12.000]  「金銀我都沒有,但我們將我們所有的都給你」
[00:02:12.000 --> 00:02:16.000]  「奉勒撒冷耶穌基督的名字,叫你起身」
[00:02:17.000 --> 00:02:20.000]  然後彼得就伸出一隻手
[00:02:20.000 --> 00:02:22.000]  將那個騎腿的人拉起身
[00:02:22.000 --> 00:02:25.000]  騎腿的人當刻就存在
[00:02:25.000 --> 00:02:27.000]  馬上跑跑跳跳
[00:02:27.000 --> 00:02:30.000]  周圍附近的人一定很驚訝
[00:02:30.000 --> 00:02:32.000]  想像到全世界都認得他
[00:02:32.000 --> 00:02:36.000]  由早到晚坐在尾門門口的騎腿的人
[00:02:36.000 --> 00:02:38.000]  全世界都知道他是求人施捨
[00:02:38.000 --> 00:02:40.000]  一直都是騎腿
[00:02:40.000 --> 00:02:43.000]  但現在在大家的眼前跑跑跳跳
[00:02:43.000 --> 00:02:46.000]  在醫治完這個騎腿的人之後
[00:02:46.000 --> 00:02:48.000]  彼得就把握機會
[00:02:48.000 --> 00:02:52.000]  把握機會就在群眾面前傳福音
[00:02:52.000 --> 00:02:54.000]  管理聖殿的人之後
[00:02:54.000 --> 00:02:57.000]  和殺刀那人就收到消息
[00:02:57.000 --> 00:03:00.000]  知道彼得、約翰在那裡妖言惑眾
[00:03:00.000 --> 00:03:01.000]  造謠身事
[00:03:01.000 --> 00:03:04.000]  說什麼耶穌死而復活
[00:03:04.000 --> 00:03:05.000]  馬上怎樣呢
[00:03:05.000 --> 00:03:07.000]  快刀斬亂麻,抓了他們再說
[00:03:07.000 --> 00:03:09.000]  但當時已經開始天黑
[00:03:09.000 --> 00:03:11.000]  所以這幫管理聖殿的人決定
[00:03:11.000 --> 00:03:14.000]  等到第二天才看看怎樣處置他們
[00:03:14.000 --> 00:03:18.000]  於是彼得、約翰就被困在拘留所一晚
[00:03:18.000 --> 00:03:21.000]  之後就來到今天的經文
[00:03:21.000 --> 00:03:24.000]  一開始的第二天
[00:03:24.000 --> 00:03:27.000]  第二天有很多權貴聚集在耶路撒冷
[00:03:27.000 --> 00:03:29.000]  去審問彼得、約翰
[00:03:29.000 --> 00:03:32.000]  在第七節他們問彼得、約翰
[00:03:32.000 --> 00:03:34.000]  你們憑什麼能力
