
[00:00:00.000 --> 00:00:01.920]  我們一整年都會講真言
[00:00:01.920 --> 00:00:04.440]  有部份是講其他的書卷
[00:00:04.440 --> 00:00:06.600]  但是今天就開始第一了
[00:00:06.600 --> 00:00:07.880]  生活的智慧
[00:00:07.880 --> 00:00:10.120]  我們有生活 但是沒什麼智慧
[00:00:10.120 --> 00:00:12.080]  有些時候我們做人
[00:00:12.080 --> 00:00:16.080]  不至於行屍走肉
[00:00:16.080 --> 00:00:17.600]  意思就是說
[00:00:17.600 --> 00:00:20.400]  一天這樣過
[00:00:20.400 --> 00:00:23.400]  又不知道生活應該怎樣過
[00:00:23.400 --> 00:00:26.840]  今天我就講怎樣去結交朋友
[00:00:27.960 --> 00:00:30.880]  其實你生活在一個社群裏面
[00:00:30.880 --> 00:00:32.440]  不能夠沒有朋友
[00:00:32.440 --> 00:00:35.240]  大家坐在這裏都有朋友對不對
[00:00:35.240 --> 00:00:38.160]  你覺得你很孤獨的請舉手
[00:00:38.160 --> 00:00:40.120]  很孤單的有沒有
[00:00:40.120 --> 00:00:42.560]  我知道我們辦公室有一個
[00:00:42.560 --> 00:00:43.680]  阿莊傳道
[00:00:43.680 --> 00:00:44.880]  現在他很孤單
[00:00:44.880 --> 00:00:48.480]  整天在EF工作
[00:00:48.480 --> 00:00:51.480]  我們是要很主動的打電話給他
[00:00:51.480 --> 00:00:53.000]  今天去吃午飯
[00:00:53.000 --> 00:00:55.000]  很坦白告訴大家
[00:00:55.000 --> 00:00:57.040]  我們同工因為不同時間上班
[00:00:57.040 --> 00:00:59.160]  我們都沒什麼機會一起吃午飯
[00:00:59.160 --> 00:01:00.680]  就算在自己的辦公室
[00:01:00.680 --> 00:01:02.600]  真的要約才吃到午飯
[00:01:02.600 --> 00:01:06.680]  唯有要很主動的約他
[00:01:06.680 --> 00:01:08.480]  我那天問他你孤不孤單
[00:01:08.480 --> 00:01:09.760]  他不出聲 不承認
[00:01:09.760 --> 00:01:15.640]  我們都有朋友對不對
[00:01:15.640 --> 00:01:18.240]  師班一定是好朋友
[00:01:18.240 --> 00:01:21.320]  你們每個禮拜見兩次
[00:01:21.320 --> 00:01:22.800]  你想一下
[00:01:22.800 --> 00:01:27.200]  你有什麼朋友是每個禮拜見兩次的
[00:01:27.200 --> 00:01:29.920]  每個禮拜見兩次
[00:01:29.920 --> 00:01:31.360]  如果我們是同事
[00:01:31.360 --> 00:01:36.600]  我相信你和同事一起見面的日子
[00:01:36.600 --> 00:01:40.080]  很可能多過家人
[00:01:40.080 --> 00:01:43.760]  你最好的朋友是不是你的同事
[00:01:43.760 --> 00:01:45.120]  其實很艱難的
[00:01:45.120 --> 00:01:49.560]  因為同事裏面有很多所謂利益關係
[00:01:49.560 --> 00:01:51.280]  這個生意你做 我不做
[00:01:51.280 --> 00:01:53.040]  給你做 給你做 便宜你
[00:01:53.040 --> 00:01:55.840]  會不會啊 當然是我做
[00:01:55.840 --> 00:01:57.040]  會不會這樣的
[00:01:57.040 --> 00:01:58.040]  當然有些情況
[00:01:58.040 --> 00:01:59.360]  我知道他生活艱難
[00:01:59.360 --> 00:02:01.440]  這一單給你做
[00:02:01.440 --> 00:02:04.760]  這個是朋友
[00:02:04.760 --> 00:02:08.000]  所以坐在你旁邊的那個
[00:02:08.000 --> 00:02:09.360]  一般來說
[00:02:09.360 --> 00:02:10.720]  就算崇拜都是你的好朋友
[00:02:10.720 --> 00:02:13.760]  對不對
[00:02:13.760 --> 00:02:14.560]  認識十幾年
