
[00:00:00.000 --> 00:00:04.000]  今天是叫做 Palm Sunday
[00:00:04.000 --> 00:00:08.000]  也就是中樹枝的主日
[00:00:08.000 --> 00:00:12.000]  一般來說 主耶穌在這一個禮拜天
[00:00:12.000 --> 00:00:16.000]  祂進城 進耶路撒冷城
[00:00:16.000 --> 00:00:20.000]  然後在接下來的這一個禮拜裡面
[00:00:20.000 --> 00:00:22.000]  我們看見
[00:00:22.000 --> 00:00:26.000]  這些的事情就一個一個的發生
[00:00:26.000 --> 00:00:28.000]  一直到了下一個禮拜天
[00:00:28.000 --> 00:00:30.000]  也就是復活節的主日
[00:00:30.000 --> 00:00:32.000]  耶穌從死裡復活
[00:00:32.000 --> 00:00:35.000]  在天主教的教會裡面
[00:00:35.000 --> 00:00:37.000]  特別我在中南美洲宣教的時候
[00:00:37.000 --> 00:00:39.000]  這一段時間
[00:00:39.000 --> 00:00:41.000]  大家都趕快
[00:00:41.000 --> 00:00:44.000]  Before這一週叫做聖週
[00:00:44.000 --> 00:00:46.000]  或者說受難週
[00:00:46.000 --> 00:00:49.000]  西班牙文叫做 Semana Santa
[00:00:49.000 --> 00:00:53.000]  這一週不能夠吃肉的
[00:00:53.000 --> 00:00:56.000]  但是可以吃魚
[00:00:56.000 --> 00:00:58.000]  這是他們天主教的
[00:00:58.000 --> 00:01:00.000]  那個拉丁美洲的規定
[00:01:00.000 --> 00:01:02.000]  所以他們這段時間
[00:01:02.000 --> 00:01:05.000]  大家之所以不去吃肉這些東西
[00:01:05.000 --> 00:01:07.000]  其實就是要他們花這段時間
[00:01:07.000 --> 00:01:10.000]  在這裡默想耶穌基督
[00:01:10.000 --> 00:01:12.000]  在這一段路的過程當中
[00:01:12.000 --> 00:01:14.000]  這幾天的當中
[00:01:14.000 --> 00:01:16.000]  祂所走過的路
[00:01:16.000 --> 00:01:18.000]  盼望我們
[00:01:18.000 --> 00:01:20.000]  有的時候我覺得我們基督教
[00:01:20.000 --> 00:01:22.000]  我們非常強調我們是自由的
[00:01:22.000 --> 00:01:24.000]  我們不再被律法
[00:01:24.000 --> 00:01:26.000]  條條框框捆住
[00:01:26.000 --> 00:01:28.000]  可是有的時候我們是自由的過了頭
[00:01:28.000 --> 00:01:29.000]  有沒有
[00:01:29.000 --> 00:01:32.000]  我們就變成是我們很沒形式
[00:01:32.000 --> 00:01:34.000]  我們也很不管這些東西了
[00:01:34.000 --> 00:01:36.000]  但其實不是的
[00:01:36.000 --> 00:01:38.000]  不要把這些的節日
[00:01:38.000 --> 00:01:41.000]  就當作是一個蠕聽的聚會
[00:01:41.000 --> 00:01:43.000]  那我們預備心
[00:01:43.000 --> 00:01:45.000]  耶穌在這一天
[00:01:45.000 --> 00:01:47.000]  這個 Palm Sunday
[00:01:47.000 --> 00:01:49.000]  祂進城了
[00:01:49.000 --> 00:01:50.000]  聖經裡面
[00:01:50.000 --> 00:01:52.000]  哪一段聖經講的這些事情呢
[00:01:52.000 --> 00:01:54.000]  就是你剛才所讀的那段聖經
[00:01:54.000 --> 00:01:56.000]  馬太福音21章
[00:01:56.000 --> 00:01:57.000]  還記得嗎
[00:01:57.000 --> 00:02:01.000]  耶穌祂跟著門徒們
[00:02:01.000 --> 00:02:04.000]  將近耶路撒冷的時候
[00:02:04.000 --> 00:02:07.000]  在這段聖經裡面講到
[00:02:07.000 --> 00:02:09.000]  耶穌到了哪裡呢
