
[00:00:00.000 --> 00:00:01.880]  再一次很特別
[00:00:01.880 --> 00:00:06.560]  因為是完全網上直播的崇拜
[00:00:06.560 --> 00:00:09.400]  因為我下面看到的
[00:00:09.400 --> 00:00:11.760]  也有一些弟兄姊妹
[00:00:11.760 --> 00:00:12.520]  不是很多
[00:00:12.520 --> 00:00:15.680]  因為我們也要按照政府的要求
[00:00:15.680 --> 00:00:17.400]  後面也跟他們握手
[00:00:17.400 --> 00:00:18.920]  也有一些人在
[00:00:18.920 --> 00:00:19.920]  有些童工在
[00:00:19.920 --> 00:00:21.120]  我們也很感謝童工
[00:00:21.120 --> 00:00:24.120]  這麼多個月下來
[00:00:24.120 --> 00:00:27.320]  你們對教會那種清潔
[00:00:27.320 --> 00:00:30.200]  或者他們防疫的行動小組
[00:00:30.200 --> 00:00:31.280]  我也很欣賞
[00:00:31.280 --> 00:00:34.440]  也求鼠繼續幫助我們
[00:00:34.440 --> 00:00:35.880]  接下來這十四天
[00:00:35.880 --> 00:00:37.600]  政府說這十四天
[00:00:37.600 --> 00:00:40.040]  我們也能夠大家
[00:00:40.040 --> 00:00:43.520]  盡量去克制自己的一些活動
[00:00:43.520 --> 00:00:45.720]  希望這十四天
[00:00:45.720 --> 00:00:49.080]  真的能夠轉化這個城市
[00:00:49.080 --> 00:00:50.680]  能夠改變這個城市
[00:00:50.680 --> 00:00:52.480]  當然過了十四天之後
[00:00:52.480 --> 00:00:54.720]  可能也差不多
[00:00:54.720 --> 00:00:56.840]  應該是到復活節了
[00:00:56.840 --> 00:00:58.000]  在那個時間
[00:00:58.000 --> 00:00:59.680]  所以我們祈求天父
[00:00:59.680 --> 00:01:01.520]  真的在復活節之前
[00:01:01.520 --> 00:01:03.440]  我們能夠看到
[00:01:03.440 --> 00:01:05.240]  神自己的作為
[00:01:05.240 --> 00:01:07.560]  能夠將這個疫情
[00:01:07.560 --> 00:01:09.560]  減到最低
[00:01:09.560 --> 00:01:12.760]  縱然我們今天在人的眼中去看
[00:01:12.760 --> 00:01:15.520]  似乎好像看不到那個
[00:01:15.520 --> 00:01:17.480]  什麼時候會結束這個疫情
[00:01:17.480 --> 00:01:18.960]  不過我相信上帝
[00:01:18.960 --> 00:01:21.840]  也有祂自己的時間表
[00:01:21.840 --> 00:01:22.960]  在我們的心當中
[00:01:22.960 --> 00:01:25.000]  所以我們繼續呼求神
[00:01:25.000 --> 00:01:26.200]  繼續禱告
[00:01:26.200 --> 00:01:29.120]  繼續讓上帝的心意去成就
[00:01:29.120 --> 00:01:31.000]  今天我仍然是用
[00:01:31.000 --> 00:01:32.400]  耶穌基督的門徒
[00:01:32.400 --> 00:01:33.920]  來到這個系列
[00:01:33.920 --> 00:01:36.240]  去到第五個門徒
[00:01:36.240 --> 00:01:38.160]  今天這個門徒
[00:01:38.160 --> 00:01:39.120]  我的名字
[00:01:39.120 --> 00:01:41.120]  我的題目名
[00:01:41.120 --> 00:01:46.240]  就是「嫌己歡人的雅各」
[00:01:46.240 --> 00:01:47.640]  而這個雅各就是
[00:01:47.640 --> 00:01:50.840]  西比泰的其中一個兒子
[00:01:50.840 --> 00:01:54.320]  他的兄弟就是約翰
[00:01:54.320 --> 00:01:58.520]  我今天跟大家去分享這個雅各
[00:01:58.520 --> 00:01:59.600]  當然
[00:01:59.600 --> 00:02:03.320]  因為在聖經裡記載雅各的經文
[00:02:03.320 --> 00:02:06.440]  其實也不算是很少
[00:02:06.440 --> 00:02:07.800]  所以我只能夠
[00:02:07.800 --> 00:02:10.000]  跟大家去
[00:02:10.000 --> 00:02:12.880]  很熟悉的去簡單看一段聖經
[00:02:12.880 --> 00:02:15.000]  就是講到有一天
[00:02:15.000 --> 00:02:18.400]  這個西比泰的兒子雅各和約翰
[00:02:18.400 --> 00:02:20.000]  他去找耶穌
[00:02:20.000 --> 00:02:22.200]  他去找耶穌向祂求
[00:02:22.200 --> 00:02:25.320]  他說:耶穌啊,我向祢求什麼
[00:02:25.320 --> 00:02:27.320]  祢都要答應我
[00:02:27.320 --> 00:02:28.760]  耶穌就說:
[00:02:28.760 --> 00:02:30.760]  祢要我給你們什麼呢?
[00:02:30.760 --> 00:02:31.960]  耶穌就說:
[00:02:31.960 --> 00:02:35.520]  如果有一天你能夠成為皇帝
[00:02:35.520 --> 00:02:37.240]  就像我今天所說的
[00:02:37.240 --> 00:02:40.280]  就像我們在你的榮耀裡
[00:02:40.280 --> 00:02:42.320]  一個坐在你的右邊
[00:02:42.320 --> 00:02:45.360]  一個坐在你的左邊
[00:02:45.360 --> 00:02:47.280]  我們很熟悉的一段聖經
[00:02:47.280 --> 00:02:49.520]  但是耶穌對他說
[00:02:49.520 --> 00:02:54.280]  究竟我喝了一杯,你可不可以喝呢?
[00:02:54.280 --> 00:02:55.920]  當然我們很明白
