
[00:00:00.000 --> 00:00:02.000]  今天想跟大家講的題目是
[00:00:02.000 --> 00:00:03.680]  我求你兩件事
[00:00:03.680 --> 00:00:05.680]  如果大家有周刊的時候
[00:00:05.680 --> 00:00:07.940]  其實我是有些引號的
[00:00:07.940 --> 00:00:10.880]  這個我是誰呢 這個你是誰呢
[00:00:10.880 --> 00:00:14.040]  講到崇拜最後 大家都會想得到
[00:00:14.040 --> 00:00:16.540]  不過在我們開始
[00:00:16.540 --> 00:00:18.540]  信息的時候
[00:00:18.540 --> 00:00:20.340]  這個題目
[00:00:20.340 --> 00:00:23.000]  也是一個很真實的一個應用
[00:00:23.000 --> 00:00:25.720]  我想給大家30秒
[00:00:25.720 --> 00:00:27.100]  30秒做很多事
[00:00:27.100 --> 00:00:28.680]  如果你有PowerPoint
[00:00:28.680 --> 00:00:31.880]  我都不介意 或者你拿個電話寫下
[00:00:31.880 --> 00:00:34.240]  如果今天永生的神在這裏
[00:00:34.240 --> 00:00:36.240]  或者剛才的敬拜裏面
[00:00:36.240 --> 00:00:37.540]  你很想跟神祈禱
[00:00:37.540 --> 00:00:39.540]  或者你今天早上已經祈禱了
[00:00:39.540 --> 00:00:43.380]  又或者還沒有開始 很真實
[00:00:43.380 --> 00:00:47.080]  我想在這個時間 30秒
[00:00:47.080 --> 00:00:48.080]  你問神
[00:00:48.080 --> 00:00:50.700]  如果我有兩件事向你禱告
[00:00:50.700 --> 00:00:52.500]  你求些甚麼
[00:00:52.500 --> 00:00:53.680]  好不好
[00:00:53.680 --> 00:00:55.680]  自己30秒 開始
[00:00:58.680 --> 00:01:00.680]  (30秒後)
[00:01:26.680 --> 00:01:28.680]  好快30秒過了
[00:01:28.680 --> 00:01:29.680]  大家hold住
[00:01:29.680 --> 00:01:31.680]  我不知道剛才你是哪兩件事
[00:01:31.680 --> 00:01:33.680]  不過如果你旁邊那個很熟悉
[00:01:33.680 --> 00:01:36.180]  你先完了崇拜 你還記得的話
[00:01:36.180 --> 00:01:38.180]  你剛才是求哪兩件事
[00:01:38.180 --> 00:01:40.180]  我相信大部份的人都會不相同
[00:01:40.180 --> 00:01:43.680]  因為人種 性格 生命 需求
[00:01:43.680 --> 00:01:45.680]  情況都不同 會不同的
[00:01:45.680 --> 00:01:48.180]  不過你知不知道我求哪兩件事
[00:01:48.180 --> 00:01:50.680]  我告訴你其中一件 因為另一件是秘密
[00:01:50.680 --> 00:01:53.680]  其中一件就是我生命要被神大大使用
[00:01:53.680 --> 00:01:56.680]  生命更成長 傳言為理
[00:01:56.680 --> 00:01:57.680]  我再講一次
[00:01:57.680 --> 00:02:00.680]  這件是我自己 由信耶穌到現在都希望
[00:02:00.680 --> 00:02:02.680]  生命被神大大的使用
[00:02:02.680 --> 00:02:04.680]  生命更成長 傳言為理
[00:02:04.680 --> 00:02:06.680]  如果你對的話 用你拿去吧
[00:02:06.680 --> 00:02:09.680]  求哪兩件事
[00:02:09.680 --> 00:02:12.180]  其實在真言裡面有很多很精彩的東西
[00:02:12.180 --> 00:02:13.680]  我們郭同工都講過
[00:02:13.680 --> 00:02:16.180]  關於怒氣 關於言語 關於喜樂
[00:02:16.180 --> 00:02:18.180]  還有很豐富的 請大家繼續去看
[00:02:18.180 --> 00:02:22.680]  今天結束的時候 結束真言
[00:02:22.680 --> 00:02:24.680]  我就想去禱告 有些甚麼可以呢
[00:02:24.680 --> 00:02:27.680]  原來真言是一段說話
[00:02:27.680 --> 00:02:29.680]  今天想跟大家講一章
[00:02:29.680 --> 00:02:31.680]  因為做結束最好的
[00:02:31.680 --> 00:02:34.680]  就是整個真言31篇 只有一個的禱告
[00:02:34.680 --> 00:02:36.680]  就唯一一個禱告
[00:02:36.680 --> 00:02:38.680]  就在30篇第7至9節
[00:02:38.680 --> 00:02:42.680]  今天想跟大家去讀這個經文 分享一個題目
[00:02:42.680 --> 00:02:45.680]  這個不是所羅門所寫
[00:02:45.680 --> 00:02:46.680]  是一個叫阿古爾的人
[00:02:46.680 --> 00:02:48.680]  阿古爾是一個智慧的人
[00:02:48.680 --> 00:02:50.680]  我想跟所羅門王都這麼有智慧
[00:02:50.680 --> 00:02:53.680]  所以被放在真言裡面
[00:02:53.680 --> 00:02:56.680]  但是整個真言 大家淋雨
[00:02:56.680 --> 00:02:58.680]  因為是所羅門所寫
[00:02:58.680 --> 00:03:01.680]  所以那個時代是很太平盛世
[00:03:01.680 --> 00:03:03.680]  就等於香港 跟你一樣
[00:03:03.680 --> 00:03:07.680]  基本上我們大部份的人都是很安穩
[00:03:07.680 --> 00:03:08.680]  不是安逸
[00:03:08.680 --> 00:03:10.680]  請告訴大家 你很安穩的
[00:03:10.680 --> 00:03:12.680]  你很安穩的 OK
[00:03:12.680 --> 00:03:14.680]  政治穩當 經濟穩當
[00:03:14.680 --> 00:03:17.680]  當然啦 有些人是會 有些人是困難
[00:03:17.680 --> 00:03:20.680]  不過 無論所羅門王 阿古爾的時候很穩定
[00:03:20.680 --> 00:03:23.680]  所以他做的祈禱是很平淡
[00:03:23.680 --> 00:03:26.680]  但我希望在平淡當中 很踏實
[00:03:26.680 --> 00:03:28.680]  所以他一個的真言裡面
[00:03:28.680 --> 00:03:30.680]  既然有很多樣的禱告
[00:03:30.680 --> 00:03:33.680]  又唯一寫了在真言的祈禱
[00:03:33.680 --> 00:03:35.680]  我相信這個不簡單
[00:03:35.680 --> 00:03:36.680]  是不是
[00:03:36.680 --> 00:03:39.680]  好 我們就看看這兩篇經文好不好
[00:03:39.680 --> 00:03:42.680]  我們這三篇經文 看看他這個祈禱是什麼
[00:03:42.680 --> 00:03:44.680]  當然他的祈禱一開始就是
[00:03:44.680 --> 00:03:46.680]  我求你兩件事 就是我們今天的題目
[00:03:46.680 --> 00:03:47.680]  我們一起找到
[00:03:47.680 --> 00:03:49.680]  我們讀三十章 七字讀九字
