
[00:00:00.000 --> 00:00:08.000]  講到新約 聖經裡頭有很多的經文 但是我們只能選一部分來讀
[00:00:08.000 --> 00:00:21.000]  我們要先看到 聖經中的這些約 有好幾個約 都是貫穿在新舊約的聖經中間
[00:00:21.000 --> 00:00:26.000]  在舊約有很多提到 到新約還是照常的提到
[00:00:26.000 --> 00:00:32.000]  這些約都是根據神的舊書的永約而有的
[00:00:32.000 --> 00:00:38.000]  在這些約當中 亞伯拉罕的約是一個很基本的
[00:00:38.000 --> 00:00:44.000]  其他的約都是約的補充跟發展
[00:00:44.000 --> 00:00:50.000]  從亞當的約 我們已經講過六個約了
[00:00:50.000 --> 00:00:55.000]  有亞當的約 有諾亞的約 有亞伯拉罕的約
[00:00:55.000 --> 00:01:01.000]  有西乃的約 有巴拉斯坦的約 還講到大衛的約
[00:01:01.000 --> 00:01:10.000]  這些所有的約都是跟神的舊書的計劃是從那裡頭出來的
[00:01:10.000 --> 00:01:17.000]  從亞當的約到諾亞的約各開的時間很長 差不多有1500年
[00:01:17.000 --> 00:01:23.000]  那麼從諾亞到亞伯拉罕就是有400年左右
[00:01:23.000 --> 00:01:32.000]  那麼從亞伯拉罕到以色列人到西乃山底下也差不多有400多年
[00:01:32.000 --> 00:01:38.000]  那麼在這個漫長的歷史中間 神不斷的跟人立約
[00:01:38.000 --> 00:01:45.000]  一次又一次的立約 一步一步的就是要把人領回到他的心意裡頭
[00:01:45.000 --> 00:01:51.000]  祂願人都得到救贖 都能夠成為祂的兒女
[00:01:51.000 --> 00:01:56.000]  這個是神在歷史中間不斷的跟人立約的原因
[00:01:56.000 --> 00:02:03.000]  聖經可以說是一卷約的書 講到約的書
[00:02:03.000 --> 00:02:06.000]  所以你要明白整卷的聖經
[00:02:06.000 --> 00:02:12.000]  那麼其中一條方法就是讀各個約
[00:02:12.000 --> 00:02:18.000]  因為從創世紀一直到啟示錄講到很多的約
[00:02:18.000 --> 00:02:24.000]  那麼你要讀明白聖經的話 你不能夠忽略這個講的約
[00:02:24.000 --> 00:02:31.000]  你不能把聖經看作是一些歷史故事 是以色列歷史故事
[00:02:31.000 --> 00:02:36.000]  那我們現在的人為什麼還要讀聖經呢 為什麼還要讀舊約呢
[00:02:36.000 --> 00:02:39.000]  因為是講到神在歷史中間
[00:02:39.000 --> 00:02:44.000]  祂一步一步的怎麼樣能夠領人回到祂的身邊
[00:02:44.000 --> 00:02:48.000]  因為人犯了罪的話 能離開了神
[00:02:48.000 --> 00:02:53.000]  所以神有個心意就是要把人救贖回來
[00:02:53.000 --> 00:02:56.000]  所以神在這個計劃救贖的計劃
[00:02:56.000 --> 00:03:02.000]  並不是等到亞當犯罪以後才臨時制定一個補救的辦法
[00:03:02.000 --> 00:03:07.000]  神在創世以前就在基督裡頭揀選了我們
[00:03:07.000 --> 00:03:12.000]  在創世以前祂就有這樣一個救贖的計劃
[00:03:12.000 --> 00:03:17.000]  是要把墮落的人救贖回來
[00:03:17.000 --> 00:03:21.000]  要把人歸附過來到完全的地步
[00:03:21.000 --> 00:03:25.000]  叫神的榮耀能得到稱讚
[00:03:25.000 --> 00:03:30.000]  所以神做的事情不只是對人有好處
[00:03:30.000 --> 00:03:34.000]  神乃是為祂自己 叫祂的榮耀得到稱讚
[00:03:34.000 --> 00:03:37.000]  所以詩篇裡頭有一句話說
[00:03:37.000 --> 00:03:42.000]  諸天訴說神的榮耀 穹昌傳揚祂的手段
