
[00:00:00.000 --> 00:00:03.740]  我來了六個禮拜,下個禮拜二就回美國了
[00:00:03.740 --> 00:00:11.240]  我來香港的時候,第二個禮拜影音視團就請我去講兩篇是錄影,將來播放創世電視
[00:00:11.240 --> 00:00:12.300]  第一個就是
[00:00:12.300 --> 00:00:16.320]  不講第一個了,第二個就是講
[00:00:16.320 --> 00:00:20.000]  迪基督會在歐洲被逼出來,我曾經講過
[00:00:20.000 --> 00:00:23.100]  所有問題呢,這個world stage
[00:00:23.100 --> 00:00:26.640]  不在美國,也都不在中國,是在歐洲
[00:00:26.640 --> 00:00:28.740]  經濟問題,是在歐洲
[00:00:29.080 --> 00:00:30.080]  希臘
[00:00:30.080 --> 00:00:33.400]  破產,如果它離開歐盟呢
[00:00:33.400 --> 00:00:37.100]  西班牙,葡萄牙,接著離開,歐盟開始會倒塌
[00:00:37.100 --> 00:00:41.260]  經濟在那裏有問題,軍事有問題
[00:00:41.260 --> 00:00:45.380]  兩個月前我在夏威夷講到,有很多駐內的姊妹
[00:00:45.380 --> 00:00:49.780]  她們說要搬屋,要搬去德國,因為她們的老公
[00:00:49.780 --> 00:00:53.820]  都是美國空軍,美國第五代戰機F22
[00:00:53.820 --> 00:00:59.760]  已經到了歐洲,住在那裏,跟俄國的軍事抗衡
[00:00:59.760 --> 00:01:02.680]  所有的醫學問題
[00:01:02.680 --> 00:01:07.460]  恐怖分子,接著已經證實了超過一千多人
[00:01:07.460 --> 00:01:10.160]  伊斯蘭國恐怖分子,假裝難民
[00:01:10.160 --> 00:01:14.720]  幾十萬難民進入了歐洲
[00:01:14.720 --> 00:01:16.720]  Sooner than I thought
[00:01:16.720 --> 00:01:21.000]  昨天在一個足球場打足球的時候,有恐怖分子自殺
[00:01:21.000 --> 00:01:25.360]  今天就有衝入演唱會
[00:01:25.360 --> 00:01:31.860]  在演唱會那裏,有兩個人拿著兩支AK-47在發射
[00:01:31.860 --> 00:01:34.820]  AK-47是1947年俄國
[00:01:34.820 --> 00:01:40.640]  Alexander...AK是他的名字,AK-47是1947年發明的
[00:01:40.640 --> 00:01:43.940]  是世界上最好的武器
[00:01:43.940 --> 00:01:48.220]  每一分鐘可以發射50顆子彈
[00:01:48.220 --> 00:01:52.020]  不是每一分鐘,是每一分鐘
[00:01:52.020 --> 00:01:53.640]  將來都會發生
[00:01:53.640 --> 00:01:56.220]  因為日光之下無新事
[00:01:56.220 --> 00:01:58.720]  以前發生過的,以後都會發生
[00:01:58.720 --> 00:02:00.980]  以前發生的事,沒有人紀念
[00:02:00.980 --> 00:02:04.440]  以後發生的事,後來的人也不紀念
[00:02:04.440 --> 00:02:07.940]  我今天跟大家講的題目是聖經密碼
[00:02:07.940 --> 00:02:12.200]  大約十多年前,有一本書叫達文西密碼
[00:02:12.200 --> 00:02:14.380]  我今天不是講達文西密碼
[00:02:14.380 --> 00:02:16.540]  我今天講的是達文西密碼
[00:02:16.540 --> 00:02:22.100]  再早十年前,有一本書叫聖經密碼,英文叫Bible Code
[00:02:22.100 --> 00:02:25.400]  當時香港奏會神學院請我講這個題目
[00:02:25.400 --> 00:02:27.520]  聖經有沒有密碼
[00:02:27.520 --> 00:02:30.020]  我講完之後,我說沒有啊,沒有密碼
[00:02:30.020 --> 00:02:32.780]  這本書是騙人的,我問這本書講什麼
[00:02:32.780 --> 00:02:36.300]  這本書是一個軟件,叫Bible Code
