
[00:00:00.000 --> 00:00:03.000]  今次節目讓我們先聽神的話語
[00:00:03.000 --> 00:00:05.000]  讓我們先直覺禱告
[00:00:05.000 --> 00:00:07.000]  將我們心思已經交在主愛神的手上
[00:00:07.000 --> 00:00:17.000]  非常謝謝祢讓我們回來
[00:00:17.000 --> 00:00:19.000]  在祢的說話的面前
[00:00:19.000 --> 00:00:23.000]  非常求祢讓我們學會怎樣尊重祢
[00:00:23.000 --> 00:00:25.000]  愛護祢
[00:00:25.000 --> 00:00:27.000]  珍惜祢
[00:00:29.000 --> 00:00:31.000]  靠聖靈永遠宗傳
[00:00:31.000 --> 00:00:32.000]  親愛的父神
[00:00:32.000 --> 00:00:34.000]  感謝祢讓我們能夠再次
[00:00:34.000 --> 00:00:36.000]  回到主祢的殿的跟前
[00:00:36.000 --> 00:00:39.000]  一起來到新拜
[00:00:39.000 --> 00:00:41.000]  讓每一個弟兄姊妹
[00:00:41.000 --> 00:00:45.000]  我們學著怎樣尊重祢
[00:00:45.000 --> 00:00:47.000]  擁戴祢
[00:00:47.000 --> 00:00:50.000]  珍惜祢
[00:00:50.000 --> 00:00:52.000]  是我們的主我們的神
[00:00:52.000 --> 00:00:55.000]  求祢的幫助
[00:00:55.000 --> 00:00:56.000]  我們禱告
[00:00:56.000 --> 00:00:58.000]  奉主耶穌的名字
[00:00:58.000 --> 00:00:59.000]  阿們
[00:01:28.000 --> 00:01:31.000]  希望大家能夠有和諧的關係
[00:01:31.000 --> 00:01:33.000]  就是說大家有相同的看法
[00:01:33.000 --> 00:01:36.000]  走在一起有和諧的關係
[00:01:36.000 --> 00:01:42.000]  但是在什麼基礎上要和諧和合一呢?
[00:01:42.000 --> 00:01:45.000]  在什麼基礎上要和諧要合一呢?
[00:01:45.000 --> 00:01:48.000]  教會在今時今日裡面
[00:01:48.000 --> 00:01:53.000]  不惜一切甚至離經悔道都要願意去做
[00:01:53.000 --> 00:01:55.000]  就是說現在教會為了不惜一切
[00:01:55.000 --> 00:01:57.000]  即使離經悔道都要去做
[00:01:57.000 --> 00:02:00.000]  於是教會造成一個現象
[00:02:00.000 --> 00:02:02.000]  於是教會造成一個現象
[00:02:02.000 --> 00:02:05.000]  就是有些事不論是非
[00:02:05.000 --> 00:02:07.000]  教會有些事不論是非
