
[00:00:00.000 --> 00:00:05.720]  今天早上是一年一度的父親節
[00:00:05.720 --> 00:00:15.200]  在這裡祝願每一位父親都有從神而來的智慧
[00:00:15.200 --> 00:00:22.800]  成為您子女屬靈的榜樣,陪伴他們成長
[00:00:22.800 --> 00:00:32.280]  我不懂得怎樣去評價自己是否一個稱職的父親
[00:00:32.280 --> 00:00:37.400]  但我肯定是一個幸運的父親
[00:00:37.400 --> 00:00:41.920]  我有一個算是懂事的兒子
[00:00:41.920 --> 00:00:48.240]  他從小就很獨立,很懂得管理自己的人生
[00:00:48.240 --> 00:00:53.320]  他從小就很獨立,很懂得管理自己的人生
[00:00:53.320 --> 00:00:56.920]  我記得他讀小學的時候
[00:00:56.920 --> 00:01:02.920]  我看報紙,那個報紙就介紹全世界十間最有名的大學
[00:01:02.920 --> 00:01:09.040]  那報紙上,他小時候報紙上介紹全世界最有名的十間大學
[00:01:09.040 --> 00:01:18.120]  包括哈佛,堪培,史丹佛,麻省理工
[00:01:18.120 --> 00:01:26.640]  我兒子就把報紙的海報貼在床頭上
[00:01:26.640 --> 00:01:29.560]  有一次他就問我:爸爸,如果我長大了,要進哪一間大學呢?
[00:01:29.560 --> 00:01:33.600]  有一次他就問我:我長大了以後,要進哪一間大學呢?
[00:01:33.600 --> 00:01:36.160]  我說:進哪一間都要開感恩會
[00:01:36.160 --> 00:01:38.840]  我說:有哪一間你可以入,都要開感恩會
[00:01:38.840 --> 00:01:42.520]  所以他從來都不需要我擔心他的學業
[00:01:42.520 --> 00:01:45.320]  所以他從來都不需要我擔心他的學業
[00:01:45.320 --> 00:01:49.000]  特別是他成長的過程,我忙於教會的侍奉
[00:01:49.000 --> 00:01:53.120]  特別是他成長的過程,我忙於教會的侍奉
[00:01:53.120 --> 00:01:57.160]  主要是師母辭了工照顧陪伴他成長
[00:01:57.160 --> 00:02:01.320]  主要是師母辭了工陪伴他成長
[00:02:01.320 --> 00:02:04.720]  我自問算是一個開明的父親
[00:02:04.720 --> 00:02:07.280]  我自問算是一個開明的父親
[00:02:07.280 --> 00:02:11.680]  但無論我怎麼開明,都犯了很多父親會犯的毛病
[00:02:11.680 --> 00:02:15.840]  但無論我多麼開明,我都犯了很多父親會犯的毛病
[00:02:15.840 --> 00:02:20.200]  總是想在我兒子人生的規劃上有份
[00:02:20.200 --> 00:02:24.760]  總是想在我兒子人生的規劃上有份
[00:02:24.760 --> 00:02:27.760]  總是想在我兒子人生的規劃上有份
[00:02:27.760 --> 00:02:31.240]  早上我選讀的《路加福音》十五章
[00:02:31.240 --> 00:02:34.200]  早上我選讀的《路加福音》十五章
[00:02:34.200 --> 00:02:36.320]  大家熟悉的浪子故事
[00:02:36.320 --> 00:02:38.360]  大家熟悉的浪子故事
[00:02:38.360 --> 00:02:39.880]  可能大家馬上會想
[00:02:39.880 --> 00:02:42.600]  是不是牧師想借題發揮
[00:02:42.600 --> 00:02:45.560]  暗喻我兒子是個浪子
[00:02:45.560 --> 00:02:47.360]  希望他早日回頭呢?
[00:02:47.360 --> 00:02:50.880]  會不會大家以為牧師會借題發揮
[00:02:50.880 --> 00:02:52.720]  暗喻我的兒子是浪子
[00:02:52.720 --> 00:02:54.640]  希望他儘早回頭呢?
[00:02:54.640 --> 00:02:56.880]  通常我們讀浪子的故事
[00:02:56.880 --> 00:03:00.360]  我們將焦點放在兩個不懂事的兒子身上
[00:03:00.360 --> 00:03:02.880]  通常我們讀浪子的故事
[00:03:02.880 --> 00:03:07.720]  我們將焦點放在兩個不懂事的兒子身上
[00:03:07.720 --> 00:03:10.720]  但我們忽略了父親的心境
[00:03:10.720 --> 00:03:13.160]  大家忽略了父親的心情
[00:03:13.160 --> 00:03:15.640]  所以今天早上我用為父的心
[00:03:15.640 --> 00:03:18.360]  作為一個切入點去看這段經文
[00:03:18.360 --> 00:03:21.160]  所以今天上午我用為父的心切入點
[00:03:21.160 --> 00:03:23.680]  就放在這個焦點放在父親的身上
[00:03:23.680 --> 00:03:25.680]  如果大家熟悉這個故事
[00:03:25.680 --> 00:03:27.240]  如果大家熟悉這個故事的話
[00:03:27.240 --> 00:03:29.480]  這位父親是代表我們天上的父
[00:03:29.480 --> 00:03:31.320]  這位父親是代表我們天上的父
[00:03:31.320 --> 00:03:33.680]  當然也可以形容在我們地上的父親
[00:03:33.680 --> 00:03:36.000]  當然也可以形容在我們地上的父親
[00:03:36.000 --> 00:03:39.800]  浪子故事這位父親有很多不同的面相
[00:03:39.800 --> 00:03:43.200]  浪子這裡的父親有很多不同的面相
[00:03:43.200 --> 00:03:47.080]  如果你嘗試代入經文的敘事裡面
[00:03:47.080 --> 00:03:49.960]  如果你嘗試代入經文的敘事裡面
[00:03:49.960 --> 00:03:51.320]  如果你為人父親
[00:03:51.320 --> 00:03:52.600]  如果你為人父親
[00:03:52.600 --> 00:03:54.200]  有一天你的兒子來跟你說
[00:03:54.200 --> 00:03:55.880]  有一天你兒子跟你說
[00:03:55.880 --> 00:03:59.880]  他說父親請你將我應得的家產分給我
[00:03:59.880 --> 00:04:03.400]  他說父親請你將我應得的家產分給我
[00:04:03.400 --> 00:04:04.600]  你會作何感想呢?
[00:04:04.600 --> 00:04:05.880]  你會作何感想呢?
[00:04:05.880 --> 00:04:07.280]  按中國人的文化
[00:04:07.280 --> 00:04:10.360]  這個兒子真是大言不道
[00:04:10.360 --> 00:04:11.680]  按照中國人文化
[00:04:11.680 --> 00:04:13.400]  這個兒子是大意不到的
[00:04:13.400 --> 00:04:15.000]  父親仍然健在
[00:04:15.000 --> 00:04:17.880]  你就竟然打父親的家產的主意
[00:04:17.880 --> 00:04:19.480]  父親依然健在
[00:04:19.480 --> 00:04:22.160]  你竟然去打你父親家產的主意
[00:04:22.160 --> 00:04:25.560]  十二節那裡用了一個「應得」的字
[00:04:25.560 --> 00:04:28.600]  十二節這裡用了「應得」的字
[00:04:28.600 --> 00:04:31.560]  普及中文譯本就有不同的翻譯
