
[00:00:00.000 --> 00:00:03.000]  大兄姐妹長輩們平安
[00:00:03.000 --> 00:00:09.000]  今日本來我只講人生兩個字
[00:00:09.000 --> 00:00:16.000]  最後我昨日翻轉人生
[00:00:16.000 --> 00:00:20.000]  所以今日的詩歌都重在人生
[00:00:20.000 --> 00:00:24.000]  所以大兄不要講四十歲你很難過
[00:00:24.000 --> 00:00:29.000]  我更加難過 多兩年我六十歲
[00:00:30.000 --> 00:00:32.000]  所以不要太難過
[00:00:32.000 --> 00:00:36.000]  但今日在額外詩歌我們可以看到
[00:00:36.000 --> 00:00:40.000]  我們應該講怎樣的人生
[00:00:40.000 --> 00:00:46.000]  在2008年奧巴馬在競選的時候
[00:00:46.000 --> 00:00:50.000]  他的主題是Change 改變
[00:00:50.000 --> 00:00:52.000]  我不知道你們記不記得
[00:00:52.000 --> 00:00:55.000]  之後我覺得很多政治人士
[00:00:55.000 --> 00:00:57.000]  每一次他們的主題
[00:00:57.000 --> 00:01:01.000]  我要轉 我要改變 我要翻轉
[00:01:01.000 --> 00:01:06.000]  尤其是最近台灣選舉的時候
[00:01:06.000 --> 00:01:10.000]  南部高雄他們真的翻轉
[00:01:10.000 --> 00:01:18.000]  本來是綠色變成了藍色
[00:01:18.000 --> 00:01:22.000]  如果你們有留意那時候
[00:01:22.000 --> 00:01:27.000]  很多時我們真的要翻轉
[00:01:27.000 --> 00:01:32.000]  尤其是我們人生有時都需要翻轉
[00:01:32.000 --> 00:01:36.000]  所以今日我們在額外詩三節很短的詩
[00:01:36.000 --> 00:01:40.000]  但我們可以看到我們人生是怎樣的人生
[00:01:40.000 --> 00:01:45.000]  我們在第十四節請你們一起讀
[00:01:53.000 --> 00:01:57.000]  這節跟我們講我們很清楚的是
[00:01:57.000 --> 00:02:01.000]  我們人生很短 很短暫
[00:02:01.000 --> 00:02:03.000]  很短暫的人生
[00:02:03.000 --> 00:02:06.000]  但是不是因為我們覺得短暫的人生
[00:02:06.000 --> 00:02:09.000]  我們就 哎呀 為什麼我們
[00:02:09.000 --> 00:02:18.000]  人生 我們日子過得這麼短
[00:02:18.000 --> 00:02:24.000]  是不是六十歲就要死了
[00:02:24.000 --> 00:02:26.000]  幾歲要上天堂
[00:02:26.000 --> 00:02:28.000]  其實是最重要的
[00:02:28.000 --> 00:02:34.000]  不是說你的日子是多長多短
[00:02:34.000 --> 00:02:38.000]  因為美國總統Abraham Lincoln
[00:02:38.000 --> 00:02:40.000]  說過一句話我覺得很好
[00:02:40.000 --> 00:02:45.000]  他說生命不在長短最在乎的內容
[00:02:45.000 --> 00:02:49.000]  他最在乎的內容不是我們的日子
[00:02:49.000 --> 00:02:53.000]  我們人生的日子有些是長有些是短
[00:02:53.000 --> 00:02:54.000]  你可以很長
[00:02:54.000 --> 00:03:00.000]  但是你的人生每個日子的內容
[00:03:00.000 --> 00:03:04.000]  可能不是一生很辛苦
[00:03:04.000 --> 00:03:06.000]  但可能你是很短
[00:03:06.000 --> 00:03:11.000]  但是你的人生很精彩
[00:03:11.000 --> 00:03:14.000]  有活得很精彩的人生
[00:03:14.000 --> 00:03:16.000]  所以我們看到
[00:03:16.000 --> 00:03:18.000]  有一個故事我先說
[00:03:18.000 --> 00:03:23.000]  這個故事說到人的一生
[00:03:23.000 --> 00:03:28.000]  我先說這個故事不是聖經說的
[00:03:28.000 --> 00:03:31.000]  聖經沒有記載這個故事
[00:03:31.000 --> 00:03:34.000]  但是這個人寫這個故事
[00:03:34.000 --> 00:03:35.000]  他用上體的時候
[00:03:35.000 --> 00:03:40.000]  他的比喻我覺得很有趣很有意義
[00:03:40.000 --> 00:03:44.000]  有一個人講他的故事是這樣
[00:03:44.000 --> 00:03:47.000]  上帝創造什麼
[00:03:47.000 --> 00:03:53.000]  他先創造Donkey叫什麼
[00:03:53.000 --> 00:03:59.000]  老子
[00:03:59.000 --> 00:04:02.000]  他創造Donkey的時候
[00:04:02.000 --> 00:04:08.000]  他跟Donkey說你早到晚都要工作
[00:04:08.000 --> 00:04:09.000]  不停地工作
[00:04:09.000 --> 00:04:12.000]  我們Donkey要背負那個寵物
[00:04:12.000 --> 00:04:14.000]  背負來工作
[00:04:14.000 --> 00:04:16.000]  但是你雖然這樣辛苦
[00:04:16.000 --> 00:04:21.000]  但是你只可以吃草
[00:04:21.000 --> 00:04:23.000]  同時你是沒有智慧
[00:04:23.000 --> 00:04:27.000]  所以Donkey是很傻
[00:04:27.000 --> 00:04:29.000]  很笨的
[00:04:29.000 --> 00:04:31.000]  所以他是沒有智慧的
[00:04:31.000 --> 00:04:34.000]  雖然這樣
[00:04:34.000 --> 00:04:38.000]  但是我可以給你50年的壽命
[00:04:38.000 --> 00:04:41.000]  但是你知道你是一隻老子
[00:04:41.000 --> 00:04:43.000]  你是一個Donkey
[00:04:43.000 --> 00:04:45.000]  那個老子回答說
[00:04:45.000 --> 00:04:47.000]  我只是一個老子
[00:04:47.000 --> 00:04:50.000]  但是如果我50年間
[00:04:50.000 --> 00:04:54.000]  辛苦太累太長
[00:04:54.000 --> 00:04:58.000]  你給我20年就好了
[00:04:58.000 --> 00:05:00.000]  上帝說OK了
[00:05:00.000 --> 00:05:01.000]  這樣50年你不要
[00:05:01.000 --> 00:05:03.000]  我給你20年
[00:05:03.000 --> 00:05:08.000]  最後上帝創造了狗
[00:05:08.000 --> 00:05:10.000]  跟狗說狗
[00:05:10.000 --> 00:05:16.000]  你的工作就是開門
[00:05:16.000 --> 00:05:17.000]  跟人家開門
[00:05:17.000 --> 00:05:20.000]  但是你是人類最忠實的朋友
[00:05:20.000 --> 00:05:23.000]  但是你只是吃人
[00:05:23.000 --> 00:05:26.000]  給你吃什麼你就吃什麼
[00:05:26.000 --> 00:05:27.000]  你沒有選擇
[00:05:27.000 --> 00:05:29.000]  吃什麼你就吃什麼
[00:05:29.000 --> 00:05:32.000]  但是我給你25年的壽命
[00:05:32.000 --> 00:05:34.000]  你是一隻狗
[00:05:34.000 --> 00:05:36.000]  你記得你是一隻狗
[00:05:36.000 --> 00:05:41.000]  狗回答上帝說
[00:05:41.000 --> 00:05:46.000]  25年太長了
[00:05:46.000 --> 00:05:49.000]  我要15年就好
[00:05:49.000 --> 00:05:50.000]  上帝說好
[00:05:50.000 --> 00:05:52.000]  這樣我給你15年
[00:05:52.000 --> 00:05:55.000]  狗說不是
[00:05:55.000 --> 00:05:59.000]  最後上帝創造了猴子
[00:05:59.000 --> 00:06:02.000]  他跟猴子說猴子
[00:06:02.000 --> 00:06:04.000]  你在樹上要跳來跳去
[00:06:04.000 --> 00:06:09.000]  你的工作就是讓人開心
[00:06:09.000 --> 00:06:16.000]  但是我給你20年的壽命
[00:06:16.000 --> 00:06:19.000]  但是你是一隻猴子
[00:06:19.000 --> 00:06:21.000]  記得你是一隻猴子
[00:06:21.000 --> 00:06:23.000]  猴子回答上帝說
[00:06:23.000 --> 00:06:25.000]  20年太長了
[00:06:25.000 --> 00:06:26.000]  我不要50年
[00:06:26.000 --> 00:06:28.000]  我10年就夠了
[00:06:28.000 --> 00:06:30.000]  上帝說好
[00:06:30.000 --> 00:06:31.000]  我同意你
[00:06:31.000 --> 00:06:32.000]  你就10年
[00:06:32.000 --> 00:06:36.000]  最後上帝創造了人
[00:06:36.000 --> 00:06:37.000]  創造了人的時候
[00:06:37.000 --> 00:06:39.000]  他跟人說
[00:06:39.000 --> 00:06:40.000]  人啊人啊
