
[00:00:00.000 --> 00:00:03.000]  多謝你們的鼓勵
[00:00:03.000 --> 00:00:06.000]  所以我的意好
[00:00:06.000 --> 00:00:09.000]  就聽見一些八卦消息
[00:00:09.000 --> 00:00:12.000]  人家告訴我
[00:00:12.000 --> 00:00:14.000]  廣福堂
[00:00:14.000 --> 00:00:19.000]  最初是叫做闊太教會
[00:00:19.000 --> 00:00:21.000]  很多闊太的
[00:00:21.000 --> 00:00:22.000]  有錢的
[00:00:22.000 --> 00:00:25.000]  但是又很愛主的
[00:00:25.000 --> 00:00:27.000]  闊太太的教會
[00:00:28.000 --> 00:00:32.000]  後來又不只是闊太教會
[00:00:32.000 --> 00:00:34.000]  有名人教會
[00:00:34.000 --> 00:00:38.000]  譬如那些跳水的高手
[00:00:38.000 --> 00:00:42.000]  奧林匹克的冠軍
[00:00:42.000 --> 00:00:45.000]  還有其他名人
[00:00:45.000 --> 00:00:48.000]  後來又聽見
[00:00:48.000 --> 00:00:49.000]  不只是名人
[00:00:49.000 --> 00:00:51.000]  還是高官
[00:00:51.000 --> 00:00:53.000]  有什麼師
[00:00:53.000 --> 00:00:54.000]  有什麼師
[00:00:54.000 --> 00:00:56.000]  都在這裡崇拜
[00:00:57.000 --> 00:01:00.000]  又聽見是明星
[00:01:00.000 --> 00:01:02.000]  明星教會
[00:01:02.000 --> 00:01:05.000]  明星教會也好
[00:01:05.000 --> 00:01:07.000]  高官教會也好
[00:01:07.000 --> 00:01:10.000]  名人教會也好
[00:01:10.000 --> 00:01:13.000]  闊太教會也好
[00:01:13.000 --> 00:01:16.000]  最重要的是納智
[00:01:16.000 --> 00:01:21.000]  等候神給我們一個
[00:01:21.000 --> 00:01:25.000]  嶄新的意象
[00:01:26.000 --> 00:01:29.000]  我請大家一起讀
[00:01:29.000 --> 00:01:34.000]  在台上打出來的主題經文
[00:01:34.000 --> 00:01:38.000]  是《針研》的說話
[00:01:38.000 --> 00:01:42.000]  我們一起讀出聖經的說話
[00:01:42.000 --> 00:01:44.000]  又說完《針研》
[00:01:44.000 --> 00:01:45.000]  多少章
[00:01:45.000 --> 00:01:46.000]  多少節
[00:01:46.000 --> 00:01:47.000]  請大家
