
[00:00:00.000 --> 00:00:01.320]  頂住梅平安
[00:00:01.320 --> 00:00:04.040]  讓我們再一次低頭同心祈禱
[00:00:04.040 --> 00:00:07.280]  親愛的大叔
[00:00:07.280 --> 00:00:09.800]  我們也感謝你讓我們在你面前一切敬拜
[00:00:09.800 --> 00:00:13.280]  讓我們真的在這個疫情底下
[00:00:13.280 --> 00:00:15.120]  我們勝過一切的限制
[00:00:15.120 --> 00:00:16.840]  勝過一切的難阻
[00:00:16.840 --> 00:00:20.160]  我們看見你就是那位復活德性的主
[00:00:20.160 --> 00:00:22.160]  因著你的復活德性
[00:00:22.160 --> 00:00:24.160]  我們能夠依靠你去跨性
[00:00:24.160 --> 00:00:26.360]  求主你親自幫助我們
[00:00:26.360 --> 00:00:27.480]  讓我們在你面前
[00:00:27.480 --> 00:00:30.880]  把整個敬拜獻給你和你親自的月亮
[00:00:30.880 --> 00:00:32.240]  多謝聽我們祈禱
[00:00:32.240 --> 00:00:33.440]  共主耶穌的名求
[00:00:33.440 --> 00:00:34.240]  阿門
[00:00:34.240 --> 00:00:37.800]  這幾個月時間
[00:00:37.800 --> 00:00:40.680]  其實大家如果在聽講道裏面
[00:00:40.680 --> 00:00:42.040]  其實我們有幾個系列
[00:00:42.040 --> 00:00:43.920]  我們有書卷的系列
[00:00:43.920 --> 00:00:46.120]  有講道提摩太前書
[00:00:46.120 --> 00:00:48.880]  也有講道神的名字的系列
[00:00:48.880 --> 00:00:51.320]  所以你會看到神不同的名稱
[00:00:51.320 --> 00:00:55.480]  另外我們今年也成為一個報道的群體
[00:00:55.480 --> 00:00:56.840]  所以有一個報道的系列
[00:00:56.960 --> 00:00:59.520]  今天會和大家分享一段經文
[00:01:27.960 --> 00:01:30.960]  請你給水我飲
[00:01:30.960 --> 00:01:33.320]  你既是猶太人
[00:01:33.320 --> 00:01:36.400]  為何向我一個撒瑪利亞婦人拿水飲呢?
[00:01:36.400 --> 00:01:39.160]  你如果知道神的恩賜
[00:01:39.160 --> 00:01:42.600]  和對你說給水我飲的是誰
[00:01:42.600 --> 00:01:44.160]  你就一早求祂
[00:01:44.160 --> 00:01:46.960]  祂亦都一早會給你活水
[00:01:46.960 --> 00:01:48.920]  先生
[00:01:48.920 --> 00:01:50.720]  沒有打水的器具
[00:01:50.720 --> 00:01:52.120]  井有心
[00:01:52.120 --> 00:01:54.080]  你從哪裏得活水呢?
