
[00:00:00.000 --> 00:00:05.000]  好,那麼今天講到這裡之前
[00:00:05.000 --> 00:00:06.320]  很想問大家一個問題
[00:00:06.320 --> 00:00:07.640]  我都很喜歡問這些問題
[00:00:07.640 --> 00:00:09.360]  大家都交流一下
[00:00:09.360 --> 00:00:12.640]  互相分享
[00:00:12.640 --> 00:00:16.040]  就是我想問一條問題
[00:00:16.040 --> 00:00:17.400]  就是關於祈禱的
[00:00:17.400 --> 00:00:19.160]  那麼這條問題是什麼呢?
[00:00:19.160 --> 00:00:20.640]  就是說我們很多時候
[00:00:20.640 --> 00:00:22.400]  我們教導別人祈禱
[00:00:22.400 --> 00:00:24.640]  或者我們自己祈禱
[00:00:24.640 --> 00:00:28.360]  或者所謂跟初信耶穌的人
[00:00:28.360 --> 00:00:29.680]  叫做栽培
[00:00:29.680 --> 00:00:30.880]  跟他們講
[00:00:30.880 --> 00:00:32.760]  教他們祈禱的時候
[00:00:32.760 --> 00:00:35.360]  我們是不是會教他們做一個動作呢?
[00:00:35.360 --> 00:00:36.720]  行不行呢?
[00:00:36.720 --> 00:00:40.320]  教導大家去祈禱的時候
[00:00:40.320 --> 00:00:42.120]  或者我們自己祈禱的時候
[00:00:42.120 --> 00:00:43.440]  是做一個動作
[00:00:43.440 --> 00:00:44.080]  就是什麼呢?
[00:00:44.080 --> 00:00:47.400]  哦,做這個厲害了
[00:00:47.400 --> 00:00:49.920]  其實我們是不是會做這個動作呢?
[00:00:49.920 --> 00:00:51.120]  就是我們會這樣
[00:00:51.120 --> 00:00:55.320]  就是做一個動作
[00:00:55.320 --> 00:00:56.160]  是啊是啊是啊
[00:00:56.160 --> 00:00:57.200]  小青啊
[00:00:57.200 --> 00:00:58.600]  做了這個動作
[00:00:58.600 --> 00:00:59.280]  非常好
[00:00:59.480 --> 00:01:01.840]  那麼也合起來
[00:01:01.840 --> 00:01:04.920]  就是可能兩隻手這樣擺上去
[00:01:04.920 --> 00:01:07.640]  然後你合上眼睛這樣
[00:01:07.640 --> 00:01:09.120]  就是這樣祈禱
[00:01:09.120 --> 00:01:10.200]  那麼我想問
[00:01:10.200 --> 00:01:14.320]  其實為什麼一定要合上手去祈禱呢?
[00:01:14.320 --> 00:01:15.040]  還有呢
[00:01:15.040 --> 00:01:16.880]  合上手的意思是什麼呢?
[00:01:16.880 --> 00:01:18.240]  大家有沒有想過的?
[00:01:18.240 --> 00:01:21.160]  你覺得是什麼意思
[00:01:21.160 --> 00:01:22.560]  你儘管叫出來吧
[00:01:22.560 --> 00:01:23.680]  哦,專注
[00:01:23.680 --> 00:01:24.360]  OK,好
[00:01:24.360 --> 00:01:25.240]  專注了呢?
[00:01:25.240 --> 00:01:27.400]  等一下
[00:01:27.400 --> 00:01:28.240]  敬虔
[00:01:28.240 --> 00:01:28.720]  OK
[00:01:28.720 --> 00:01:29.640]  敬虔,行
[00:01:29.640 --> 00:01:32.200]  就是尊重了
[00:01:32.200 --> 00:01:33.120]  尊重了呢?
[00:01:33.120 --> 00:01:35.960]  你有沒有想過呢?
[00:01:35.960 --> 00:01:37.320]  啊?
[00:01:37.320 --> 00:01:39.120]  很肉緊
[00:01:39.120 --> 00:01:41.560]  哎呀,就是這樣
[00:01:41.560 --> 00:01:42.960]  但是其實肉緊也可以
[00:01:42.960 --> 00:01:43.640]  淋在地上
[00:01:43.640 --> 00:01:45.720]  淋在地上也可以
[00:01:45.720 --> 00:01:47.320]  咬牙刺齒也可以
[00:01:47.320 --> 00:01:47.880]  還有呢?
[00:01:47.880 --> 00:01:49.120]  你覺得
[00:01:49.120 --> 00:01:50.440]  不要緊,你覺得就可以了
[00:01:50.440 --> 00:01:51.520]  你儘管說出來
[00:01:51.520 --> 00:01:53.840]  哦,是是,小青
[00:01:53.840 --> 00:01:58.120]  哦,和天父的心合一
[00:01:58.120 --> 00:02:00.160]  哦,OK,就是這樣
[00:02:00.160 --> 00:02:04.280]  哦,祈求的那些東西
[00:02:04.280 --> 00:02:05.040]  OK
[00:02:05.040 --> 00:02:05.720]  祈禱?
[00:02:05.720 --> 00:02:07.680]  謙卑,OK
[00:02:07.680 --> 00:02:08.200]  好
[00:02:08.200 --> 00:02:09.560]  還有沒有呢?
[00:02:09.560 --> 00:02:13.680]  啊,大家的答案比我想像中多
[00:02:13.680 --> 00:02:16.360]  所以我也不知道怎麼回應
[00:02:16.360 --> 00:02:18.440]  因為我的model answer不是這樣
[00:02:18.440 --> 00:02:21.640]  我的model answer是什麼呢?
[00:02:21.640 --> 00:02:24.320]  就是表達那種虔誠嘛
[00:02:24.320 --> 00:02:25.520]  是不是?
[00:02:25.520 --> 00:02:27.560]  是是是,所以有人
[00:02:27.560 --> 00:02:31.880]  但原來還多了這麼多這樣的原因
[00:02:31.880 --> 00:02:35.320]  但是聖經教導我們祈禱呢
[00:02:35.320 --> 00:02:36.560]  其實不是這樣的
[00:02:36.560 --> 00:02:38.960]  大家記不記得聖經怎麼教導我們祈禱的?
[00:02:38.960 --> 00:02:43.440]  就在這裡
[00:02:43.440 --> 00:02:45.560]  進入內室關上門
[00:02:45.560 --> 00:02:48.840]  但是如果在動作來講
[00:02:48.840 --> 00:02:52.280]  就是聖經教導我們怎樣的?
[00:02:58.280 --> 00:02:59.560]  聖經教導我們怎樣的?
[00:02:59.560 --> 00:03:00.760]  動作來講
[00:03:00.760 --> 00:03:04.680]  舉高雙手
[00:03:04.680 --> 00:03:06.240]  哇,這位哥哥仔
[00:03:06.240 --> 00:03:08.880]  真的,給他掌聲
[00:03:08.880 --> 00:03:10.440]  他第一次回來的
[00:03:10.440 --> 00:03:13.520]  還有呢,是我中二級的小組的組員
[00:03:13.520 --> 00:03:14.400]  就是大的小組
[00:03:14.400 --> 00:03:15.240]  所以呢,真是
[00:03:15.240 --> 00:03:16.040]  好
[00:03:16.040 --> 00:03:17.360]  就是
[00:03:17.360 --> 00:03:19.440]  請你上課
[00:03:19.440 --> 00:03:22.760]  OK
[00:03:22.760 --> 00:03:25.160]  sorry,說什麼?我忘記了
[00:03:25.160 --> 00:03:27.240]  舉高雙手
[00:03:27.240 --> 00:03:27.960]  對了
