
[00:00:00.000 --> 00:00:05.360]  一進入十二月,已經很有聖誕氣氛了
[00:00:05.360 --> 00:00:09.560]  不知道大家對聖誕節有什麼期望
[00:00:09.560 --> 00:00:13.360]  或者對明年有什麼期望
[00:00:13.360 --> 00:00:17.640]  主任牧師計劃每年都會講一卷福音書
[00:00:17.640 --> 00:00:19.840]  所以我們從這個禮拜開始
[00:00:19.840 --> 00:00:22.360]  就會講《勞家福音》
[00:00:22.360 --> 00:00:27.920]  上個星期我和大家重溫了一次《啟示錄》
[00:00:27.920 --> 00:00:32.720]  我希望大家都會遵守《啟示錄》的訊息
[00:00:32.720 --> 00:00:34.720]  而得到福氣
[00:00:34.720 --> 00:00:41.120]  有些人以為福氣就像雨水般從天而降
[00:00:41.120 --> 00:00:46.920]  但聖經中有很多答應給我們的福氣
[00:00:46.920 --> 00:00:50.720]  都是要我們自己出一點力
[00:00:50.720 --> 00:00:52.720]  舉個例子來說
[00:00:52.720 --> 00:00:57.520]  上主應許賜給阿伯拉罕和他的後裔
[00:00:57.520 --> 00:01:00.320]  要賜他們一塊地
[00:01:00.320 --> 00:01:02.920]  結果過了幾百年之後
[00:01:02.920 --> 00:01:05.120]  在約書亞的領導之下
[00:01:05.120 --> 00:01:09.520]  以色列人真的可以進入到迦南地
[00:01:09.520 --> 00:01:12.520]  也是應許之地
[00:01:12.520 --> 00:01:17.720]  不過以色列人要自己走路去應許之地
[00:01:17.720 --> 00:01:20.520]  然後還要打仗
[00:01:20.520 --> 00:01:23.520]  把土地搶回來
[00:01:23.520 --> 00:01:28.520]  因為上主答應賜給阿伯拉罕後裔的那塊地
[00:01:28.520 --> 00:01:31.520]  不是一塊空地
[00:01:31.520 --> 00:01:35.120]  假如以色列人不肯打仗
[00:01:35.120 --> 00:01:38.520]  他們就不會得到土地
[00:01:38.520 --> 00:01:43.520]  很多現代人以為搶人的土地就不對了
[00:01:43.520 --> 00:01:47.120]  所以這件事是發生在四千多年前
[00:01:47.120 --> 00:01:51.120]  那個時代的文化標準和現在不同
[00:01:51.120 --> 00:01:55.120]  是勝者為王敗者為寇的時代
[00:01:55.120 --> 00:01:58.120]  不過從聖經的記載裡
[00:01:58.120 --> 00:02:00.120]  我們明白
[00:02:00.120 --> 00:02:05.120]  如果做基督徒想得到人生的真福
[00:02:05.120 --> 00:02:09.120]  就一定要學習遵守聖經的教導
[00:02:09.120 --> 00:02:11.120]  如果有人覺得
[00:02:11.120 --> 00:02:14.120]  我信了耶穌好像沒有什麼福氣
[00:02:14.120 --> 00:02:17.120]  我鼓勵你要好好反省一下自己
[00:02:17.120 --> 00:02:22.120]  有沒有進行聖經的教導呢?
[00:02:22.120 --> 00:02:26.120]  上星期我也特別提到預言的問題
[00:02:26.120 --> 00:02:29.120]  啟示錄的預言
[00:02:29.120 --> 00:02:34.120]  很多都是鼓勵基督徒面對逼迫的時候
[00:02:34.120 --> 00:02:36.120]  遭遇到逼迫的時候
[00:02:36.120 --> 00:02:38.120]  怎樣去面對
[00:02:38.120 --> 00:02:42.120]  還有內心等候上帝的時間
[00:02:42.120 --> 00:02:47.120]  並且要下定一個致死忠心的決心
[00:02:47.120 --> 00:02:50.120]  但是聖經中也有一些預言
[00:02:50.120 --> 00:02:54.120]  預告將來會發生的事
[00:02:54.120 --> 00:03:00.120]  尤其是關於救世主耶穌基督降生的預言
[00:03:00.120 --> 00:03:05.120]  講預言的人有時候真的不知道什麼時候才會發生
[00:03:05.120 --> 00:03:08.120]  例如今天我們讀過《應塞亞書》的預言
[00:03:08.120 --> 00:03:11.120]  提到耶穌降生的事
[00:03:11.120 --> 00:03:15.120]  我留意到第七節是這樣說的
[00:03:15.120 --> 00:03:21.120]  他要繼承大位的王位
[00:03:21.120 --> 00:03:27.120]  他以公平正義為統治的基礎
[00:03:27.120 --> 00:03:31.120]  從現在直到永遠
[00:03:31.120 --> 00:03:35.120]  這個預言在以塞亞先知
[00:03:35.120 --> 00:03:38.120]  大概六百年之後才應驗
[00:03:38.120 --> 00:03:41.120]  現在主耶穌已經繼承了大位的王位
[00:03:41.120 --> 00:03:44.120]  主耶穌從復活之後就開始作王
[00:03:44.120 --> 00:03:46.120]  直到永遠
[00:03:46.120 --> 00:03:48.120]  不是要等到主耶穌再來
[00:03:48.120 --> 00:03:50.120]  才在地上作王一千年
[00:03:50.120 --> 00:03:53.120]  不過今天《路加福音》記載
[00:03:53.120 --> 00:03:57.120]  天使向撒加尼亞講的預言
[00:03:57.120 --> 00:04:00.120]  很快就會發生
[00:04:00.120 --> 00:04:03.120]  可能是在天使講了預言之後
[00:04:03.120 --> 00:04:06.120]  幾個星期之內就發生了
[00:04:06.120 --> 00:04:11.120]  不知道大家是不是喜歡聽好消息
[00:04:11.120 --> 00:04:16.120]  今天的經文對一對盼望有兒女的父母來說
[00:04:16.120 --> 00:04:19.120]  肯定是一個最好的消息
[00:04:19.120 --> 00:04:22.120]  我們一起思想一下這段經文
[00:04:22.120 --> 00:04:25.120]  由於我們一直會看《路加福音》
[00:04:25.120 --> 00:04:28.120]  我們先看看序言
[00:04:28.120 --> 00:04:30.120]  第一章一至四節
[00:04:30.120 --> 00:04:33.120]  這幾節聖經是全本書的序言
[00:04:33.120 --> 00:04:36.120]  從這個序言我們都知道
[00:04:36.120 --> 00:04:40.120]  這本書是由一位愛上帝的提亞菲羅
[00:04:40.120 --> 00:04:44.120]  他出錢贊助路加醫生寫的
[00:04:44.120 --> 00:04:47.120]  我們感謝提亞菲羅的慷慨
[00:04:47.120 --> 00:04:51.120]  此外這個預言也讓我們知道
[00:04:51.120 --> 00:04:54.120]  《路加福音》的特色
[00:04:54.120 --> 00:04:56.120]  首先我們知道
[00:04:56.120 --> 00:05:00.120]  《路加福音》不是第一本福音書
[00:05:00.120 --> 00:05:06.120]  因為第一節提到
[00:05:06.120 --> 00:05:09.120]  其他人都已經從事寫作
[00:05:09.120 --> 00:05:12.120]  所以當路加寫這本福音書的時候
