
[00:00:00.000 --> 00:00:05.380]  這次我預備這篇在這裏講,沒想到今天是鷹械奉獻禮
[00:00:05.380 --> 00:00:07.380]  其實非常之適合
[00:00:07.380 --> 00:00:10.380]  今天題目是什麼?有問過嗎?記得嗎?
[00:00:10.380 --> 00:00:14.860]  英文比較容易記
[00:00:14.860 --> 00:00:17.860]  Sustainable Life Transformation
[00:00:17.860 --> 00:00:23.500]  容易講一點,中文是不可持續不持續,好像很掉漆一樣
[00:00:23.500 --> 00:00:26.200]  Sustainable Life Transformation
[00:00:26.200 --> 00:00:31.200]  這群小朋友在講台上非常之可愛
[00:00:31.200 --> 00:00:35.200]  但希望一年後他們會有些不同
[00:00:35.200 --> 00:00:38.200]  有些東西還在轉變
[00:00:38.200 --> 00:00:41.200]  幾年前,也好過多年前
[00:00:41.200 --> 00:00:48.200]  我有機會再次見到我三十多年沒見的大學的一位室友
[00:00:48.200 --> 00:00:51.200]  三十多年沒見,一見到他就說
[00:00:51.200 --> 00:00:55.200]  John, you look exactly the same
[00:00:55.200 --> 00:00:58.200]  你一點也沒有改變
[00:00:58.200 --> 00:01:02.200]  我就說,我以前的樣子這麼老嗎?
[00:01:02.200 --> 00:01:07.200]  其實樣貌的改變不是很重要
[00:01:07.200 --> 00:01:11.200]  遲早我們每個樣貌都會轉的
[00:01:11.200 --> 00:01:15.200]  當然化妝品幫到我們延遲那個轉變
[00:01:15.200 --> 00:01:19.200]  但真正的轉變應該是內心的轉化
[00:01:19.200 --> 00:01:24.200]  我們見到這群小朋友現在這麼可愛
[00:01:24.200 --> 00:01:28.200]  過了一年後,如果沒有轉變的話
[00:01:28.200 --> 00:01:32.200]  你們不用擔心,父母更加擔心
[00:01:32.200 --> 00:01:37.200]  一定需要一些東西令他們的成長,轉化能夠繼續下去
[00:01:37.200 --> 00:01:41.200]  不要說成長了一下就停了
[00:01:41.200 --> 00:01:46.200]  我前陣子有個姪孫女,令父母很擔心
[00:01:46.200 --> 00:01:52.200]  看醫生第一次第二次,好像沒什麼轉變
[00:01:52.200 --> 00:01:56.200]  有點擔心,不太肯吃東西
[00:01:56.200 --> 00:02:01.200]  我以前認識一位宣教士的同事
[00:02:01.200 --> 00:02:04.200]  有個兒子很不喜歡吃青豆
[00:02:04.200 --> 00:02:07.200]  媽媽和爸爸都可以講數
[00:02:07.200 --> 00:02:10.200]  每次你大一歲就多吃一粒
[00:02:10.200 --> 00:02:12.200]  每次吃豆就多吃一粒
[00:02:12.200 --> 00:02:15.200]  三歲吃三粒,四歲吃四粒
[00:02:15.200 --> 00:02:19.200]  到五歲的時候,他在那裡將叉子五粒豆
[00:02:19.200 --> 00:02:24.200]  動來動去,爸爸就說,What's matter? 幹什麼?
[00:02:24.200 --> 00:02:27.200]  在那裡解釋,現在我在那裡五粒
[00:02:27.200 --> 00:02:31.200]  很難想像,一百歲了怎麼辦?
[00:02:31.200 --> 00:02:35.200]  不想吃啊,五粒豆都不想吃
[00:02:35.200 --> 00:02:37.200]  前陣子有位朋友來探望我們
[00:02:37.200 --> 00:02:43.200]  帶了兩個兒子,十三歲,比爸爸媽媽還要高
[00:02:43.200 --> 00:02:46.200]  上次我見到他的時候,還在那裡走來走去
[00:02:46.200 --> 00:02:49.200]  四分之一,差不多八、九年沒見了
[00:02:49.200 --> 00:02:52.200]  轉得很快,很高大
[00:02:52.200 --> 00:02:56.200]  吃了飯之後不到一個小時
[00:02:56.200 --> 00:02:59.200]  就來牧師,有什麼可以吃?
[00:02:59.200 --> 00:03:02.200]  在廚房裡走來走去,有什麼可以找你吃?
[00:03:02.200 --> 00:03:04.200]  有些零食要吃了
[00:03:04.200 --> 00:03:07.200]  開始肚餓,那種渴慕食物的心
[00:03:07.200 --> 00:03:11.200]  令他的成長快速得很厲害
[00:03:11.200 --> 00:03:15.200]  今天這篇信息是大家都很熟悉的經文
[00:03:15.200 --> 00:03:18.200]  加上今天的序言相當長
[00:03:18.200 --> 00:03:21.200]  我不會講得很詳細
[00:03:21.200 --> 00:03:25.200]  但這篇經文給我們很重要的提醒
[00:03:25.200 --> 00:03:32.200]  為了維持我們的成長,我們的轉化
[00:03:32.200 --> 00:03:35.200]  有三方面我們要記得
[00:03:35.200 --> 00:03:38.200]  很簡單的大綱,第一是聽道
[00:03:38.200 --> 00:03:42.200]  第二是信道,第三是行道
[00:03:42.200 --> 00:03:45.200]  記得了吧?那篇講章講完了
[00:03:45.200 --> 00:03:50.200]  這篇經文,《華國力書》的作者說
[00:03:50.200 --> 00:03:54.200]  我們要快快的聽
[00:03:54.200 --> 00:03:56.200]  現在這些是什麼人呢?
[00:03:56.200 --> 00:04:04.200]  很想積極地聽到一些訊息
[00:04:04.200 --> 00:04:09.200]  我開始講道的時候,很多年前
[00:04:09.200 --> 00:04:11.200]  我有一個假設
[00:04:11.200 --> 00:04:14.200]  我講的就等於你們所聽的
[00:04:14.200 --> 00:04:17.200]  後來越講越發覺不是
[00:04:17.200 --> 00:04:20.200]  講和聽之間有一個很大的距離
[00:04:20.200 --> 00:04:24.200]  我不要假設我講的等於你們所聽的
[00:04:24.200 --> 00:04:26.200]  當然有很多因素
[00:04:26.200 --> 00:04:31.200]  有時我們聽得多對道的興趣不大
[00:04:31.200 --> 00:04:34.200]  換了一個馬拿厭食症
[00:04:34.200 --> 00:04:36.200]  聽過了嗎?
[00:04:36.200 --> 00:04:38.200]  馬拿厭食症,你吃得多
[00:04:38.200 --> 00:04:40.200]  本來第一次非常欣賞的
[00:04:40.200 --> 00:04:43.200]  吃著吃著覺得沒什麼味道
[00:04:43.200 --> 00:04:46.200]  這其實是相當嚴重的問題
[00:04:46.200 --> 00:04:49.200]  甚至神也不喜歡見到這種病
[00:04:49.200 --> 00:04:54.200]  另一種病我發覺也挺嚴重
[00:04:54.200 --> 00:04:56.200]  這個講完有些責任
[00:04:56.200 --> 00:04:58.200]  我們是傳染者,什麼病呢?
[00:04:58.200 --> 00:05:00.200]  眼皮自閉症
[00:05:00.200 --> 00:05:03.200]  有沒有聽過?
[00:05:03.200 --> 00:05:06.200]  這個講完我承認我們有責任
[00:05:06.200 --> 00:05:11.200]  我們傳染了一個細菌,令你們有眼皮自閉症
[00:05:11.200 --> 00:05:16.200]  一聽這個講完就自動關閉閘門
