
[00:00:00.000 --> 00:00:01.800]  各位弟子們平安
[00:00:01.800 --> 00:00:07.620]  邀請大家再次低頭祈禱
[00:00:07.620 --> 00:00:09.120]  用我口中的言語
[00:00:09.120 --> 00:00:10.960]  頌弟兄姊妹的心思意念
[00:00:10.960 --> 00:00:12.860]  同夢上主的願
[00:00:12.860 --> 00:00:15.100]  祈禱奉主耶穌 基督的名求
[00:00:15.100 --> 00:00:17.200]  阿們
[00:00:17.200 --> 00:00:20.840]  剛才的講題是講「跨越邊界的愛」
[00:00:20.840 --> 00:00:26.120]  那邊界不知道大家腦海裡浮現的是什麼呢?
[00:00:26.120 --> 00:00:28.240]  深圳河?
[00:00:28.240 --> 00:00:31.720]  是需要簽證過的海關?
[00:00:31.720 --> 00:00:38.020]  還是那種道不同不相為謀的距離感呢?
[00:00:38.020 --> 00:00:41.800]  我們想像一下
[00:00:41.800 --> 00:00:45.280]  如果今天澳門特區政府突然宣布
[00:00:45.280 --> 00:00:49.300]  因為港澳兩地情同手足
[00:00:49.300 --> 00:00:51.240]  所以今年派錢
[00:00:51.240 --> 00:00:53.520]  香港人都有份
[00:00:53.520 --> 00:00:56.680]  只要你拿著香港的永久居民身份證
[00:00:56.680 --> 00:00:59.860]  跨過港珠澳大橋去到澳門
[00:00:59.860 --> 00:01:01.220]  不用排隊
[00:01:01.220 --> 00:01:04.100]  立即領一萬元
[00:01:04.100 --> 00:01:06.220]  你覺得怎樣呢?
[00:01:06.220 --> 00:01:08.680]  我相信大家不單很開心
[00:01:08.680 --> 00:01:11.000]  簡直會瘋狂
[00:01:11.000 --> 00:01:12.760]  你會驚嘆的是
[00:01:12.760 --> 00:01:15.720]  澳門特區政府竟然那麼大方
[00:01:15.720 --> 00:01:17.840]  去到這個地步
[00:01:17.840 --> 00:01:19.880]  原來那條心粉
[00:01:19.880 --> 00:01:21.920]  那條福利的邊界
[00:01:21.920 --> 00:01:25.280]  是可以消失的
[00:01:25.280 --> 00:01:27.320]  不過現實之中
[00:01:27.320 --> 00:01:31.560]  邊界往往是很冷冰冰的
[00:01:31.560 --> 00:01:32.880]  在二千多年前
[00:01:32.880 --> 00:01:37.640]  這條邊界更加是一道不可逾越的鴻溝
[00:01:37.640 --> 00:01:41.280]  今日經文的主角是彼得
[00:01:41.280 --> 00:01:43.240]  他認為很嚴謹
[00:01:43.240 --> 00:01:47.840]  嚴謹到近乎死硬派的猶太領袖
[00:01:47.840 --> 00:01:48.960]  對他來說
[00:01:48.960 --> 00:01:53.800]  生命中有一條不能夠逾越的紅線
[00:01:53.800 --> 00:01:55.480]  甚麼紅線呢?
[00:01:55.480 --> 00:01:58.240]  猶太人是上帝的選民
[00:01:58.240 --> 00:02:00.480]  他們是聖潔的
[00:02:00.480 --> 00:02:05.280]  所以那些不是猶太族裏的外邦人
[00:02:05.280 --> 00:02:07.320]  你和我都是外邦人
[00:02:07.320 --> 00:02:08.480]  是世俗的
[00:02:08.480 --> 00:02:10.760]  是不潔淨的
[00:02:10.760 --> 00:02:14.280]  當時的規矩寫得很清楚
[00:02:14.280 --> 00:02:18.040]  猶太人是不能夠進入外邦人的家
[00:02:18.040 --> 00:02:24.560]  進入後自己都變得不潔淨、骯髒、骯髒
[00:02:24.560 --> 00:02:26.680]  就算你說不屋企不要緊
[00:02:26.680 --> 00:02:28.880]  去外面的餐廳吃飯
[00:02:28.880 --> 00:02:30.800]  對不起,也不行
[00:02:30.800 --> 00:02:35.840]  你是不可以和外邦人同桌吃飯的
[00:02:35.840 --> 00:02:39.080]  不過今日這段經文最震撼我們的地方
[00:02:39.080 --> 00:02:40.640]  就是這位彼得
[00:02:40.640 --> 00:02:45.920]  竟然進入羅馬軍官哥尼劉的家講道
[00:02:45.920 --> 00:02:49.080]  就好像兩界一原本不同國籍
[00:02:49.080 --> 00:02:52.840]  甚至是迎面交鋒的戰機
[00:02:52.840 --> 00:02:54.640]  應該會打架的
[00:02:54.640 --> 00:02:58.160]  竟然在一個交互點停下來
[00:02:58.160 --> 00:03:01.120]  握手成為朋友
[00:03:01.120 --> 00:03:05.720]  這個是打破千多年的傳統
[00:03:05.720 --> 00:03:12.560]  粉碎了族群之間隔下的一個歷史時刻
[00:03:12.560 --> 00:03:14.360]  其實你有沒有留意
[00:03:14.360 --> 00:03:18.640]  我們每個人心裏都有條邊界
[00:03:18.640 --> 00:03:20.560]  可能是種族
[00:03:20.560 --> 00:03:22.000]  可能是立場
[00:03:22.000 --> 00:03:23.760]  可能是身份
[00:03:23.760 --> 00:03:28.400]  甚至可能是我們心底裏的一份自卑
[00:03:28.400 --> 00:03:31.920]  好像我這樣滿身傷痕的人
[00:03:31.920 --> 00:03:34.920]  上帝還會愛我嗎?
