
[00:00:00.000 --> 00:00:02.000]  七位弟兄姊妹早晨
[00:00:02.000 --> 00:00:06.960]  很開心今天可以一早跟大家分享神的話語
[00:00:06.960 --> 00:00:08.400]  我們未開始之先
[00:00:08.400 --> 00:00:10.400]  我們一起同心禱告
[00:00:10.400 --> 00:00:14.920]  七位天父我們感謝祢
[00:00:14.920 --> 00:00:18.080]  感謝祢就是那位信實不變的神
[00:00:18.080 --> 00:00:20.720]  當我們面對困難的時候
[00:00:20.720 --> 00:00:23.960]  上帝啊 祢啊 上上都與我們同在
[00:00:23.960 --> 00:00:27.800]  主啊 求祢就是這樣幫助我們在這個世代裏面
[00:00:27.800 --> 00:00:30.240]  能夠去衷心去見證祢
[00:00:30.240 --> 00:00:34.080]  讓不認識祢的人都可以緊緊去跟隨祢
[00:00:34.080 --> 00:00:35.680]  求祢就是使用我們
[00:00:35.680 --> 00:00:39.440]  求祢就是讓我們能夠成為祢的跟隨者
[00:00:39.440 --> 00:00:40.760]  做好的門徒
[00:00:40.760 --> 00:00:43.000]  讓人可以去認識祢
[00:00:43.000 --> 00:00:45.680]  求祢一時刻就與我們每一個人同在
[00:00:45.680 --> 00:00:47.760]  求祢就向我們每一個人說話
[00:00:47.760 --> 00:00:48.840]  我們多謝祢
[00:00:48.840 --> 00:00:50.040]  聽我們的禱告
[00:00:50.040 --> 00:00:51.880]  奉主明求
[00:00:51.880 --> 00:00:52.880]  阿門
[00:00:56.560 --> 00:01:02.600]  今天我們來到啟示錄三章七至十三節
[00:01:02.600 --> 00:01:07.560]  是神啟示約翰寫信給第六間教會
[00:01:07.560 --> 00:01:10.160]  就是菲拉切菲教會
[00:01:10.160 --> 00:01:13.960]  菲拉切菲的意思是弟兄相愛的意思
[00:01:13.960 --> 00:01:15.280]  從這個名字裏面
[00:01:15.280 --> 00:01:18.880]  我們可以猜想這間教會是愛主
[00:01:18.880 --> 00:01:21.160]  愛弟兄姊妹的教會
[00:01:21.160 --> 00:01:24.120]  這個地方是一個商業的中心
[00:01:24.120 --> 00:01:27.600]  它可以通往到很不同的交會點
[00:01:27.600 --> 00:01:31.800]  它能夠傳遞、溝通和通往各處
[00:01:31.800 --> 00:01:36.520]  所以它有個名稱就叫做「東行之門」
[00:01:36.520 --> 00:01:40.240]  但這間教會處於一個地震的區域
[00:01:40.240 --> 00:01:43.560]  常常都有猛烈的地震
[00:01:43.560 --> 00:01:49.560]  是小亞西亞一帶最受到嚴重影響的城市之一
