
[00:00:00.000 --> 00:00:02.300]  今日我講的題目叫做客家好斬
[00:00:02.300 --> 00:00:04.000]  有少少廣告的味道
[00:00:04.000 --> 00:00:08.200]  但經文是給我一個很大的提醒
[00:00:08.200 --> 00:00:10.100]  我們一聽這段經文的時候
[00:00:10.100 --> 00:00:11.600]  就好像前面還有少少
[00:00:11.600 --> 00:00:13.200]  有四節經文未讀的
[00:00:13.200 --> 00:00:15.100]  二十五節開始都讀的
[00:00:15.100 --> 00:00:16.100]  我會講少少
[00:00:16.100 --> 00:00:17.700]  但我想將那個重點
[00:00:17.700 --> 00:00:19.500]  就是放在後面那一部份
[00:00:19.500 --> 00:00:21.700]  因為很多時候我們讀這段經文
[00:00:21.700 --> 00:00:22.900]  一讀的時候已經說
[00:00:22.900 --> 00:00:24.800]  「好撒馬尼亞人」
[00:00:24.800 --> 00:00:27.000]  有沒有未聽過這個比喻
[00:00:27.000 --> 00:00:27.900]  或者這個故事
[00:00:27.900 --> 00:00:29.100]  有沒有 各位學生有沒有
[00:00:29.500 --> 00:00:30.600]  即是大家都聽過
[00:00:30.600 --> 00:00:33.700]  但我今天嘗試從另一個角度去看
[00:00:33.700 --> 00:00:37.500]  會不會進入一個新的層次
[00:00:37.500 --> 00:00:40.200]  以致我們能夠更加實際地去應用這段經文
[00:00:40.200 --> 00:00:44.300]  我們都不可以忘記當時的社會現象
[00:00:44.300 --> 00:00:46.500]  我想先介紹一下
[00:00:46.500 --> 00:00:50.600]  耶路撒冷到耶利哥這一段路
[00:00:50.600 --> 00:00:54.000]  就是由紫色這一個高山的地方
[00:00:54.300 --> 00:00:59.900]  大概是在水平線上七百多米的高位
[00:00:59.900 --> 00:01:03.700]  一直沿著一條山路
[00:01:03.700 --> 00:01:07.300]  便亞敏和猶大之派中間的那條山路
[00:01:07.300 --> 00:01:10.500]  一直下到約旦河紅色這一邊
[00:01:10.500 --> 00:01:14.300]  約旦河原來已經低過地中海的水平線
[00:01:14.300 --> 00:01:17.600]  而耶利哥是在負二百七十多米
[00:01:17.600 --> 00:01:20.900]  即是由耶路撒冷到耶利哥
[00:01:20.900 --> 00:01:23.900]  落差的海拔是一千米
[00:01:24.500 --> 00:01:26.100]  在這麼短的距離裏面
[00:01:26.100 --> 00:01:28.100]  那條路是很艱難的
[00:01:28.100 --> 00:01:32.500]  還有很多山洞和礦業的地方
[00:01:32.500 --> 00:01:36.700]  是很容易有賊人、搶匪、埋伏的
[00:01:36.700 --> 00:01:41.500]  還有這一段是由約旦這裏過來以色列的時候
[00:01:41.500 --> 00:01:46.500]  差不多東西的貿易都是由那裏進入這個境地
[00:01:46.500 --> 00:01:49.300]  所以那裏有很多商旅經過
[00:01:49.300 --> 00:01:51.900]  帶著貴重的物資
[00:01:52.100 --> 00:01:54.900]  大家明白的這些環境裏面有很多人賺錢
[00:01:54.900 --> 00:01:56.500]  很多時候我們過關都要小心
[00:01:56.500 --> 00:01:59.500]  是很容易有很多的賊人、搶匪
[00:01:59.500 --> 00:02:03.700]  而這個客棧場中間這個三角形的位置
[00:02:03.700 --> 00:02:05.100]  具體位置我們不知道
[00:02:05.100 --> 00:02:06.900]  不過都相信的
[00:02:06.900 --> 00:02:09.300]  因為在當時的文化來講
[00:02:09.300 --> 00:02:14.500]  長途拔竊的那些雷仔、駱駝背著這麼重的東西
[00:02:14.500 --> 00:02:16.300]  不可以叫他們連夜離開
[00:02:16.300 --> 00:02:21.900]  一定在這個路上會有一點安頓的地方
[00:02:22.300 --> 00:02:25.500]  我們留意以前的文化和現在的現代文化是不同的
[00:02:25.500 --> 00:02:29.700]  以前的客棧不是招呼住宅的人
[00:02:29.700 --> 00:02:33.900]  是招呼駱駝和雷仔卸貨之後
[00:02:33.900 --> 00:02:36.700]  放在一個安全的、保險的地方
[00:02:36.700 --> 00:02:39.300]  然後那些人在旁邊就睡在地上
[00:02:39.300 --> 00:02:42.100]  他不是說我們高床軟枕
[00:02:42.100 --> 00:02:45.300]  我們做Saccation、Holiday這樣
[00:02:45.300 --> 00:02:47.100]  不是那種文化你明白嗎
[00:02:47.100 --> 00:02:50.700]  那些人不介意拿個帳篷
[00:02:50.700 --> 00:02:53.700]  或者拿個睡袋就睡在樹底
[00:02:53.700 --> 00:02:56.500]  因為最主要不是他自己住得舒服
[00:02:56.500 --> 00:02:59.900]  而是最重要是他的財物有一個驛站
[00:02:59.900 --> 00:03:01.700]  或者是一個客棧去幫他保管
[00:03:01.700 --> 00:03:03.500]  看著他睡得安心
[00:03:03.500 --> 00:03:06.500]  那些雷仔、駱駝可以喝點水
[00:03:06.500 --> 00:03:08.300]  所以我們讀聖經讀到
[00:03:08.300 --> 00:03:10.700]  客店裏面沒有地方
[00:03:10.700 --> 00:03:12.900]  其實是正常的你明白嗎
[00:03:12.900 --> 00:03:14.900]  那些地方不是用來招呼人的
[00:03:14.900 --> 00:03:15.900]  大家明白
[00:03:15.900 --> 00:03:18.300]  在這個時候我們都上Google Search
[00:03:18.300 --> 00:03:20.100]  我自己都找了一些資料
[00:03:20.300 --> 00:03:22.100]  現在我們看到那條路線
[00:03:22.100 --> 00:03:24.700]  即是現在已經收直了路
[00:03:24.700 --> 00:03:25.900]  建了天橋等等的話
[00:03:25.900 --> 00:03:28.100]  他都是要走三十六公里
[00:03:28.100 --> 00:03:31.900]  如果現在走走九個小時以上
[00:03:31.900 --> 00:03:35.300]  當時走那條路線的設施有沒有那麼好
[00:03:35.300 --> 00:03:36.900]  有沒有那麼平順的時候
[00:03:36.900 --> 00:03:38.900]  可能是要更加長、更加辛苦
[00:03:38.900 --> 00:03:40.500]  加上你去運貨的時候
[00:03:40.500 --> 00:03:43.300]  真是可能一天多才到
[00:03:43.300 --> 00:03:45.500]  這個情況我們明白的時候
[00:03:45.500 --> 00:03:46.500]  我們知道了
[00:03:46.500 --> 00:03:48.100]  原來我上網看
[00:03:48.500 --> 00:03:50.900]  原來那間客棧還在那裏
[00:03:50.900 --> 00:03:52.500]  真是有一間叫做
[00:03:52.500 --> 00:03:54.100]  Good Samaritan Inn
[00:03:54.100 --> 00:03:56.700]  很撒麻利人的客棧
[00:03:56.700 --> 00:03:58.100]  不過現在不是客棧
[00:03:58.100 --> 00:03:59.700]  它變成一間是
[00:03:59.700 --> 00:04:01.900]  廟書院一個的博物館
[00:04:01.900 --> 00:04:04.500]  就是當時的
[00:04:04.500 --> 00:04:06.300]  以色列的政府
[00:04:06.300 --> 00:04:07.900]  為了發展這個旅遊業的時候
[00:04:07.900 --> 00:04:10.100]  就找了聖經很多的故事
[00:04:10.100 --> 00:04:13.100]  估計哪個位置是有那個遺跡
[00:04:13.100 --> 00:04:16.500]  是最像耶穌所暗示或者明示
[00:04:16.500 --> 00:04:18.300]  這一間客棧的地方
[00:04:18.700 --> 00:04:19.900]  相信不只有一間
[00:04:19.900 --> 00:04:22.100]  可能整條街或者整條路線
[00:04:22.100 --> 00:04:23.300]  這三十多公里裏面
[00:04:23.300 --> 00:04:24.700]  都有很多間客棧的
[00:04:24.700 --> 00:04:26.900]  不過那個地方可能比較接近一些
[00:04:26.900 --> 00:04:29.100]  比較是空閒一點的地方
[00:04:29.100 --> 00:04:30.900]  所以這個可能是那個遺址
[00:04:30.900 --> 00:04:32.500]  這個是成為一個博物館
[00:04:32.500 --> 00:04:34.700]  有很多圖片、很多紀念品等等
[00:04:34.700 --> 00:04:37.100]  都是一個好客的唏噓
[00:04:37.100 --> 00:04:39.100]  但是無論如何都讓我們知道
[00:04:39.100 --> 00:04:41.500]  今天我說的客家好棧
[00:04:41.500 --> 00:04:43.900]  是有間接的廣告成分在當中
[00:04:43.900 --> 00:04:46.900]  我代表機構來跟大家分享的時候
[00:04:47.100 --> 00:04:48.500]  其實我不配的
[00:04:48.500 --> 00:04:49.700]  因為你們應該比我更熟悉
[00:04:49.700 --> 00:04:53.900]  假設你們應該是自己生出來的關愛動員
