
[00:00:00.000 --> 00:00:04.800]  那我們回到YAS這個地方分享信息的時候
[00:00:04.800 --> 00:00:07.800]  如果你尚有一些印象的話
[00:00:07.800 --> 00:00:11.700]  我們在上個禮拜的《家庭崇拜》之前
[00:00:11.700 --> 00:00:14.200]  其實用了兩個系列
[00:00:14.200 --> 00:00:22.300]  去講一些關於我們羣體之間的愛的信息
[00:00:22.300 --> 00:00:28.100]  兩個系列的名字分別叫做"YNWA"和"也許相愛很難"
[00:00:28.500 --> 00:00:32.000]  我們說到我們在弟兄姊妹之間
[00:00:32.000 --> 00:00:34.000]  我們要學習彼此相愛
[00:00:34.000 --> 00:00:36.000]  我們要彼此相顧
[00:00:36.000 --> 00:00:37.500]  要關心對方的事
[00:00:37.500 --> 00:00:40.500]  我們不要只是將我們的信仰變成了
[00:00:40.500 --> 00:00:45.000]  單單自己和上帝之間的關係
[00:00:45.000 --> 00:00:46.300]  做好那樣東西就算了
[00:00:46.300 --> 00:00:47.500]  我們不是這樣
[00:00:47.500 --> 00:00:52.300]  我們又說到我們其實每個羣體都很容易會有衝突
[00:00:52.300 --> 00:00:56.000]  但是作爲一個有信仰的羣體
[00:00:56.000 --> 00:00:59.500]  當我們的中間面對衝突的時候
[00:00:59.500 --> 00:01:02.000]  我們跟世界有什麼不同呢?
[00:01:02.000 --> 00:01:04.000]  我們要怎麼處理呢?
[00:01:04.000 --> 00:01:06.500]  我們怎麼看待這些衝突呢?
[00:01:06.500 --> 00:01:10.000]  我們有沒有去看看
[00:01:10.000 --> 00:01:13.500]  將這些衝突會不會成爲你人生生命裏面
[00:01:13.500 --> 00:01:16.000]  可能你成長的一個契機?
[00:01:16.000 --> 00:01:18.500]  又或者是我們會不會其實
[00:01:18.500 --> 00:01:22.000]  會長期這樣都會保持住那個
[00:01:22.000 --> 00:01:26.500]  會和別人復活、和別人和好的那個胸襟
[00:01:26.500 --> 00:01:28.000]  我們有講過這些東西
[00:01:28.000 --> 00:01:30.000]  那今天開始我們會講什麼呢?
[00:01:30.000 --> 00:01:32.000]  我們會講的就是
[00:01:32.000 --> 00:01:34.000]  我們作爲一班作爲信徒
[00:01:34.000 --> 00:01:36.500]  我們除了在我們羣體間裏面
[00:01:36.500 --> 00:01:39.000]  就是我們這個羣體裏面要活出愛之外
[00:01:39.000 --> 00:01:41.500]  我們同樣要將這份愛
[00:01:41.500 --> 00:01:44.500]  帶出去我們這個羣體以外的地方
[00:01:44.500 --> 00:01:48.500]  那說的是我們盼望的我們的信仰
[00:01:48.500 --> 00:01:52.000]  除了剛纔說不僅是顧自己
[00:01:52.000 --> 00:01:54.000]  也都同樣在講的是
[00:01:54.000 --> 00:01:56.000]  不僅是講我們羣體
[00:01:56.000 --> 00:01:59.000]  對弟兄姊妹就非常多愛
[00:01:59.000 --> 00:02:02.000]  但是對着外面一些不信耶穌的人
[00:02:02.000 --> 00:02:04.000]  或者未認識耶穌的人
[00:02:04.000 --> 00:02:06.000]  我們就變得好像沒什麼所謂那樣
[00:02:06.000 --> 00:02:08.000]  好像我們甚至可能有時候
[00:02:08.000 --> 00:02:10.000]  會對一些不是基督徒的人
[00:02:10.000 --> 00:02:15.000]  我們用一些不是基督徒的方法去對待他
[00:02:15.000 --> 00:02:17.000]  我們不想是這樣
[00:02:17.000 --> 00:02:19.000]  甚至壞一點地說
[00:02:19.000 --> 00:02:21.000]  如果你不顯露自己是基督徒的話
[00:02:21.000 --> 00:02:23.000]  或者對方從來人生都不覺得你是基督徒
[00:02:23.000 --> 00:02:25.000]  我不知道大家的生命是不是這樣
[00:02:25.000 --> 00:02:27.000]  但是我盼望我們不是
[00:02:27.000 --> 00:02:29.000]  所以我們在講
[00:02:29.000 --> 00:02:31.000]  我們要活出基督那份愛
[00:02:31.000 --> 00:02:33.000]  我們要活出基督的樣式
[00:02:33.000 --> 00:02:35.000]  其實不分教會內和外
[00:02:35.000 --> 00:02:37.000]  我們同樣要將基督的愛
[00:02:37.000 --> 00:02:39.000]  帶到這個世界外面
[00:02:39.000 --> 00:02:41.000]  要帶給周圍的人
[00:02:41.000 --> 00:02:43.000]  所以我們說教會其實從來都在講
[00:02:43.000 --> 00:02:45.000]  很重視的就是弟兄姊妹
[00:02:45.000 --> 00:02:47.000]  要有傳風的心
[00:02:47.000 --> 00:02:49.000]  要服侍社區
[00:02:49.000 --> 00:02:51.000]  要重視
[00:02:51.000 --> 00:02:53.000]  我們這幫信徒
[00:02:53.000 --> 00:02:55.000]  不僅是這幫人圍在一起就算了
[00:02:55.000 --> 00:02:57.000]  不過
[00:02:57.000 --> 00:02:59.000]  我不知道大家覺不覺
[00:02:59.000 --> 00:03:01.000]  雖然教會一方面
