
[00:00:00.000 --> 00:00:03.440]  好 在分享經文之前 我們先來做一個簡短的禱告
[00:00:03.440 --> 00:00:07.360]  主耶穌基督謝謝祢的恩典 讓祢的話語能夠成為
[00:00:07.360 --> 00:00:08.200]  我們生命的糧
[00:00:08.200 --> 00:00:11.880]  請祢在今天 在這個時候與我們同在 開啟
[00:00:11.880 --> 00:00:15.000]  我們的眼睛 讓我們能夠更加明白祢的話語
[00:00:15.000 --> 00:00:18.780]  也讓我們的生命能夠得到更多的成長 不管講的
[00:00:18.780 --> 00:00:20.600]  還是聽的 溝通能造就
[00:00:20.600 --> 00:00:23.760]  我們同心的禱告 奉主耶穌基督的聖名
[00:00:23.760 --> 00:00:24.840]  Amen
[00:00:24.840 --> 00:00:28.080]  好 剛剛讀的這段經文呢
[00:00:28.560 --> 00:00:32.200]  我們會發現比較奇怪 當你讀的時候發現
[00:00:32.200 --> 00:00:33.080]  好像有
[00:00:33.080 --> 00:00:37.120]  兩部分 兩部分的內容似乎不是太相干
[00:00:37.120 --> 00:00:39.900]  一部分是說 這個門徒
[00:00:39.900 --> 00:00:44.080]  這個使徒們要求 耶穌給他們更多的信心
[00:00:44.080 --> 00:00:46.440]  另外一部分呢 講了什麼的內容呢
[00:00:46.440 --> 00:00:48.080]  另外一部分就講
[00:00:48.080 --> 00:00:52.320]  講了一個比喻 耶穌基督講
[00:00:52.320 --> 00:00:57.240]  好像是一個無用的 普人的比喻 讓他們說
[00:00:57.240 --> 00:01:01.120]  你做完了 就說自己是一個無用的普人
[00:01:01.120 --> 00:01:05.400]  所做的 是我應當做的 好像這兩者之間
[00:01:05.400 --> 00:01:07.840]  沒有很必然的一個的關係
[00:01:07.840 --> 00:01:08.840]  不過
[00:01:08.840 --> 00:01:11.240]  表面上看來是沒有關係
[00:01:11.240 --> 00:01:13.720]  但是你認真讀的時候 其實是蠻有關係的
[00:01:13.720 --> 00:01:17.480]  所以當我們讀這段經文的時候 你不能只看
[00:01:17.480 --> 00:01:21.240]  這段經文這麼短本身 就是你還要讀上下文
[00:01:21.240 --> 00:01:24.440]  你要知道整段的經文要講什麼樣的內容
[00:01:24.800 --> 00:01:28.960]  那在這段經文五到十節之前呢
[00:01:28.960 --> 00:01:32.280]  其實呢 他們還問了一些問題
[00:01:32.280 --> 00:01:34.880]  然後耶穌還給他們有一些的教導
[00:01:34.880 --> 00:01:38.840]  在第一節到第四節那裡 耶穌說
