
[00:00:00.000 --> 00:00:01.200]  今天我的題目就是
[00:00:01.200 --> 00:00:04.500]  如果沒有死 就不會有復活
[00:00:04.500 --> 00:00:07.000]  死與復活是一個關係
[00:00:07.000 --> 00:00:09.500]  換句話說 今天我們說到耶穌基督的復活
[00:00:09.500 --> 00:00:13.500]  就一定要相信耶穌基督曾經真的死了
[00:00:13.500 --> 00:00:15.500]  他曾經告訴我們他死了
[00:00:15.500 --> 00:00:19.500]  他甚至埋葬 到第三天他復活
[00:00:19.500 --> 00:00:24.000]  所以這個週末 其實我們的心情是很起伏的
[00:00:24.000 --> 00:00:26.000]  這個心情就是星期三 星期五晚
[00:00:26.000 --> 00:00:28.500]  我們有些牧區 他們自己有些聚會
[00:00:28.500 --> 00:00:30.500]  他們去紀念耶穌基督
[00:00:30.500 --> 00:00:32.500]  自己在十字架上的那種恩典
[00:00:32.500 --> 00:00:35.500]  甚至他們去想回昔日耶穌基督
[00:00:35.500 --> 00:00:38.500]  在最後那一天 他所走的那條苦路
[00:00:38.500 --> 00:00:41.000]  去默想那條苦路的那種心情
[00:00:41.000 --> 00:00:42.000]  但是到第三天
[00:00:42.000 --> 00:00:44.000]  我們就要帶著一份很歡喜快樂的心
[00:00:44.000 --> 00:00:46.000]  我們說耶穌復活了
[00:00:46.000 --> 00:00:48.000]  所以人的心情在這個時候
[00:00:48.000 --> 00:00:51.000]  短短的三天裏面 或者兩天多一點的裏面
[00:00:51.000 --> 00:00:55.000]  帶給我們有很多不同的感受
[00:00:55.000 --> 00:00:56.000]  耶穌基督曾經說過
[00:00:56.000 --> 00:00:59.000]  當他在行一個神蹟
[00:00:59.000 --> 00:01:01.000]  在拉薩路復活的時候的神蹟
[00:01:01.000 --> 00:01:03.000]  他曾經說過兩個說話
[00:01:03.000 --> 00:01:05.000]  他就說 耶穌對他說
[00:01:05.000 --> 00:01:07.500]  復活在我 生命也在我
[00:01:07.500 --> 00:01:10.500]  信我的人 雖然死了 也必復活
[00:01:10.500 --> 00:01:13.000]  凡活著信我的人 必永遠不死
[00:01:13.000 --> 00:01:15.000]  你信這話嗎?
[00:01:15.000 --> 00:01:16.500]  但耶穌是很清楚的
[00:01:16.500 --> 00:01:20.000]  他就說 復活在我 生命也在我
[00:01:20.000 --> 00:01:22.500]  信我的人 雖然死了 也必復活
[00:01:22.500 --> 00:01:25.000]  我們最多時候讀這個聖經
[00:01:25.000 --> 00:01:26.000]  就是在安息禮拜
[00:01:26.000 --> 00:01:29.000]  通常在殯儀館的安息禮拜當中
[00:01:29.000 --> 00:01:31.000]  我們通常會用這個聖經
[00:01:31.000 --> 00:01:33.000]  來成為我們家裏邊
[00:01:33.000 --> 00:01:36.000]  有人離世的家裏邊的一個安慰
[00:01:36.000 --> 00:01:39.000]  我們很深信 死並不足懼
[00:01:39.000 --> 00:01:42.000]  本身來說 死並不是一個終結
[00:01:42.000 --> 00:01:44.000]  死只是一個階段 一個過程
[00:01:44.000 --> 00:01:47.000]  但是我們在主那邊 離開世界的人
[00:01:47.000 --> 00:01:48.000]  信耶穌的人
[00:01:48.000 --> 00:01:50.000]  我們有一天會復活
[00:01:50.000 --> 00:01:53.000]  而這個復活 我們會面對一個白色的大寶座的審判
[00:01:53.000 --> 00:01:55.000]  不是一個永世的審判
[00:01:55.000 --> 00:01:57.000]  這個審判是一個冠冕的審判
[00:01:57.000 --> 00:01:58.000]  讓我們知道我們有一天
[00:01:58.000 --> 00:02:01.000]  是永永遠遠與神相見
[00:02:01.000 --> 00:02:02.000]  所以換句話來說
[00:02:02.000 --> 00:02:04.000]  對於耶穌基督的復活
[00:02:04.000 --> 00:02:05.000]  我們很深信
