
[00:00:00.000 --> 00:00:01.620]  晚安啊大家
[00:00:01.620 --> 00:00:05.060]  都有一段時間沒有在YA分享了
[00:00:05.060 --> 00:00:06.880]  好像都挺久了
[00:00:06.880 --> 00:00:08.700]  有點想念大家
[00:00:08.700 --> 00:00:13.460]  今天要分享《The Last Dance》
[00:00:13.460 --> 00:00:17.520]  我就想用什麼經文跟大家分享好呢
[00:00:17.520 --> 00:00:19.680]  真的很幽默
[00:00:19.680 --> 00:00:23.280]  給了一個經文
[00:00:23.280 --> 00:00:25.080]  令我想起
[00:00:25.080 --> 00:00:26.360]  如果是《The Last Dance》
[00:00:26.360 --> 00:00:29.300]  我當然想找我最喜歡的人一起跳
[00:00:29.300 --> 00:00:32.700]  如果是找一個我不喜歡的人一起跳
[00:00:32.700 --> 00:00:34.300]  或者是一些惡人
[00:00:34.300 --> 00:00:35.460]  或者是一些壞人
[00:00:35.460 --> 00:00:37.100]  那又怎樣呢
[00:00:37.100 --> 00:00:38.820]  今天的經文
[00:00:38.820 --> 00:00:42.700]  其實希望給我們一些
[00:00:42.700 --> 00:00:44.820]  inspiration from God
[00:00:44.820 --> 00:00:48.020]  我們一起祈禱吧
[00:00:48.020 --> 00:00:48.940]  親愛的天父
[00:00:48.940 --> 00:00:49.860]  親愛的耶穌
[00:00:49.860 --> 00:00:50.580]  親愛的聖靈
[00:00:50.580 --> 00:00:51.780]  我們多謝你
[00:00:51.780 --> 00:00:54.980]  今天你在這裏將你的話語釋放
[00:00:54.980 --> 00:00:58.260]  將你的能力釋放
[00:00:58.260 --> 00:01:00.460]  讓我們在心裏都知道
[00:01:00.460 --> 00:01:02.700]  神你是又真又活的神
[00:01:02.700 --> 00:01:05.820]  以致我們在這個世代裏
[00:01:05.820 --> 00:01:07.900]  我們仍然站立得穩
[00:01:07.900 --> 00:01:10.140]  你來我們的中間
[00:01:10.140 --> 00:01:11.340]  開我們的眼睛
[00:01:11.340 --> 00:01:12.700]  開我們的耳朵
[00:01:12.700 --> 00:01:13.620]  開我們的心
[00:01:13.620 --> 00:01:16.660]  讓你的話語進入我們的心裏
[00:01:16.660 --> 00:01:18.540]  進入我們的生命裏
[00:01:18.540 --> 00:01:20.020]  到老到不偏離
[00:01:20.020 --> 00:01:20.700]  多謝你
