
[00:00:00.000 --> 00:00:06.000]  高等之輩,讓我們一起在聆聽主義道義先,先一同的禱告,仰望我們主,我們的神。
[00:00:06.000 --> 00:00:13.000]  七位天父,多謝你,讓我們可以回到你的說話的面前學習。
[00:00:13.000 --> 00:00:21.000]  多謝你,讓我們在主你的當中,能夠可以有生命經歷,今天你所給我們這個創造。
[00:00:21.000 --> 00:00:28.000]  雖然這個創造的裏面充滿罪惡,但主你仍然讓我們在這個創造的裏面,有一個特別的角色,
[00:00:29.000 --> 00:00:35.000]  將你的福音,將你的啟示,能夠在我們生活裏面活化出來。
[00:00:35.000 --> 00:00:45.000]  但願我們能夠承接這個託付,在今天的世界裏面,我們能夠真是帶著一個盼望,
[00:00:45.000 --> 00:00:54.000]  在一個更美麗的,上帝你的新天新地的開始而先,我們能夠將更多屬父主你的人帶回主你的面前。
[00:00:55.000 --> 00:01:00.000]  我求你的幫助,我們同心禱告,奉靠主耶穌的德性的名字而求。
[00:01:00.000 --> 00:01:11.000]  我們在聖經裏面,無論是舊約也好,或者新約也好,我們其實都應該會認識到一個角色,
[00:01:11.000 --> 00:01:15.000]  這個角色叫做撒旦,或者魔鬼。
[00:01:15.000 --> 00:01:21.000]  撒旦和魔鬼最大的特點,或者它的特性是什麼呢?
[00:01:22.000 --> 00:01:27.000]  就是上帝的心思永遠是唱反調的。
[00:01:27.000 --> 00:01:32.000]  所以它簡單的來說,就是「無事不反」。
[00:01:32.000 --> 00:01:38.000]  所有的事為反對而去做出反對,目的是怎樣呢?
[00:01:38.000 --> 00:01:43.000]  它要誠誠實實地去成為上帝的對頭人。
[00:01:44.000 --> 00:01:53.000]  而罪人亦都因為這個緣故,承襲著魔鬼撒旦所帶來的罪的同一特性。
[00:01:53.000 --> 00:01:58.000]  於是乎我們的思想行為,如果當我們仍然陷在罪的裏面,
[00:01:58.000 --> 00:02:05.000]  我們亦都好像它一樣,凡事都反,什麼都要跟人去唱反調,
[00:02:05.000 --> 00:02:11.000]  甚至人作好事,你都要隨著反調。
[00:02:12.000 --> 00:02:15.000]  而當我們有這種思想行為的時候,
[00:02:15.000 --> 00:02:21.000]  我們就會發現到,因為我們為反對而反對,
[00:02:21.000 --> 00:02:27.000]  有些連選人不利己的事都會做出來。
[00:02:27.000 --> 00:02:37.000]  今天我們作為基督徒,是不是都有這種殘餘的思想仍然在裏面捆綁著我們呢?
[00:02:38.000 --> 00:02:43.000]  如果有的話,我們要怎樣去把它撕掉呢?
[00:02:43.000 --> 00:02:50.000]  這就是今天我們一起去看這段聖經的一些教導,
[00:02:50.000 --> 00:02:56.000]  或者這段聖經想要帶我們去看更深一層的一個屬靈的反思。
[00:02:56.000 --> 00:03:03.000]  不然的話,我們很容易仍然走在一個罪人的心態活動當中。
[00:03:04.000 --> 00:03:13.000]  你說,牧師,不是的,我不會的,我很信耶穌的,我對主的說話很忠信的。
[00:03:13.000 --> 00:03:19.000]  不過,有時當我們發覺到在這個世界活著的時候,
[00:03:19.000 --> 00:03:26.000]  有很多事其實不經不覺,其實我們走回到這個罪的深淵,或者這個泥潭裏面。
