
[00:00:00.000 --> 00:00:02.580]  "十誡的總歸"
[00:00:02.580 --> 00:00:06.400]  大家記不記得上個星期講到的主題是什麼呢?
[00:00:06.400 --> 00:00:11.100]  有些人說過了
[00:00:11.100 --> 00:00:12.700]  差不多有這樣的名字
[00:00:12.700 --> 00:00:16.740]  這個名字的靈感就是來自上一個星期
[00:00:16.740 --> 00:00:18.980]  吳大文牧師所講的
[00:00:18.980 --> 00:00:20.680]  "總歸是愛"
[00:00:20.680 --> 00:00:23.020]  "總歸是愛"
[00:00:23.020 --> 00:00:26.380]  今天就講"十誡的總歸"
[00:00:26.380 --> 00:00:29.440]  大家感覺到有一點點疏忽嗎?
[00:00:30.160 --> 00:00:31.360]  有一點點疏忽吧
[00:00:31.360 --> 00:00:32.980]  也是有一點點疏忽
[00:00:32.980 --> 00:00:34.660]  其實也有很大的疏忽
[00:00:34.660 --> 00:00:35.680]  稍後我講解下去
[00:00:35.680 --> 00:00:37.580]  希望大家能夠聽得明白
[00:00:37.580 --> 00:00:44.000]  大家記得十誡是在什麼時候出現的嗎?
[00:00:44.000 --> 00:00:48.980]  在以色列人出埃及的時候
[00:00:48.980 --> 00:00:50.960]  在曠野的時候
[00:00:50.960 --> 00:00:54.260]  神籍摩西來頒佈這個十誡
[00:00:54.260 --> 00:00:56.900]  十誡裡面最出名的
[00:00:56.900 --> 00:00:58.300]  講了什麼呢?
[00:00:58.300 --> 00:00:59.320]  大家記不記得?
[00:00:59.600 --> 00:01:00.880]  也有一些印象的
[00:01:00.880 --> 00:01:02.320]  說一兩句來聽聽
[00:01:02.320 --> 00:01:04.720]  十誡講了什麼呢?
[00:01:04.720 --> 00:01:06.140]  當孝敬父母
[00:01:06.140 --> 00:01:07.380]  是的
[00:01:07.380 --> 00:01:09.320]  做父母的
[00:01:09.320 --> 00:01:11.340]  要當孝敬父母
[00:01:11.340 --> 00:01:14.340]  經常都希望子女可以這樣做
[00:01:14.340 --> 00:01:16.140]  當孝敬父母
[00:01:16.140 --> 00:01:16.940]  是的
[00:01:16.940 --> 00:01:20.320]  十誡裡面有很多的誡名
[00:01:20.320 --> 00:01:22.040]  都是我們耳熟能詳的
[00:01:22.040 --> 00:01:24.500]  它記載在其中一處
[00:01:24.500 --> 00:01:27.340]  就是出埃及記的二十章
[00:01:27.340 --> 00:01:28.640]  一至二十節
[00:01:29.280 --> 00:01:30.840]  雖然我們有很多都很熟悉
[00:01:30.840 --> 00:01:33.340]  我們也一起讀一次,好嗎?
[00:01:33.340 --> 00:01:35.780]  我接著會有經文打出來的
[00:01:35.780 --> 00:01:38.300]  大家可以揭到聖經裡面
[00:01:38.300 --> 00:01:40.320]  也可以看這個投影片的
[00:01:40.320 --> 00:01:43.400]  由第一節到二十節
[00:01:43.400 --> 00:01:45.380]  我們慢慢讀一次,好嗎?
[00:01:45.380 --> 00:01:47.340]  一二三開始
[00:01:47.340 --> 00:01:50.580]  神吩咐這一切的話說
[00:01:50.580 --> 00:01:53.280]  我是耶和華尼的神
[00:01:53.280 --> 00:01:56.840]  曾將你從埃及地遺留之家
[00:01:56.840 --> 00:01:59.980]  臨出來,除了我以外
[00:01:59.980 --> 00:02:02.280]  你不可有別的神
[00:02:02.280 --> 00:02:05.180]  不可為自己雕刻偶像
[00:02:05.180 --> 00:02:07.480]  也不可做什麼形象
[00:02:07.480 --> 00:02:11.080]  仿佛上天下地和地底下
[00:02:11.080 --> 00:02:12.880]  水中的白物
[00:02:12.880 --> 00:02:15.080]  不可為拜那些像
[00:02:15.080 --> 00:02:17.080]  也不可侍奉他
[00:02:17.080 --> 00:02:19.580]  因為我耶和華尼的神
[00:02:19.580 --> 00:02:21.380]  是地邪的神
[00:02:21.380 --> 00:02:24.580]  恨我的,我必追討他的罪
[00:02:24.580 --> 00:02:28.080]  自父及子,直到三、四代
[00:02:28.080 --> 00:02:31.080]  愛我,守我誡命的
[00:02:31.080 --> 00:02:35.080]  我必向他們發慈愛,直到千代
[00:02:35.080 --> 00:02:38.580]  不可妄稱耶和華尼神的名
[00:02:38.580 --> 00:02:41.080]  因為妄稱耶和華名的
[00:02:41.080 --> 00:02:44.580]  耶和華必不以他為無罪
[00:02:44.580 --> 00:02:48.080]  當紀念安息日,守為聖日
