
[00:00:00.000 --> 00:00:02.000]  願您平安
[00:00:02.000 --> 00:00:05.000]  我們先有個祈禱開始
[00:00:05.000 --> 00:00:07.000]  親愛的天父我們感謝您恩典
[00:00:07.000 --> 00:00:10.000]  讓我們有平安的來到這裡敬拜您
[00:00:10.000 --> 00:00:13.000]  我們求聖靈在我們中間幫助我們
[00:00:13.000 --> 00:00:14.000]  明白祢的話
[00:00:14.000 --> 00:00:17.000]  也願意實踐聖經的教導
[00:00:17.000 --> 00:00:19.000]  榮耀主的名
[00:00:19.000 --> 00:00:20.000]  奉耶穌基督的名
[00:00:20.000 --> 00:00:22.000]  祈禱 阿們
[00:00:22.000 --> 00:00:24.000]  好 我們先觀察一下金句
[00:00:24.000 --> 00:00:27.000]  大家記不記得詩篇一一九一一
[00:00:27.000 --> 00:00:29.000]  一一九一一
[00:00:29.000 --> 00:00:31.000]  是很短的
[00:00:31.000 --> 00:00:34.000]  我把你的話藏在心裡
[00:00:34.000 --> 00:00:37.000]  免得我得罪你
[00:00:37.000 --> 00:00:41.000]  只是記住主的話都不夠
[00:00:41.000 --> 00:00:43.000]  還要一一九不講什麼
[00:00:43.000 --> 00:00:45.000]  一一九不講是什麼
[00:00:45.000 --> 00:00:48.000]  我反省自己所走的路
[00:00:48.000 --> 00:00:51.000]  決意轉向你的法則
[00:00:51.000 --> 00:00:53.000]  上個星期那一節是很短的
[00:00:53.000 --> 00:00:55.000]  三章貼在羅尼加
[00:00:55.000 --> 00:00:57.000]  後書是三章十三節
[00:00:57.000 --> 00:01:02.000]  你們要不鬆懈地行善
[00:01:02.000 --> 00:01:07.000]  行善是指向上帝喜悅的事
[00:01:07.000 --> 00:01:10.000]  在舊約的《彌加仙之書》
[00:01:10.000 --> 00:01:12.000]  六章八節告訴我們
[00:01:12.000 --> 00:01:15.000]  上主已經指示我們
[00:01:15.000 --> 00:01:17.000]  什麼是善
[00:01:17.000 --> 00:01:19.000]  他要求的是
[00:01:19.000 --> 00:01:21.000]  伸張正義
[00:01:21.000 --> 00:01:23.000]  實行不變的愛
[00:01:23.000 --> 00:01:25.000]  謙卑地
[00:01:25.000 --> 00:01:28.000]  跟我們的上帝同行
[00:01:28.000 --> 00:01:32.000]  大家要在這幾方面的善事上
[00:01:32.000 --> 00:01:35.000]  都要不鬆懈地去行
[00:01:35.000 --> 00:01:38.000]  天國系列已經講了一段時間了
[00:01:38.000 --> 00:01:41.000]  我相信大家都知道
[00:01:41.000 --> 00:01:45.000]  聖經的主題就是天國
[00:01:45.000 --> 00:01:46.000]  在舊約裡面
[00:01:46.000 --> 00:01:49.000]  上帝是帶領以色列人
[00:01:49.000 --> 00:01:53.000]  在地上建立一個以敬拜上帝
[00:01:53.000 --> 00:01:58.000]  和遵行上帝所定的法律的角度
[00:01:58.000 --> 00:02:01.000]  雖然以色列人失敗了
[00:02:01.000 --> 00:02:05.000]  但是上帝的心意是很明顯的
[00:02:05.000 --> 00:02:07.000]  他要建立的角度
[00:02:07.000 --> 00:02:09.000]  是包括有一批人
[00:02:09.000 --> 00:02:13.000]  在上帝為他們預備的土地上
[00:02:13.000 --> 00:02:17.000]  願意遵行他的法律
[00:02:17.000 --> 00:02:19.000]  就是愛上帝
[00:02:19.000 --> 00:02:22.000]  和彼此相愛
[00:02:22.000 --> 00:02:23.000]  為了這個目的
[00:02:23.000 --> 00:02:26.000]  上帝最後是拆敗了他的獨生子
[00:02:26.000 --> 00:02:33.000]  耶穌基督來到這個世界上面
[00:02:33.000 --> 00:02:36.000]  為罪人死
[00:02:36.000 --> 00:02:40.000]  使我們明白什麼是真愛
[00:02:40.000 --> 00:02:44.000]  現在上帝已經接耶穌
[00:02:44.000 --> 00:02:47.000]  建立了他的角度
