
[00:00:00.000 --> 00:00:04.440]  嘿,大英字幕好,很高興見到大家,雖然今天是非常冷
[00:00:04.440 --> 00:00:08.640]  那你聽到我的聲音,都是好了大概85%左右
[00:00:08.640 --> 00:00:12.740]  還有15%,還要去休息一下,那我也不推自己那麼多了
[00:00:12.740 --> 00:00:17.000]  怎樣都好,我們繼續我們這個系列,今次是第三講
[00:00:17.000 --> 00:00:20.900]  那這個系列是一些integration來的,我們試一下去結合一下
[00:00:20.900 --> 00:00:26.940]  所謂一些外面講的一些行為心理學的insight
[00:00:26.940 --> 00:00:32.200]  去看一下聖經裡面一些智慧文學,wisdom literature裡面講些什麼
[00:00:32.200 --> 00:00:36.940]  所以這個三part講道的series今天完結了
[00:00:36.940 --> 00:00:41.000]  這個講道的series就叫做原子智慧,是吧
[00:00:41.000 --> 00:00:47.500]  出自這本書叫做Atomic Habit,是一本很流行的書來的,在去年
[00:00:47.500 --> 00:00:53.700]  到近幾年,是非常多人看的,其實我都沒有留意,是Amanda叫我
[00:00:53.700 --> 00:00:58.000]  說不如你看一下這本書,我說看看吧,誰知道就對了
[00:00:58.000 --> 00:01:01.760]  在這個年頭的時候,我們就可以想一下,思想一下
[00:01:01.760 --> 00:01:08.300]  這些Atomic Habit,一些很小的習慣,怎樣去幫助我們生命去改變
[00:01:08.300 --> 00:01:13.000]  去到結合一下聖經裡面智慧文學,特別是Proverbs
[00:01:13.000 --> 00:01:17.700]  諏言裡面所講的東西,那我們review一下在過去兩次
[00:01:17.700 --> 00:01:21.900]  我們曾經講過一些原則,大家都記得這六個原則
[00:01:21.900 --> 00:01:25.400]  一個percent的power,每一天你做一個percent的改變
[00:01:25.400 --> 00:01:30.900]  365天之後,你有的效應是三十多倍的效應
[00:01:30.900 --> 00:01:34.900]  然後有這個賞罰的效應,就是每一次我們訂立目標
[00:01:34.900 --> 00:01:38.200]  或者去做一些習慣的時候,我們訂立一些incentives
[00:01:38.200 --> 00:01:41.100]  或者disincentives,你都可以幫助我們
[00:01:41.100 --> 00:01:46.100]  訂立一個目標的時候,我們更加需要去明白where and when
[00:01:46.100 --> 00:01:52.100]  大家記得嗎,specific,一些很具體的東西,你要去訂立的時候
[00:01:52.100 --> 00:01:56.700]  就會更加容易去養成一些良好的習慣
[00:01:56.700 --> 00:02:02.400]  第四就是我們身邊的朋友,這個社群對我們的力量
[00:02:02.400 --> 00:02:08.800]  第五就是那個default的power,預設的一種影響力
[00:02:08.800 --> 00:02:14.400]  我們一些習慣我們先預設,然後生命裡面才會養成這些習慣
[00:02:14.400 --> 00:02:17.300]  讓我們生命裡面有一些的效應
[00:02:17.300 --> 00:02:21.200]  第六就是make it personal,越個人就越有效
[00:02:21.200 --> 00:02:26.300]  這次我們看第七個principle,就是environment的principle
[00:02:26.300 --> 00:02:30.700]  就是環境對於我們生命的改變是重要的
[00:02:30.700 --> 00:02:38.500]  我記得很多年前,很多年前那時候的電視都沒那麼扁的
[00:02:38.500 --> 00:02:44.700]  那些CRT的電視,大家有沒有,家裡有幾部放在那裡,不知道有風塵
[00:02:44.700 --> 00:02:48.200]  我記得我們睡房裡面是有部這樣的電視的
[00:02:48.200 --> 00:02:53.200]  我是拉上去牆上面,你覺得好不好這個習慣
[00:02:53.200 --> 00:02:56.000]  不行,很不行,很不行
[00:02:56.000 --> 00:03:00.900]  拉上去那時候是有趣的,因為多了一部,不如拉在那裡吧
[00:03:00.900 --> 00:03:04.100]  但是那個環境根本就是不幫助到你的
[00:03:04.100 --> 00:03:10.600]  所以一段時間之後我就拆下來,然後放在後面,就有風塵
[00:03:10.600 --> 00:03:14.100]  我們的環境對我們影響很大,有一些study告訴我們
[00:03:14.100 --> 00:03:19.300]  譬如,譬如你說你想on diet,就是不要吃那麼多東西
[00:03:19.300 --> 00:03:23.200]  你知道我們美國人吃很多東西,太多東西吃
[00:03:23.200 --> 00:03:27.500]  這些study告訴我們,如果你真的on diet的話,有什麼habit可以幫到你
[00:03:27.500 --> 00:03:32.100]  就是每次吃飯之前,你喝兩杯水
[00:03:32.100 --> 00:03:36.300]  那你就自然沒有位置吃那麼多東西,是不是
[00:03:36.300 --> 00:03:39.100]  所以你的環境是幫助到你的
[00:03:39.100 --> 00:03:41.700]  很多年前,那些小孩子小的時候
[00:03:41.700 --> 00:03:45.000]  我們資格高的人,有時候上去多人多的,是不是
[00:03:45.000 --> 00:03:48.600]  那些小孩子小的時候,他們不懂吃什麼好東西,是不是
[00:03:48.600 --> 00:03:50.000]  你懂得吃什麼,他們
[00:03:50.000 --> 00:03:56.100]  那我們就想了一個方案,就是先帶他們去吃些麵包
[00:03:56.100 --> 00:04:00.500]  先讚飽他們,一兩元一個麵包,是不是
[00:04:00.500 --> 00:04:03.100]  讚飽他們,說好吃啊,蛋撻好吃啊
[00:04:03.100 --> 00:04:05.500]  接著我們才走去吃海鮮
[00:04:05.500 --> 00:04:08.100]  結果他們不用吃東西了,是不是
[00:04:08.100 --> 00:04:12.300]  這個就是環境對我們的生命裡面,是有很大的影響
[00:04:12.300 --> 00:04:15.200]  flip side,就是說想另一邊的話
[00:04:15.200 --> 00:04:19.100]  就是養成一個良好的習慣,應該有什麼樣的環境
[00:04:19.100 --> 00:04:22.400]  以致我們能夠去到更加容易做到
[00:04:22.400 --> 00:04:27.100]  有些study去研究,就是其中一個
[00:04:27.100 --> 00:04:29.900]  在波士頓有一間醫院
[00:04:29.900 --> 00:04:32.500]  那個醫院的方案就是
[00:04:32.500 --> 00:04:35.900]  希望能夠鼓勵那些員工去cafeteria的時候
[00:04:35.900 --> 00:04:38.300]  他們就要吃一些健康的東西
[00:04:38.300 --> 00:04:41.900]  salad啊,菜啊等等
[00:04:41.900 --> 00:04:44.500]  他們結果就做些什麼
[00:04:44.500 --> 00:04:49.300]  就只是將cafeteria的layout改一改
[00:04:49.300 --> 00:04:51.900]  那些水,一瓶瓶那些水
[00:04:51.900 --> 00:04:55.200]  就放在門口,最容易拿的地方
[00:04:55.200 --> 00:04:58.200]  然後那些fountain drink,就是那些汽水
[00:04:58.200 --> 00:05:03.900]  就放在最後最後,最難拿的地方,對不對
[00:05:03.900 --> 00:05:06.900]  三個月之後,他們發現
[00:05:06.900 --> 00:05:13.600]  員工飲水的比率是多了25.8%
[00:05:13.600 --> 00:05:17.400]  三個月之後,就因為這個layout的緣故
[00:05:17.400 --> 00:05:21.600]  然後那些soda或者汽水
[00:05:21.600 --> 00:05:25.600]  就少了11.4%
[00:05:25.600 --> 00:05:28.300]  就是那個環境上面的layout
[00:05:28.300 --> 00:05:31.900]  就可以改變了人的習慣
