
[00:00:00.000 --> 00:00:08.780]  今天早上牧師會不會給大家眼前一亮
[00:00:08.780 --> 00:00:16.720]  我不是說Letterly的感染要一身絕配
[00:00:16.720 --> 00:00:22.960]  紫色眼鏡、紫色領帶、紫色外套
[00:00:22.960 --> 00:00:29.240]  其實是有一個象徵的意義
[00:00:29.240 --> 00:00:33.560]  代表昨晚我們的組別在團體的遊戲輸了
[00:00:33.560 --> 00:00:37.240]  代表昨天我們晚上在團體的組別
[00:00:37.240 --> 00:00:40.800]  我們輸在一個不正常的系統
[00:00:40.800 --> 00:00:42.680]  我們輸入一個不正常的系統
[00:00:42.680 --> 00:00:46.440]  正如主持人所說 其實人生就是這樣的
[00:00:46.440 --> 00:00:49.280]  正如主持人所說的 人生就是這個樣子
[00:00:49.280 --> 00:00:52.280]  不是凡事都受你控制
[00:00:52.280 --> 00:00:54.680]  其實這個故事是和今天的講題有關的
[00:00:54.680 --> 00:00:57.200]  這個故事是跟今天的講題是有關的
[00:00:57.200 --> 00:01:02.960]  《雅各書》是一卷討論信徒邁向成熟的書卷
[00:01:02.960 --> 00:01:07.000]  《雅各書》是一卷討論信徒邁向成熟的書卷
[00:01:07.000 --> 00:01:10.240]  成熟其中一個表現就是你怎樣去面對困難
[00:01:10.240 --> 00:01:14.360]  成熟其中一個表現就是你怎樣去面對困難
[00:01:14.360 --> 00:01:18.560]  按新約的學者的研究 《雅各書》成書的時候
[00:01:18.560 --> 00:01:22.760]  按新約的學者研究 《雅各書》成書的時候
[00:01:22.760 --> 00:01:26.800]  教會正面對很大的逼迫
[00:01:26.800 --> 00:01:28.800]  教會正面對很大的逼迫
[00:01:28.800 --> 00:01:33.840]  《雅各書》鼓勵當時的信徒怎樣去面對這些種種的困難
[00:01:33.840 --> 00:01:37.560]  《雅各書》鼓勵當時的信徒怎樣去面對種種的困難
[00:01:37.560 --> 00:01:42.040]  或者好像近年國內教會都面對各種的困難
[00:01:42.040 --> 00:01:46.360]  或者好像近年國內的教會也是面對種種的困難
[00:01:46.360 --> 00:01:50.040]  因為內地的牧師有一番說話我覺得很有意思
[00:01:50.040 --> 00:01:55.560]  因為內地的牧師有一番說話我覺得很有意思
[00:01:55.560 --> 00:01:58.840]  他說沒有人願意看到教會承受這些困難
[00:01:58.840 --> 00:02:02.440]  他說沒有人願意看到教會去承受這些苦難
[00:02:02.440 --> 00:02:04.760]  但是如果神容許這些事情發生
[00:02:04.760 --> 00:02:07.240]  但是如果神容許這些事情發生
[00:02:07.240 --> 00:02:11.160]  他說其中一個原因就是要煉進教會的雜質
[00:02:11.160 --> 00:02:14.080]  他說其中一個原因就是要煉進教會的雜質
[00:02:14.080 --> 00:02:16.360]  令到教會更加的純潔
[00:02:16.360 --> 00:02:18.160]  令到教會更加的純潔
[00:02:18.160 --> 00:02:24.000]  我覺得牧師是看到事情表面的背後真正的意義
[00:02:24.000 --> 00:02:28.400]  我覺得牧師是看到事情表面的背後真正的意義
[00:02:28.400 --> 00:02:30.600]  今天早上我們經文提到
[00:02:30.600 --> 00:02:32.240]  今天早上我們經文提到
[00:02:32.240 --> 00:02:36.280]  我是用新譯本的譯本請華麗讀出
[00:02:36.280 --> 00:02:39.800]  我是用新譯本的譯本我現在唸給大家聽
[00:02:39.800 --> 00:02:44.560]  上帝賜福給忍受生命考驗和試探的人
[00:02:44.560 --> 00:02:47.680]  他們之後就會得到生命的冠冕
[00:02:47.680 --> 00:02:50.960]  這是上帝給那些愛他之人的應許
[00:02:50.960 --> 00:02:54.400]  聖經提到有兩種不同的試驗
[00:02:54.400 --> 00:02:56.680]  聖經提到有兩種不同的試驗
[00:02:56.680 --> 00:02:59.240]  一種叫試煉
[00:02:59.240 --> 00:03:02.080]  一種叫試探或者翻譯成誘惑
[00:03:02.080 --> 00:03:03.320]  一種叫試煉
[00:03:03.320 --> 00:03:06.360]  另外一種叫試探或者是翻譯成誘惑
[00:03:06.360 --> 00:03:08.680]  但是在希臘文裏面是同一個字
[00:03:08.680 --> 00:03:11.080]  但是在希臘文裏面是同一個字
[00:03:11.080 --> 00:03:14.200]  兩個詞都是同一個希臘文表達
[00:03:14.200 --> 00:03:16.400]  兩個字都是同一個希臘文去表達
[00:03:16.400 --> 00:03:18.040]  有時翻譯成試煉
[00:03:18.040 --> 00:03:19.280]  有的時候翻譯成試煉
[00:03:19.280 --> 00:03:20.960]  有時翻譯成試探
[00:03:20.960 --> 00:03:22.120]  有的時候翻譯成試探
[00:03:22.120 --> 00:03:24.120]  我們怎樣去區別兩者的不同呢?
[00:03:24.120 --> 00:03:25.960]  我們怎樣去區別兩者呢?
[00:03:25.960 --> 00:03:28.680]  原來試煉是一種考驗
[00:03:28.680 --> 00:03:30.680]  原來試煉是一種考驗
[00:03:30.680 --> 00:03:34.160]  要發掘人性那種道德的美善
[00:03:34.160 --> 00:03:37.040]  要發掘人性那種道德美善
[00:03:37.040 --> 00:03:41.200]  但是試探卻是慫恿人去犯罪和墮落
