
[00:00:00.000 --> 00:00:02.920]  不知道大家是否喜歡聽演唱會?
[00:00:02.920 --> 00:00:05.400]  有沒有去搶過演唱會的票?
[00:00:05.400 --> 00:00:07.080]  我不知道你喜歡甚麼歌星
[00:00:07.080 --> 00:00:10.840]  張學友、劉德華還是梅艷芳
[00:00:10.840 --> 00:00:12.280]  我想問一下大家
[00:00:12.280 --> 00:00:15.400]  如果你有買過演唱會的票
[00:00:15.400 --> 00:00:16.720]  我相信你都同意的就是
[00:00:16.720 --> 00:00:18.360]  演唱會的票很貴
[00:00:18.360 --> 00:00:19.480]  不單止貴
[00:00:19.480 --> 00:00:22.360]  有時候在未有網購的年代
[00:00:22.360 --> 00:00:24.720]  我們還要排很長的隊伍
[00:00:24.720 --> 00:00:26.520]  有沒有這樣的印象?
[00:00:26.520 --> 00:00:28.120]  如果你不想排隊怎麼辦?
[00:00:28.120 --> 00:00:29.240]  不想排隊都可以
[00:00:29.240 --> 00:00:31.160]  你就買黃牛票
[00:00:31.160 --> 00:00:32.400]  說到黃牛票
[00:00:32.400 --> 00:00:35.400]  大家知不知道香港有哪個歌星
[00:00:35.400 --> 00:00:39.640]  他有一個紀錄是最高最高的黃牛票?
[00:00:39.640 --> 00:00:41.680]  你猜猜是誰?
[00:00:41.680 --> 00:00:43.000]  我上網查過
[00:00:43.000 --> 00:00:44.800]  是謝霆鋒
[00:00:44.800 --> 00:00:46.760]  那你知不知道謝霆鋒
[00:00:46.760 --> 00:00:51.360]  他最貴的那張黃牛票多少錢?
[00:00:51.360 --> 00:00:56.280]  原本應該是1200的門票
[00:00:56.280 --> 00:00:59.760]  在黃牛檔查到20萬
[00:00:59.760 --> 00:01:00.560]  20萬
[00:01:00.560 --> 00:01:02.280]  我看到都覺得好像你一樣
[00:01:02.280 --> 00:01:04.480]  有沒有搞錯?
[00:01:04.480 --> 00:01:07.560]  是不是有黃票賣給他做生日禮物?
[00:01:07.560 --> 00:01:10.200]  我想大家想一想
[00:01:10.200 --> 00:01:11.280]  如果某一些原因
[00:01:11.280 --> 00:01:12.280]  我不知道是什麼原因
[00:01:12.280 --> 00:01:13.600]  原來他認識你的
[00:01:13.600 --> 00:01:16.320]  他謝霆鋒簽了一個靚名
[00:01:16.320 --> 00:01:19.800]  給你免費的演唱會門票
[00:01:19.800 --> 00:01:22.360]  開心到不得了
[00:01:22.360 --> 00:01:23.720]  到了演唱會那天
