
[00:00:00.000 --> 00:00:05.000]  感謝上帝讓我們看見精彩的下一代
[00:00:05.000 --> 00:00:11.000]  手牽手用一個很簡單的字詞"家庭樂"
[00:00:11.000 --> 00:00:17.000]  詩兵128篇裏面充滿着每一句肯定的說話
[00:00:17.000 --> 00:00:23.000]  上帝三次說到"康夏驚威夜禍華"的人必然蒙福
[00:00:23.000 --> 00:00:26.000]  今天我想和弟兄姐妹一起讀這六節的經文
[00:00:26.000 --> 00:00:31.000]  讓信心的眼睛 讓我們的屬靈的眼鏡戴上來
[00:00:31.000 --> 00:00:36.000]  看見並相信 領受並激勵上帝的話語真誠
[00:00:36.000 --> 00:00:38.000]  Amen 我們一起讀
[00:00:38.000 --> 00:00:42.000]  詩兵128篇 由第一節我們讀到第六節
[00:00:42.000 --> 00:00:43.000]  丁姐妹請讀
[00:00:43.000 --> 00:00:48.000]  範經威夜禍華 遵行他道的人便爲有福
[00:00:48.000 --> 00:00:54.000]  你要喫牢碌得來的 你要享福 事情順利
[00:00:54.000 --> 00:00:59.000]  你妻子在你的內室 好像多結果子的葡萄樹
[00:00:59.000 --> 00:01:05.000]  你兒子女兒圍繞你的桌子 好像橄欖栽子
[00:01:05.000 --> 00:01:10.000]  看那 驚威夜禍華的人必要這樣蒙福
[00:01:10.000 --> 00:01:13.000]  願夜禍華從石安似福給你
[00:01:13.000 --> 00:01:17.000]  願你一生一世看見耶路撒冷的好處
[00:01:17.000 --> 00:01:24.000]  願你看見你兒女的兒女 願平安歸於以色列
[00:01:24.000 --> 00:01:29.000]  神從一個敬畏的人當中 他說他賜福給他
[00:01:29.000 --> 00:01:33.000]  神在我們生命裏面願意用家庭作爲一個單位
[00:01:33.000 --> 00:01:37.000]  我再說 你和我的家庭組合不相同
[00:01:37.000 --> 00:01:40.000]  有人家裏就是四大長老 兩大護法
[00:01:40.000 --> 00:01:46.000]  三大公主 四個王子 然後十個隨從 加一隻狗
[00:01:46.000 --> 00:01:49.000]  可能你的家庭組合並不是這樣
[00:01:49.000 --> 00:01:51.000]  我們很簡單的
[00:01:51.000 --> 00:01:53.000]  但無論家庭組合如何
[00:01:53.000 --> 00:01:58.000]  我們有沒有肉身沙下來的兒女 或者侄兒侄女都好
[00:01:58.000 --> 00:02:03.000]  但是神給我們的生命 可以成爲多人的祝福
[00:02:03.000 --> 00:02:09.000]  甚至我們的生命可以感染 並且能夠有屬靈的下一代
[00:02:09.000 --> 00:02:11.000]  這是何等大的福氣
[00:02:11.000 --> 00:02:15.000]  神願意賜福給每一個家庭
[00:02:15.000 --> 00:02:17.000]  他賜什麼福呢
[00:02:17.000 --> 00:02:21.000]  今天不是在解經講道的時候 是在解庭聯合崇拜的時候
[00:02:21.000 --> 00:02:25.000]  所以比較多一點 我們分享我們家庭生活的樂趣 好嗎
[00:02:25.000 --> 00:02:30.000]  第一樣東西 我們講到 手牽手 尊主道
[00:02:30.000 --> 00:02:36.000]  手牽手一個家庭 屬神的兒女們喜歡尊行主道
[00:02:36.000 --> 00:02:41.000]  第一個福 他說範經威說尊行主道的人是有福的
[00:02:41.000 --> 00:02:47.000]  第二個你們知不知道 能夠有道可行 有路可循
[00:02:47.000 --> 00:02:50.000]  是一份很大的福氣
[00:02:50.000 --> 00:02:56.000]  現代人很大地講到創意 現代人很大地講到自由
[00:02:56.000 --> 00:03:00.000]  但是原來當我們人生一路有閱歷 慢慢體驗
[00:03:00.000 --> 00:03:04.000]  我很想有的是知道哪一條是正路
[00:03:04.000 --> 00:03:09.000]  能夠有正路可遵循 能夠有道路可行
[00:03:09.000 --> 00:03:11.000]  那麼寶貴的是什麼
[00:03:11.000 --> 00:03:14.000]  就是救恩使我們這羣罪人能夠脫離罪惡
[00:03:14.000 --> 00:03:18.000]  能夠從很多罪性的裏面得拯救得釋放
[00:03:18.000 --> 00:03:21.000]  以至我們那條路是寬廣的
[00:03:21.000 --> 00:03:23.000]  神的道是自由可行
[00:03:23.000 --> 00:03:28.000]  因爲神的道是使我們得以自由
[00:03:28.000 --> 00:03:30.000]  The Message這個譯本 它說
[00:03:30.000 --> 00:03:39.000]  How happy you walk on this smooth, straight road
[00:03:39.000 --> 00:03:43.000]  一條直路 一條順的路
[00:03:43.000 --> 00:03:48.000]  是留給敬畏神 以神爲先 以神爲大
[00:03:48.000 --> 00:03:53.000]  將生命擺在並且遵從的一羣人的生命裏面
[00:03:53.000 --> 00:03:59.000]  傳統書裏面講到人生那種不安性 或者不可預指成
[00:03:59.000 --> 00:04:03.000]  我很喜歡講 可能你們會說 又講
[00:04:03.000 --> 00:04:08.000]  傳統書第三章 不斷告訴我們生命那種不知
[00:04:08.000 --> 00:04:12.000]  對罪有時 散開也有時
[00:04:12.000 --> 00:04:17.000]  懷抱有時 不懷抱也有時 生有時死有時
[00:04:17.000 --> 00:04:20.000]  很多不可預知 但它對我們提醒
[00:04:20.000 --> 00:04:22.000]  我們要敬畏神
[00:04:22.000 --> 00:04:25.000]  它說 我知道世人莫強於終身起落恆善
[00:04:25.000 --> 00:04:31.000]  並且人人喫喝 再勞碌中享福 這是神的恩詞
[00:04:31.000 --> 00:04:37.000]  在創世紀第三章 在人犯罪的時候被咒咒
[00:04:37.000 --> 00:04:44.000]  所以神向着男人說 你要勞碌 汗流漿沸 汗流滿面
[00:04:44.000 --> 00:04:46.000]  然後纔得到飽食
[00:04:46.000 --> 00:04:50.000]  男人是否覺得 哎呀 不怪子
[00:04:50.000 --> 00:04:52.000]  接着你看着女人 都是你不對 是吧
[00:04:52.000 --> 00:04:56.000]  是啊 她先喫禁果 所以她也會受苦
[00:04:56.000 --> 00:05:01.000]  但是這裏說 是啊 是勞碌 不過勞碌中可以享福
[00:05:01.000 --> 00:05:07.000]  多少人賺到無數的錢 纔不過享不到
[00:05:07.000 --> 00:05:10.000]  但寶貴的就是 你勞碌中能夠得到的東西
[00:05:10.000 --> 00:05:16.000]  就算只是一碗飯 一碗麪 一條彩
[00:05:16.000 --> 00:05:20.000]  但是能夠享福 這個纔是大福氣
[00:05:20.000 --> 00:05:24.000]  有勞可循 這是神的恩典
[00:05:24.000 --> 00:05:26.000]  我在今天說家庭
