
[00:00:00.000 --> 00:00:03.080]  繼續講耶華名字的系列
[00:00:03.080 --> 00:00:05.080]  從零開始到主庚前
[00:00:05.080 --> 00:00:08.480]  我們要認識我們親近的那位主
[00:00:08.480 --> 00:00:09.920]  是一位怎樣的主
[00:00:09.920 --> 00:00:12.080]  今天跟大家講一篇經文
[00:00:12.080 --> 00:00:14.280]  是很熟悉的詩篇23篇
[00:00:14.280 --> 00:00:18.160]  這篇經文我在09年6月的時候
[00:00:18.160 --> 00:00:21.200]  曾經在周六早堂崇拜講過
[00:00:21.200 --> 00:00:23.040]  因為那時候是培靈崇拜
[00:00:23.040 --> 00:00:26.160]  專登為頂姐妹預備詩篇的系列
[00:00:26.160 --> 00:00:30.360]  但我沒有在晚堂、早堂、中堂、午堂講過
[00:00:30.360 --> 00:00:32.200]  但是講耶華的名字
[00:00:32.200 --> 00:00:34.200]  原來詩篇23篇
[00:00:34.200 --> 00:00:36.200]  「耶華是我的牧者」
[00:00:36.200 --> 00:00:39.520]  它原本的文字是「耶和華路義」
[00:00:39.520 --> 00:00:42.320]  其實就是上主牧養我的意思
[00:00:42.320 --> 00:00:47.240]  這個牧養是講上帝在私人生活不同的範疇
[00:00:47.240 --> 00:00:49.600]  祂發現上帝照顧祂
[00:00:49.600 --> 00:00:52.000]  好像一個牧羊人一樣牧養祂
[00:00:52.000 --> 00:00:52.840]  所以祂這樣講
[00:00:52.840 --> 00:00:55.840]  今天很想跟頂姐妹來到這裡分享
[00:00:56.840 --> 00:00:59.560]  不知道頂姐妹你對你的人生
[00:00:59.560 --> 00:01:02.560]  是否也感到滿足呢?
[00:01:02.560 --> 00:01:07.120]  詩篇23篇的作者
[00:01:07.120 --> 00:01:08.680]  他說「耶華是我的牧者」
[00:01:08.680 --> 00:01:10.680]  「我必不自缺乏」
[00:01:10.680 --> 00:01:14.000]  是全篇詩篇的標題
[00:01:14.000 --> 00:01:16.960]  它為甚麼講得出我不缺乏呢?
[00:01:16.960 --> 00:01:18.960]  我的人生是滿足的
[00:01:18.960 --> 00:01:21.440]  但坊間有很多人說
[00:01:21.440 --> 00:01:23.840]  面對人生在世上
[00:01:23.840 --> 00:01:29.040]  其實有數不盡、甜不滿的慾望和理想
[00:01:29.040 --> 00:01:32.560]  有很多人有了金錢、名譽、地位之後
[00:01:32.560 --> 00:01:34.680]  都不覺得是滿足的
[00:01:34.680 --> 00:01:39.960]  甚至內心很多時候都會感到空虛、失落
[00:01:39.960 --> 00:01:42.840]  偉大的科學家愛因斯坦曾經這樣說
[00:01:42.840 --> 00:01:45.960]  他說「全世界都認識我」
[00:01:45.960 --> 00:01:48.480]  但他說「我是何等的孤單」
[00:01:48.480 --> 00:01:49.840]  今天我們都認識他
[00:01:49.840 --> 00:01:52.560]  他沒有想過往後的人都認識他
[00:01:52.560 --> 00:01:54.000]  但原來在他的世代
