
[00:00:00.000 --> 00:00:03.800]  詩篇四立篇是大衛的經歷
[00:00:03.800 --> 00:00:05.600]  在大衛的人生當中
[00:00:05.600 --> 00:00:09.000]  他經歷過不少的艱難
[00:00:09.000 --> 00:00:12.400]  所以當他經歷了這些艱難的時候
[00:00:12.400 --> 00:00:13.800]  去求神幫助
[00:00:13.800 --> 00:00:16.000]  又經歷神給他的拯救
[00:00:16.000 --> 00:00:18.600]  所以這首詩篇是他其中一個
[00:00:18.600 --> 00:00:20.600]  向神獻上的詩歌
[00:00:20.600 --> 00:00:24.200]  第一段是在說大衛向神的感恩
[00:00:24.200 --> 00:00:25.600]  一到五節
[00:00:25.600 --> 00:00:27.600]  然後第二段在六到十一節
[00:00:27.600 --> 00:00:31.800]  是大衛說到他和神之間的一個關係
[00:00:31.800 --> 00:00:34.200]  這個關係我相信也是值得我們每一位基督徒
[00:00:34.200 --> 00:00:38.200]  來反思到底我們和神的關係
[00:00:38.200 --> 00:00:42.400]  會不會可以好像大衛和神的關係一樣
[00:00:42.400 --> 00:00:44.200]  大衛和神的關係有兩方面
[00:00:44.200 --> 00:00:47.000]  第一個就是大衛很明白神的心意
[00:00:47.000 --> 00:00:52.000]  然後大衛很樂意進行神的旨意
[00:00:52.000 --> 00:00:55.800]  待會我們會再讀這段經文的六到八節的時候
[00:00:55.800 --> 00:00:57.400]  我們就會看得更多
[00:00:57.400 --> 00:01:00.800]  這是大衛他自己和神之間的關係
[00:01:00.800 --> 00:01:03.800]  其實也是我盼望每一位弟兄姊妹
[00:01:03.800 --> 00:01:06.800]  你和神之間的關係也可以是這樣
[00:01:06.800 --> 00:01:11.000]  你和神的關係可能有很多不同的形式或者形容
[00:01:11.000 --> 00:01:14.400]  但至少如果你可以從大衛這首詩篇學習
[00:01:14.400 --> 00:01:17.000]  你可以想想你和神的關係
[00:01:17.000 --> 00:01:20.200]  是不是你可以明白到神的心意
[00:01:20.200 --> 00:01:24.200]  又能夠樂意進行神的旨意
[00:01:24.200 --> 00:01:26.600]  第三部分在這首詩篇是說到
[00:01:26.600 --> 00:01:29.200]  大衛求助的一個祈禱
[00:01:29.200 --> 00:01:32.800]  然後他又見證神怎樣幫助到他
[00:01:32.800 --> 00:01:39.000]  這是大衛在最後的時候的禱告和見證
[00:01:39.000 --> 00:01:44.000]  所以今天我會主要和大家來看大衛和神之間的關係
[00:01:44.000 --> 00:01:46.600]  大衛明白神的心意是什麼呢?
[00:01:46.600 --> 00:01:48.200]  在第六節裡面一開始就說到
[00:01:48.200 --> 00:01:52.400]  「濟物和禮物理不喜悅」
[00:01:52.400 --> 00:01:55.600]  大衛知道神不會滿足於人
[00:01:55.600 --> 00:02:00.200]  或者是大衛所獻的這些濟物和禮物
[00:02:00.200 --> 00:02:03.200]  這個不是能夠討神喜悅
[00:02:03.200 --> 00:02:09.200]  其實大衛我相信他透過不同所認識、所聽到的
[00:02:09.200 --> 00:02:11.800]  來學習明白神的心意
[00:02:11.800 --> 00:02:16.600]  其中一個我相信是在撒姆爾和蘇羅之間發生的事情
[00:02:16.600 --> 00:02:20.800]  撒姆爾很清楚地責備蘇羅說道
[00:02:20.800 --> 00:02:27.000]  「聽命聖於獻祭,順從聖於供養的自由」
[00:02:27.000 --> 00:02:32.600]  這是撒姆爾在當中和蘇羅說的話
[00:02:32.600 --> 00:02:34.400]  所以大衛很明白
[00:02:34.400 --> 00:02:38.800]  他不是用他的濟物、禮物來討神喜悅
[00:02:38.800 --> 00:02:42.600]  他知道這些都不是神悅了
[00:02:42.600 --> 00:02:49.200]  他知道最重要是他願意來遵行聽從神的話
[00:02:49.200 --> 00:02:52.800]  這裡有一個提到「你已經開通我的耳朵」
[00:02:52.800 --> 00:02:56.200]  又提到「看吶,我來了」
[00:02:56.200 --> 00:03:01.000]  還有提到大衛說到他自己樂意遵行神的旨意而行
[00:03:01.000 --> 00:03:04.000]  他的律法在他心裡面
[00:03:04.000 --> 00:03:07.000]  在這個階段是不是大衛曾經經歷過一些疾病
[00:03:07.000 --> 00:03:09.800]  以致他的耳朵塞了不通呢?
[00:03:09.800 --> 00:03:12.600]  所以當他要通回他的耳朵的時候
[00:03:12.600 --> 00:03:15.000]  他又有一個新的境界
[00:03:15.000 --> 00:03:18.400]  可以更加聽到神的命令
[00:03:18.400 --> 00:03:23.400]  我相信這個在我們的生活、人生經歷都很明白
[00:03:23.400 --> 00:03:25.400]  其實未必是
[00:03:25.400 --> 00:03:27.800]  我們相信人很多時候
[00:03:27.800 --> 00:03:32.800]  只不過是自己進入一個不想聽的狀態
[00:03:32.800 --> 00:03:37.600]  這個可能是我們人生裡大部分人都經歷過
[00:03:37.600 --> 00:03:42.600]  特別是你自己當小朋友的時候
[00:03:42.600 --> 00:03:44.600]  你聽父母的說話
[00:03:44.600 --> 00:03:46.400]  聽老師的說話
[00:03:46.400 --> 00:03:48.400]  或者今天你做父母了
[00:03:48.400 --> 00:03:50.800]  你又教你的小朋友的時候
[00:03:50.800 --> 00:03:53.000]  小朋友怎樣回應你
[00:03:53.000 --> 00:03:56.000]  甚至可能是你在辦公的狀況的時候
[00:03:56.000 --> 00:03:58.400]  你跟同事或者跟你的老闆
[00:03:58.400 --> 00:04:01.000]  就是下屬一起聊的時候
[00:04:01.000 --> 00:04:03.000]  有時候你會被人罵
[00:04:03.000 --> 00:04:05.800]  就是你罵人
[00:04:05.800 --> 00:04:08.600]  說完你都聽不到什麼
[00:04:08.600 --> 00:04:10.600]  就會說你是不是左耳進
[00:04:10.600 --> 00:04:12.400]  然後右耳出
[00:04:12.400 --> 00:04:16.200]  有時候會說你是不是借了聾耳診的耳
[00:04:16.200 --> 00:04:18.800]  明明他可能身體狀況很好
[00:04:18.800 --> 00:04:19.800]  沒什麼病痛
[00:04:19.800 --> 00:04:22.200]  耳朵聽得很正常
[00:04:22.200 --> 00:04:27.400]  但我們就會知道有些人就是他們故意不聽
[00:04:27.400 --> 00:04:29.800]  其實在以塞雅先知的時候
[00:04:29.800 --> 00:04:32.800]  他曾經來到神透過以塞雅
[00:04:32.800 --> 00:04:35.800]  去傳講到提醒這班以色列人
[00:04:35.800 --> 00:04:37.800]  他們怎樣在一個狀態就是
[00:04:37.800 --> 00:04:39.400]  他們要被提醒
[00:04:39.400 --> 00:04:41.400]  他們的耳朵要開通
[00:04:41.400 --> 00:04:44.200]  以至他們想受教就一樣
[00:04:44.200 --> 00:04:45.800]  人願不願意受教
[00:04:45.800 --> 00:04:48.000]  人願不願意聽神的話
[00:04:48.000 --> 00:04:50.200]  就好像大衛他自己的經歷
[00:04:50.200 --> 00:04:53.000]  他很知道他是神幫助
[00:04:53.000 --> 00:04:57.000]  讓他能夠知道怎樣去明白神的心意
[00:04:57.000 --> 00:05:00.000]  同樣明白就是要信服
[00:05:00.000 --> 00:05:02.000]  遵行神的心意
[00:05:02.000 --> 00:05:03.600]  所以無論是開通耳朵
[00:05:03.600 --> 00:05:07.000]  是代表著大衛他自己很願意聽從
[00:05:07.000 --> 00:05:08.200]  信服
[00:05:08.200 --> 00:05:10.600]  然後講到漢那我來了
[00:05:10.600 --> 00:05:13.000]  大衛自己一個在神面前
[00:05:13.000 --> 00:05:15.400]  願意隨時準備好
[00:05:15.400 --> 00:05:18.600]  漢那我來了其實是大衛在神對神講的
[00:05:18.600 --> 00:05:20.200]  神那我在這裡
[00:05:20.200 --> 00:05:21.600]  我隨時聽從
[00:05:21.600 --> 00:05:23.400]  只要你吩咐我就去
[00:05:23.400 --> 00:05:24.800]  是這樣的意思
[00:05:24.800 --> 00:05:27.600]  然後其實樂意照他的旨意行
[00:05:27.600 --> 00:05:29.800]  就是很清楚告訴神
[00:05:29.800 --> 00:05:31.000]  神那我願意
[00:05:31.000 --> 00:05:33.000]  我很樂意來到去按照
[00:05:33.000 --> 00:05:34.000]  明白你的心意之後
[00:05:34.000 --> 00:05:35.800]  我就跟著你的教導
[00:05:35.800 --> 00:05:38.200]  我就去做
[00:05:38.200 --> 00:05:40.200]  為什麼大衛可以明白神的心意
