
[00:00:00.000 --> 00:00:06.000]  今天跟大家講的題目是「預備深田 救土翻新」
[00:00:06.000 --> 00:00:09.000]  昨天有一群弟兄姊妹來我家
[00:00:09.000 --> 00:00:11.000]  因為我家附近有一個Stay Park
[00:00:11.000 --> 00:00:12.000]  我帶他們去行山
[00:00:12.000 --> 00:00:14.000]  但是有一群弟兄姊妹來到
[00:00:14.000 --> 00:00:16.000]  「穆斯桑被人趕到的時候」
[00:00:16.000 --> 00:00:18.000]  「你已經有一棵樹給我看看」
[00:00:18.000 --> 00:00:20.000]  「一棵樹?在哪裏?」
[00:00:20.000 --> 00:00:22.000]  「在後院」
[00:00:22.000 --> 00:00:24.000]  這棵樹我進去已經在那裏
[00:00:24.000 --> 00:00:26.000]  不過穆斯桑不是很大
[00:00:26.000 --> 00:00:29.000]  在我腳臂那裏
[00:00:29.000 --> 00:00:32.000]  這棵樹是感謝主的
[00:00:32.000 --> 00:00:34.000]  因為每年都會結果
[00:00:34.000 --> 00:00:35.000]  是橙樹
[00:00:35.000 --> 00:00:37.000]  但是結果不多
[00:00:37.000 --> 00:00:38.000]  大概十個八個
[00:00:38.000 --> 00:00:40.000]  從來沒有超過十個
[00:00:40.000 --> 00:00:42.000]  而且有點酸
[00:00:42.000 --> 00:00:45.000]  我想跟弟兄姊妹去我家種橙樹
[00:00:45.000 --> 00:00:48.000]  那些情況很不一樣
[00:00:48.000 --> 00:00:52.000]  這張照片是一個Overview
[00:00:52.000 --> 00:00:54.000]  但是如果我們看深一點
[00:00:54.000 --> 00:00:55.000]  下一張照片的時候
[00:00:55.000 --> 00:00:59.000]  可以看到樹幹有點脫皮
[00:00:59.000 --> 00:01:03.000]  大家看不清楚那些泥土
[00:01:03.000 --> 00:01:04.000]  下一張會清楚一點
[00:01:04.000 --> 00:01:07.000]  下一張照片看到石仔地
[00:01:07.000 --> 00:01:10.000]  鋪滿了我們的樹葉
[00:01:10.000 --> 00:01:13.000]  旁邊還有一些雜草
[00:01:13.000 --> 00:01:15.000]  坦白說這棵樹
[00:01:15.000 --> 00:01:18.000]  我在那裏已經住了二十多年
[00:01:18.000 --> 00:01:20.000]  我很少施肥
[00:01:20.000 --> 00:01:21.000]  二十多年
[00:01:21.000 --> 00:01:23.000]  我剛搬進去的時候
[00:01:23.000 --> 00:01:25.000]  有兩次殺蟲
[00:01:25.000 --> 00:01:26.000]  施肥
[00:01:26.000 --> 00:01:29.000]  大概兩三天才會淋水一次
[00:01:29.000 --> 00:01:31.000]  又沒有去修剪
[00:01:31.000 --> 00:01:33.000]  除了長得很丫頭
[00:01:33.000 --> 00:01:35.000]  妨礙我的景色之外
[00:01:35.000 --> 00:01:37.000]  我就不會動了
[00:01:37.000 --> 00:01:39.000]  所以說回來
[00:01:39.000 --> 00:01:41.000]  每年有幾個橙吃
[00:01:41.000 --> 00:01:42.000]  我已經很開心了
[00:01:42.000 --> 00:01:43.000]  覺得算是這樣了
[00:01:43.000 --> 00:01:45.000]  我什麼都沒有做
[00:01:45.000 --> 00:01:47.000]  不用這麼內疚
[00:01:47.000 --> 00:01:52.000]  不知道我們信耶穌來的人
[00:01:52.000 --> 00:01:54.000]  我不知道信耶穌多久了
[00:01:54.000 --> 00:01:56.000]  當信耶穌來之後
[00:01:56.000 --> 00:02:01.000]  不知道我們怎樣看自己的屬靈生命呢
