
[00:00:00.000 --> 00:00:04.840]  今早我們在復活節早晨的時候
[00:00:04.840 --> 00:00:07.080]  我和大家分享一個題目
[00:00:07.080 --> 00:00:10.900]  這個就是基督復活的真諦
[00:00:10.900 --> 00:00:13.620]  在哥倫多前書第十五章
[00:00:13.620 --> 00:00:15.500]  三到七節,十四到十五節
[00:00:15.500 --> 00:00:18.480]  我們可否一起讀讀這幾節的經文
[00:00:18.480 --> 00:00:22.780]  來做一次宣告上帝的話語的真實
[00:00:22.780 --> 00:00:25.080]  請大家同聲讀出,請讀
[00:00:25.080 --> 00:00:29.060]  我當日所領受又傳給你們的
[00:00:29.060 --> 00:00:33.080]  第一就是基督照聖經所說
[00:00:33.080 --> 00:00:35.500]  為我們的罪死了
[00:00:35.500 --> 00:00:37.500]  而且埋葬了
[00:00:37.500 --> 00:00:39.840]  又照聖經所說
[00:00:39.840 --> 00:00:42.440]  第三天復活了
[00:00:42.440 --> 00:00:46.860]  並且顯給基發汗
[00:00:46.860 --> 00:00:50.300]  然後顯給十二仕徒汗
[00:00:50.300 --> 00:00:54.440]  後來一時顯給五百多弟兄汗
[00:00:54.440 --> 00:00:57.880]  其中一大半到如今還在
[00:00:57.880 --> 00:01:01.280]  卻也有已經睡了的
[00:01:01.280 --> 00:01:03.820]  以後顯給雅各汗
[00:01:03.820 --> 00:01:07.040]  再顯給眾仕徒汗
[00:01:07.040 --> 00:01:08.400]  十四節請讀
[00:01:08.400 --> 00:01:10.560]  若基督沒有復活
[00:01:10.560 --> 00:01:14.200]  我們所傳的便是謊言
[00:01:14.200 --> 00:01:17.940]  你們所信的也是謊言
[00:01:17.940 --> 00:01:23.580]  並且明顯我們是為上帝妄作見證的
[00:01:23.580 --> 00:01:28.460]  因我們見證上帝自叫基督復活了
[00:01:28.460 --> 00:01:31.420]  若死人真不復活
[00:01:31.420 --> 00:01:38.080]  上帝也就沒有叫基督復活了
[00:01:38.080 --> 00:01:40.440]  我們在這裡看見一個很寶貴的
[00:01:40.440 --> 00:01:44.620]  聖經給我們的宣告
[00:01:44.620 --> 00:01:48.740]  我們看到基督受死
[00:01:48.740 --> 00:01:50.920]  為我們的罪而死
[00:01:50.920 --> 00:01:51.940]  埋葬了
[00:01:51.940 --> 00:01:54.340]  但是又照著聖經所說
[00:01:54.340 --> 00:01:55.980]  即是神的預計
[00:01:55.980 --> 00:01:57.220]  神的計劃
[00:01:57.220 --> 00:01:58.320]  神的預旨
[00:01:58.320 --> 00:02:00.160]  神救恩的完成
[00:02:00.160 --> 00:02:01.860]  第三天復活了
[00:02:01.860 --> 00:02:06.020]  所以當時他就顯現給仕徒汗不同的弟兄
[00:02:06.020 --> 00:02:08.380]  五百多個人之間
[00:02:08.380 --> 00:02:10.180]  特別說到其中一大半
[00:02:10.180 --> 00:02:13.660]  是當時幫保羅寫哥倫多前書的時候
[00:02:13.660 --> 00:02:16.580]  還存在的
[00:02:16.580 --> 00:02:17.380]  我們感謝神
[00:02:17.380 --> 00:02:19.180]  更加下去的時候告訴我們
[00:02:19.180 --> 00:02:21.220]  不單止基督復活
[00:02:21.220 --> 00:02:23.660]  基督復活帶來的應許
[00:02:23.660 --> 00:02:27.420]  就是叫我們將來在基督裡面的人都要復活
[00:02:27.420 --> 00:02:30.000]  這個就是那麼重要的
[00:02:30.000 --> 00:02:32.540]  是和我們有關的事實
[00:02:32.540 --> 00:02:34.940]  所以不單止耶穌祂自己復活
[00:02:34.940 --> 00:02:36.820]  祂是將這個救恩賜給我們
[00:02:36.820 --> 00:02:38.860]  將這個復活的生命賜給我們
[00:02:38.860 --> 00:02:42.740]  告訴我們將來死人也要復活
[00:02:42.740 --> 00:02:44.660]  意思就是說所有在基督裡面
[00:02:44.660 --> 00:02:46.620]  垂了的人都要復活的
[00:02:46.620 --> 00:02:49.460]  因為耶穌基督已經是帶頭
[00:02:49.460 --> 00:02:51.700]  已經成為這個初熟的果子
[00:02:51.700 --> 00:02:53.700]  然後將這個復活的救恩
[00:02:53.700 --> 00:02:58.620]  永生真實的生命賜給所有信靠祂的人
[00:02:58.620 --> 00:03:03.540]  這個就是復活節我們要來慶祝的原因
[00:03:03.540 --> 00:03:05.740]  基督不單止替我們死
[00:03:05.740 --> 00:03:08.940]  也替我們從死裡面復活
[00:03:08.940 --> 00:03:12.820]  這個正是我們基督教信仰的核心
[00:03:12.820 --> 00:03:15.020]  如果基督不是從死裡面復活
[00:03:15.020 --> 00:03:17.140]  我們的信仰就落空了
[00:03:17.140 --> 00:03:18.700]  我們所信的就枉然了
[00:03:18.700 --> 00:03:21.940]  好像保羅很清楚地來解釋
[00:03:21.940 --> 00:03:24.660]  但相反正因為耶穌基督
[00:03:24.660 --> 00:03:28.900]  祂真的從死裡面第三天復活了
[00:03:28.900 --> 00:03:30.740]  所以我們就知道我們的信仰
[00:03:30.740 --> 00:03:34.060]  就是人類最大最大的喜訊
[00:03:34.060 --> 00:03:37.740]  就是這個世界唯一的出路
[00:03:37.740 --> 00:03:42.980]  是所有人類都需要的救恩
[00:03:42.980 --> 00:03:45.380]  特別今天在人心惶惶
[00:03:45.380 --> 00:03:49.100]  到處充滿著疾病、死亡、威脅的時候
[00:03:49.100 --> 00:03:51.940]  更加顯出祂的重要性
[00:03:51.940 --> 00:03:56.420]  更加顯出我們需要神的幫助
[00:03:56.420 --> 00:03:59.540]  需要神的永生的重要性
[00:03:59.540 --> 00:04:01.420]  因為主幫助我們
[00:04:01.420 --> 00:04:03.740]  勝過了死亡的權勢
[00:04:03.740 --> 00:04:07.940]  祂是賜生命平安的真神
[00:04:07.940 --> 00:04:09.100]  所以今天在復活節的時候
[00:04:09.100 --> 00:04:11.500]  跟大家分享這個題目
[00:04:11.500 --> 00:04:15.940]  基督復活的真諦
[00:04:15.940 --> 00:04:18.060]  主要是有三方面
[00:04:18.060 --> 00:04:21.300]  我跟大家一同來彼此勉勵
[00:04:21.300 --> 00:04:22.460]  一同思想
[00:04:22.460 --> 00:04:24.980]  第一,我們要看的就是
[00:04:24.980 --> 00:04:29.540]  基督復活的真實性
[00:04:29.540 --> 00:04:31.100]  基督復活的真實
[00:04:31.100 --> 00:04:33.180]  是有確有據的
[00:04:33.180 --> 00:04:34.940]  第二,我們一會兒來看看
[00:04:34.940 --> 00:04:38.700]  基督復活的真理
[00:04:38.700 --> 00:04:42.340]  究竟為什麼耶穌基督復活
[00:04:42.340 --> 00:04:45.020]  在聖經裡面這麼重要的一個真理呢?
[00:04:45.020 --> 00:04:48.100]  我們很簡單歸納兩點來思想一下
[00:04:48.100 --> 00:04:50.980]  原來在我們整個信仰
