
[00:00:00.000 --> 00:00:02.520]  培育門徒與主親密
[00:00:02.520 --> 00:00:08.520]  是我們今年2018年教會年庭史寅得見門徒的第一季的季題
[00:00:08.520 --> 00:00:12.440]  我們這個季題很希望讓我們看見
[00:00:12.440 --> 00:00:17.840]  其實做門徒不是單單是一個課程或學習
[00:00:17.840 --> 00:00:22.560]  而是我們一生一世與主有一個親密的關係
[00:00:22.560 --> 00:00:27.440]  這個提醒是有一位曾金發牧師給我的
[00:00:27.440 --> 00:00:30.920]  曾牧師其實是在新加坡神學院畢業
[00:00:30.920 --> 00:00:35.320]  他帶領教會由17人變成4千人
[00:00:35.320 --> 00:00:37.600]  後來他沒有再做教會主任牧師
[00:00:37.600 --> 00:00:41.040]  成為了教會的領袖導師
[00:00:41.040 --> 00:00:45.840]  他創辦了一個叫創意門訓教會全球聯盟
[00:00:45.840 --> 00:00:53.800]  就周遊列國將訓練門徒的理念去不同國家宣講
[00:00:53.800 --> 00:00:57.000]  他亦是一位很受歡迎的講員
[00:00:57.000 --> 00:01:00.840]  要邀請他講道要三至五年前邀請
[00:01:00.840 --> 00:01:02.520]  而我們香港很感恩
[00:01:02.520 --> 00:01:05.680]  在上年培練經大會2017年
[00:01:05.680 --> 00:01:08.040]  他是訓興會的講員
[00:01:08.040 --> 00:01:14.200]  上年他亦在播道一福堂舉行了一個叫做銳意門訓大會
[00:01:14.200 --> 00:01:17.560]  我們各位教同工在上年10月都有參加
[00:01:17.560 --> 00:01:22.760]  在當日他講了一個關於門道訓練的危機給我
[00:01:22.760 --> 00:01:25.640]  都很想和大家分享作為今天的引言
[00:01:25.640 --> 00:01:28.720]  他說今天作門徒的危機是什麼呢?
[00:01:28.720 --> 00:01:31.200]  就是缺乏深度的危機
[00:01:31.200 --> 00:01:35.280]  很多教會的使命宣言都會說作門徒門徒訓練這些詞句
[00:01:35.280 --> 00:01:39.080]  但很少言而有行地去銳意門訓
[00:01:39.080 --> 00:01:42.120]  貫徹聖經地去作門徒
[00:01:42.120 --> 00:01:46.560]  更少教會會持續繁衍一些有靈命深度的門徒
[00:01:46.560 --> 00:01:50.040]  在現代的教會面對的最重大關注是什麼呢?
[00:01:50.040 --> 00:01:54.160]  就是克服繁衍有屬靈深度門徒的困難
[00:01:54.160 --> 00:01:59.960]  這個困難可能就是缺乏一個清晰的耕耘門徒的內在生命
[00:01:59.960 --> 00:02:01.480]  這個方法
[00:02:01.480 --> 00:02:04.960]  沒有了這個方法或者沒有一個清晰的方法
[00:02:04.960 --> 00:02:07.440]  很平庸令人乍目結舌
[00:02:07.440 --> 00:02:12.680]  培育門徒內在生命可能就是今天作門徒的絕對重要性
[00:02:12.680 --> 00:02:16.840]  當然這是一些翻譯所以可能中文不太流利
[00:02:16.840 --> 00:02:20.840]  給我提醒的就是我們作門徒
[00:02:20.840 --> 00:02:24.480]  特別我們說要做使人得見的門徒怎樣做呢?
[00:02:24.480 --> 00:02:27.960]  原來很需要一個有深度的生命
[00:02:27.960 --> 00:02:30.520]  要貫徹在聖經裏面
[00:02:30.520 --> 00:02:33.640]  而且我們要耕耘我們的內在生命
[00:02:33.640 --> 00:02:36.480]  與上帝建立一個緊密的關係
[00:02:36.480 --> 00:02:41.240]  所以作門徒不單單是口講或者上一個課程那麼簡單
[00:02:41.240 --> 00:02:45.720]  而是希望透過今天的講道或者透過我們今季的季題
[00:02:45.720 --> 00:02:49.360]  提醒我們作門徒是一生一世的旅程
[00:02:49.360 --> 00:02:51.640]  是與主建立親密關係
[00:02:51.640 --> 00:02:55.440]  就像剛才詩歌詩班獻上「更加甘甜」
[00:02:55.440 --> 00:02:58.240]  我們與上帝的關係也應該是甜蜜
[00:02:58.240 --> 00:03:00.920]  以及是更主主親近的
[00:03:00.920 --> 00:03:04.040]  最後今天的訊息我們再有一個祈禱
[00:03:04.040 --> 00:03:05.840]  慈悲我天父
[00:03:05.840 --> 00:03:07.840]  求聖靈這一刻幫助我們
[00:03:07.840 --> 00:03:10.880]  我求聖靈你充滿在我們眾人當中
[00:03:10.880 --> 00:03:12.880]  臨在這個崇拜的裏面
[00:03:12.880 --> 00:03:15.720]  讓我作為上帝祢的僕人
[00:03:15.720 --> 00:03:19.720]  讓我能夠將神祢的話語像流通的管子一樣
[00:03:19.720 --> 00:03:22.600]  傳達到弟兄姊妹的心田當中
[00:03:22.600 --> 00:03:27.800]  我們就是一個心田要被上帝的話語栽植
[00:03:27.800 --> 00:03:30.200]  去萌芽、去開花結果
[00:03:30.200 --> 00:03:32.200]  能夠結出百倍的果子
[00:03:32.200 --> 00:03:35.880]  求聖靈你在眾人當中打開我們的耳朵、打開我們的心
[00:03:35.880 --> 00:03:40.920]  以在能夠為主將你的道種結出果子來
