
[00:00:00.000 --> 00:00:02.600]  今天我想透過一些經文
[00:00:02.600 --> 00:00:03.920]  幾位人物
[00:00:03.920 --> 00:00:05.220]  去和大家分享一下
[00:00:05.220 --> 00:00:07.220]  我們來到主的面前
[00:00:07.220 --> 00:00:11.320]  被祂的愛感動
[00:00:11.320 --> 00:00:13.600]  或者和祂見面的時候
[00:00:13.600 --> 00:00:15.600]  我們裏面的反應是怎樣的
[00:00:15.600 --> 00:00:20.600]  我們一起看幾段經文
[00:00:20.600 --> 00:00:22.700]  第一段經文就是
[00:00:22.700 --> 00:00:24.700]  路加福音第十八章
[00:00:24.700 --> 00:00:27.620]  十八節到三十節
[00:00:27.620 --> 00:00:30.120]  這裏有一個很有錢的官
[00:00:30.120 --> 00:00:32.120]  來見耶穌
[00:00:32.120 --> 00:00:34.120]  路加福音第十八章
[00:00:34.120 --> 00:00:37.120]  第十八節一路到三十節
[00:00:37.120 --> 00:00:41.120]  我想姐妹讀這一段聖經好嗎
[00:00:41.120 --> 00:00:43.120]  路加福音第十八章
[00:00:43.120 --> 00:00:45.120]  十八節至到三十節
[00:00:45.120 --> 00:00:47.120]  有囉好請姐妹
[00:00:47.120 --> 00:00:48.120]  一二起
[00:00:48.120 --> 00:00:50.120]  有一個官問耶穌說
[00:00:50.120 --> 00:00:52.120]  良善的夫子
[00:00:52.120 --> 00:00:54.120]  我該作什麼事
[00:00:54.120 --> 00:00:56.120]  才可以承受永生
[00:00:56.120 --> 00:00:58.120]  耶穌對他說
[00:00:58.120 --> 00:01:00.120]  你為什麼稱我是良善的
[00:01:00.120 --> 00:01:02.120]  除了神一位之外
[00:01:02.120 --> 00:01:04.120]  再沒有良善的
[00:01:04.120 --> 00:01:06.120]  誡命你是曉得的
[00:01:06.120 --> 00:01:07.120]  不可姦淫
[00:01:07.120 --> 00:01:08.120]  不可殺人
[00:01:08.120 --> 00:01:09.120]  不可偷渡
[00:01:09.120 --> 00:01:11.120]  不可作假見證
[00:01:11.120 --> 00:01:13.120]  當孝敬父母
[00:01:13.120 --> 00:01:14.120]  那人說
[00:01:14.120 --> 00:01:17.120]  這一切我從小都遵守了
[00:01:17.120 --> 00:01:18.120]  耶穌聽見了
[00:01:18.120 --> 00:01:19.120]  就說
[00:01:19.120 --> 00:01:21.120]  你還缺少一件
[00:01:21.120 --> 00:01:23.120]  要變賣你一切所有的
[00:01:23.120 --> 00:01:24.120]  分給窮人
[00:01:24.120 --> 00:01:27.120]  就必有財寶在天上
[00:01:27.120 --> 00:01:29.120]  你還要來跟從我
[00:01:29.120 --> 00:01:32.120]  他聽見這話就甚憂愁
