
[00:00:00.000 --> 00:00:04.000]  各位姐妹平安,今日我哋睇呢個好熟嘅名
[00:00:04.000 --> 00:00:06.000]  如果大家去教會耐啲呢
[00:00:06.000 --> 00:00:09.000]  都會聽過「以便以謝」
[00:00:09.000 --> 00:00:11.000]  「以便以謝」呢個四個字呢
[00:00:11.000 --> 00:00:14.000]  當然你讀落去都識讀啦
[00:00:14.000 --> 00:00:16.000]  不過就唔明佢講乜
[00:00:16.000 --> 00:00:20.000]  咁呢就我去到好多唔同教會度講到呢
[00:00:20.000 --> 00:00:22.000]  都見到有教會呢
[00:00:22.000 --> 00:00:25.000]  係喺佢個牌上面一間門口呢
[00:00:25.000 --> 00:00:27.000]  就寫住「以便以謝」咁樣
[00:00:27.000 --> 00:00:29.000]  咁呢就咩意思呢?
[00:00:29.000 --> 00:00:31.000]  「三會議記上帝七章」
[00:00:31.000 --> 00:00:33.000]  咁今日係生命樹
[00:00:33.000 --> 00:00:35.000]  繼續同大家睇聖經嘅人
[00:00:35.000 --> 00:00:36.000]  聖經嘅事
[00:00:36.000 --> 00:00:40.000]  睇下呢一位「以便以謝」嘅上帝
[00:00:40.000 --> 00:00:42.000]  「三會議記上帝七章」
[00:00:42.000 --> 00:00:43.000]  十一節
[00:00:43.000 --> 00:00:48.000]  「以色列人從米斯巴出來追趕非利士人
[00:00:48.000 --> 00:00:52.000]  擊殺他們直到巴甲的下邊」
[00:00:52.000 --> 00:00:55.000]  咁呢個跟住上一集嘛
[00:00:55.000 --> 00:00:57.000]  就係佢哋得勝非利士人啦
[00:00:57.000 --> 00:00:59.000]  就係上帝大發雷聲
[00:00:59.000 --> 00:01:00.000]  大發雷霆
[00:01:00.000 --> 00:01:01.000]  咁行落嚟
[00:01:01.000 --> 00:01:03.000]  嘩!令到佢哋好驚
[00:01:03.000 --> 00:01:04.000]  就打輸啦
[00:01:04.000 --> 00:01:06.000]  「以色列人由米斯巴出嚟
[00:01:06.000 --> 00:01:10.000]  因為非利士人去米斯巴見佢哋憲制聚集
[00:01:10.000 --> 00:01:11.000]  攻擊佢
[00:01:11.000 --> 00:01:13.000]  點知俾佢追趕返轉頭
[00:01:13.000 --> 00:01:15.000]  擊殺咗佢哋好多人
[00:01:15.000 --> 00:01:19.000]  一直追趕到巴甲嘅下邊
[00:01:19.000 --> 00:01:21.000]  撒慕爾就將一塊石
[00:01:21.000 --> 00:01:25.000]  立在米斯巴和扇嘅中間
[00:01:25.000 --> 00:01:27.000]  就為呢塊石頭起咗個名
[00:01:27.000 --> 00:01:29.000]  就叫做「以便以謝」
[00:01:29.000 --> 00:01:31.000]  係一陣要講嘅第一點嚟㗎
[00:01:31.000 --> 00:01:32.000]  就話啦
[00:01:32.000 --> 00:01:36.000]  「到如今耶和華都幫助我哋
