
[00:00:00.000 --> 00:00:03.960]  我們再一次來祈禱領受神的話語
[00:00:03.960 --> 00:00:08.220]  天父多謝你讓我們在這裡一起很開心
[00:00:08.220 --> 00:00:12.880]  一起敬拜農曆新年的時間
[00:00:12.880 --> 00:00:17.680]  我們中國人也有新曆新年、農曆新年
[00:00:17.680 --> 00:00:21.140]  在這段階段我們時時思想
[00:00:21.140 --> 00:00:22.860]  取舊迎新
[00:00:22.860 --> 00:00:26.200]  我們一起來求主幫助我們
[00:00:26.200 --> 00:00:29.360]  仍然在農曆新年的時間
[00:00:29.360 --> 00:00:31.360]  我們在二月中的時間
[00:00:31.360 --> 00:00:36.440]  我們可以再一次思想你的話語的時候
[00:00:36.440 --> 00:00:38.440]  真的心意需要更新
[00:00:38.440 --> 00:00:40.340]  尤其是面對這個時代
[00:00:40.340 --> 00:00:41.460]  面對Pandemic(疫情)
[00:00:41.460 --> 00:00:44.140]  面對很多的挑戰
[00:00:44.140 --> 00:00:47.320]  我們求你先去幫助我們
[00:00:47.320 --> 00:00:49.720]  有一個準確的方向
[00:00:49.720 --> 00:00:51.860]  以致我們成為你的門徒
[00:00:51.860 --> 00:00:54.520]  去面對今年的挑戰
[00:00:54.520 --> 00:00:56.520]  祈禱奉耶穌基督的名字
[00:00:56.520 --> 00:00:57.340]  阿們
[00:00:58.120 --> 00:01:02.900]  我們剛剛多謝主席讀出這段經文
[00:01:02.900 --> 00:01:05.420]  這段經文也不是很長
[00:01:05.420 --> 00:01:07.920]  也因為在投影
[00:01:07.920 --> 00:01:11.560]  不能夠所有經文一次過看完
[00:01:11.560 --> 00:01:14.180]  但是基本上是分開三段的
[00:01:14.180 --> 00:01:17.160]  第一段是第一節到第六節
[00:01:17.160 --> 00:01:20.120]  如果你在現場拿一個周刊比較容易看
[00:01:20.120 --> 00:01:21.360]  雖然是一堆
[00:01:21.360 --> 00:01:23.360]  但是一節到六節
[00:01:23.360 --> 00:01:25.600]  可以說是一個背景
[00:01:25.600 --> 00:01:29.440]  撕碎約翰出來的背景也能夠引用二賽亞書
[00:01:29.440 --> 00:01:32.540]  第二段就是第七節
[00:01:32.540 --> 00:01:35.240]  到第十四節
[00:01:35.240 --> 00:01:41.920]  就是約翰跟那些找他受洗的人所說的話
[00:01:41.920 --> 00:01:45.140]  這是路加方所謂獨有的經文
[00:01:45.140 --> 00:01:48.560]  其他的方書講撕碎約翰
[00:01:48.560 --> 00:01:49.880]  不是這麼說的
[00:01:49.880 --> 00:01:51.080]  這段是很特別的
[00:01:51.080 --> 00:01:53.240]  所以我們也會看多一點
[00:01:53.240 --> 00:01:56.540]  最後十五節到第二十節
[00:01:56.540 --> 00:02:01.960]  是講到當約翰在侍奉裡面
[00:02:01.960 --> 00:02:03.140]  很厲害的
[00:02:03.140 --> 00:02:05.880]  很多人來受洗的時候
[00:02:05.880 --> 00:02:06.820]  百姓
[00:02:06.820 --> 00:02:08.240]  十五節是這麼說的
[00:02:08.240 --> 00:02:09.600]  他們在想
[00:02:09.600 --> 00:02:11.600]  你是不是基督呢?
[00:02:11.600 --> 00:02:12.880]  他就解釋了
[00:02:12.880 --> 00:02:13.720]  他不是基督
[00:02:13.720 --> 00:02:15.840]  他是基督的先鋒而已
[00:02:15.840 --> 00:02:18.320]  所以分這三段
[00:02:18.320 --> 00:02:20.500]  可以慢慢去看
[00:02:20.500 --> 00:02:25.800]  轉一轉PowerPoint
[00:02:25.800 --> 00:02:28.180]  我這段已經講到第六講了
[00:02:28.180 --> 00:02:29.480]  是路加福音的
[00:02:29.480 --> 00:02:34.080]  我就想在早堂和中堂
[00:02:34.080 --> 00:02:38.460]  特別是講撕碎約翰如何修籍主的路
[00:02:38.460 --> 00:02:41.740]  其實有時候我們看聖經
[00:02:41.740 --> 00:02:42.620]  我經常說
[00:02:42.620 --> 00:02:46.120]  很容易會看得太多覺得自己明白了
[00:02:46.120 --> 00:02:48.320]  或者也是這樣的
[00:02:48.320 --> 00:02:52.600]  你有沒有想過為什麼在耶穌來之前
