
[00:00:00.000 --> 00:00:02.000]  各位網友午安
[00:00:02.000 --> 00:00:07.000]  今天繼續和大家分享傳道書給我們的一些啟發
[00:00:07.000 --> 00:00:16.320]  上星期大家應該聽了林牧師在講第九章前半部分的一字到十字
[00:00:16.320 --> 00:00:20.000]  他強調了人生總要面對一件什麼事
[00:00:20.000 --> 00:00:22.520]  無論你是什麼人都要面對一件事
[00:00:22.520 --> 00:00:23.420]  就是死
[00:00:23.420 --> 00:00:26.660]  大家都可能有一種想死的感覺
[00:00:26.660 --> 00:00:28.040]  又要講傳道書
[00:00:29.300 --> 00:00:31.300]  但是死既然是一個現實
[00:00:31.300 --> 00:00:33.300]  我們就要怎樣去面對
[00:00:33.300 --> 00:00:37.480]  其實傳道書第九章裡面一點都不容易
[00:00:37.480 --> 00:00:40.880]  去讀的時候你會閱讀可能有一種很沉重的心情
[00:00:40.880 --> 00:00:45.460]  特別當你讀到第十一至後面那部分的時候
[00:00:45.460 --> 00:00:46.960]  去到結束那裡
[00:00:46.960 --> 00:00:50.460]  甚至乎你一種不斷被否定
[00:00:50.460 --> 00:00:53.460]  不斷被發覺不行
[00:00:53.460 --> 00:00:55.800]  樣樣都不行的一個處境裡面
[00:00:55.800 --> 00:01:01.640]  怎樣我們能夠在這個你搞不定無能為力的現實裡面
[00:01:01.640 --> 00:01:05.160]  仍然能夠去走這條信仰之路呢
[00:01:05.160 --> 00:01:09.360]  正正的傳道就是今天要我們去面對一個很重要的學習
[00:01:09.360 --> 00:01:12.660]  讓我們一齊來去禱告
[00:01:12.660 --> 00:01:18.660]  抽獎我們去仰望你的恩受帶領著我們
[00:01:18.660 --> 00:01:22.160]  願聖靈來臨在我們整個群體當中
[00:01:22.160 --> 00:01:25.160]  來去得著聖經給我們的啟發
[00:01:25.160 --> 00:01:30.160]  藉著傳道者的心願心緒的智慧
[00:01:30.160 --> 00:01:34.160]  來幫助我們懂得去面對我們的人生
[00:01:34.160 --> 00:01:35.160]  求主引導
[00:01:35.160 --> 00:01:37.160]  禱告奉耶穌基督生命祈求
[00:01:37.160 --> 00:01:39.160]  阿們
[00:01:39.160 --> 00:01:45.160]  在整段傳道書第九章的十一至十八章裡面
[00:01:45.160 --> 00:01:49.160]  在我去預備的過程裡面
[00:01:49.160 --> 00:01:56.160]  我有三個的角度來去思考這段經文
[00:01:56.160 --> 00:02:02.160]  這段經文無可否認的一個很沉重的感覺
[00:02:02.160 --> 00:02:05.160]  他一路去提出很多否定
[00:02:05.160 --> 00:02:07.160]  很多很多東西
[00:02:07.160 --> 00:02:09.160]  其實我們不能夠掌握
[00:02:09.160 --> 00:02:13.160]  甚至乎你看到最後的時候你會發覺
[00:02:13.160 --> 00:02:15.160]  他連智慧
[00:02:15.160 --> 00:02:17.160]  我們一路以為智慧是很重要
[00:02:17.160 --> 00:02:20.160]  幫我們面對著很多人生的時候
[00:02:20.160 --> 00:02:22.160]  他都提出一個否定
[00:02:22.160 --> 00:02:26.160]  智慧都不能夠改變這個現實
[00:02:26.160 --> 00:02:28.160]  今天我就想和大家一起
[00:02:28.160 --> 00:02:34.160]  從三個向度來進入經文裡面的內容
[00:02:34.160 --> 00:02:36.160]  在你的引言裡面
[00:02:36.160 --> 00:02:38.160]  我三個向度是這樣的
[00:02:38.160 --> 00:02:42.160]  無能和限制的現實裡面我們怎麼辦
[00:02:42.160 --> 00:02:47.160]  還有兩套電影《鋼鋸鈴》和《沉默》
[00:02:47.160 --> 00:02:49.160]  都和信仰有關的電影
[00:02:49.160 --> 00:02:51.160]  又給我們什麼啟發
[00:02:51.160 --> 00:02:55.160]  和傳道書裡面的內容有什麼共鳴
[00:02:55.160 --> 00:02:58.160]  最後是我個人的反省
[00:02:58.160 --> 00:03:00.160]  在十七十八章裡面
[00:03:00.160 --> 00:03:02.160]  怎樣來自處
[00:03:02.160 --> 00:03:04.160]  我們先看經文的第一部分
[00:03:04.160 --> 00:03:06.160]  十一至十二章裡面
[00:03:06.160 --> 00:03:10.160]  在這段經文裡面出現了五個
[00:03:10.160 --> 00:03:13.160]  五個的未必
[00:03:13.160 --> 00:03:17.160]  而這五個未必其實是否定了我們五個
[00:03:17.160 --> 00:03:20.160]  今天人所重視的能力
[00:03:20.160 --> 00:03:24.160]  快跑、強壯、智慧、聰明和學問
