
[00:00:00.000 --> 00:00:05.840]  好,今天的講題是有些恐怖
[00:00:05.840 --> 00:00:09.520]  叫「比悲傷更悲傷」
[00:00:09.520 --> 00:00:12.520]  不過還有三個字的「學習」
[00:00:12.520 --> 00:00:15.320]  所以今天的講題是「學習之先」
[00:00:15.320 --> 00:00:17.600]  我不是叫你學習悲傷
[00:00:17.600 --> 00:00:21.520]  是裡面怎樣學習到我們生命的功課
[00:00:21.520 --> 00:00:23.440]  好叫我們有改變
[00:00:23.440 --> 00:00:25.920]  所以開始聽這篇《道之先》
[00:00:25.920 --> 00:00:32.600]  同隔離講一件事,叫你不要學
[00:00:32.600 --> 00:00:35.520]  並且再講一句
[00:00:35.520 --> 00:00:38.640]  「你是會成長的」
[00:00:38.640 --> 00:00:42.480]  同隔離講一次,「你是會成長的」
[00:00:42.480 --> 00:00:46.720]  因為今次這件事實在是非常之恐怖
[00:00:46.720 --> 00:00:48.880]  先有少許引言
[00:00:48.880 --> 00:00:52.720]  在一年多前,有一宗新聞在台灣
[00:00:52.720 --> 00:00:56.680]  講到兩個兒子,知識千萬身家
[00:00:56.680 --> 00:00:59.480]  認錢不認人,趕父出門
[00:00:59.480 --> 00:01:03.360]  話說這個父親在年輕時喪妻
[00:01:03.360 --> 00:01:06.000]  自己養育兩子一女
[00:01:06.000 --> 00:01:09.920]  因為年紀已高,立下遺囑
[00:01:09.920 --> 00:01:13.040]  然後就跟大兒子住
[00:01:13.040 --> 00:01:17.800]  大兒子知識到父親有五千多萬台幣
[00:01:17.800 --> 00:01:22.880]  身家之後,立刻態度一百八十六轉變
[00:01:22.880 --> 00:01:25.320]  就趕他出門
[00:01:25.320 --> 00:01:26.880]  這個兒子真厲害
[00:01:26.880 --> 00:01:30.680]  其實也不算厲害,太早被人知道
[00:01:30.680 --> 00:01:32.760]  接著到了二兒子那裡住
[00:01:32.760 --> 00:01:35.840]  住著又將遺囑改給二兒子
[00:01:35.840 --> 00:01:40.040]  二兒子知道有千萬身家,即幾千萬台幣
[00:01:40.040 --> 00:01:43.720]  又認錢不認人,態度冷淡
[00:01:43.720 --> 00:01:47.680]  令他傷心弱絕,結果去投靠三女
[00:01:47.680 --> 00:01:50.560]  三女對他很好,照顧淫媚
[00:01:50.560 --> 00:01:55.160]  接著照顧到年老離世
[00:01:55.160 --> 00:01:59.560]  離世後發現,有三個遺囑出現了
[00:01:59.560 --> 00:02:03.280]  小女都不知道,有大兒子、二兒子和小女
[00:02:03.280 --> 00:02:06.800]  到了對寶宮堂
[00:02:06.800 --> 00:02:10.120]  最後不知道大家知不知道哪個遺囑勝出
[00:02:10.120 --> 00:02:12.400]  你知不知道,法律上是誰
[00:02:12.400 --> 00:02:15.560]  最近那個,原來沒有了
[00:02:15.560 --> 00:02:18.520]  可以說一件事
[00:02:18.520 --> 00:02:20.800]  臨終前一招反擊
[00:02:20.800 --> 00:02:24.320]  將所有財產轉至女兒名下
[00:02:24.320 --> 00:02:27.680]  這些情況其實一點也不是新鮮的
[00:02:27.680 --> 00:02:29.080]  家裡經常發生
[00:02:29.080 --> 00:02:31.880]  爭權、爭錢、爭寵
[00:02:31.880 --> 00:02:33.880]  公司經常發生
[00:02:33.880 --> 00:02:35.360]  爭權、爭錢
[00:02:35.360 --> 00:02:36.960]  政權經常發生
[00:02:36.960 --> 00:02:38.320]  各與各都發生
[00:02:38.320 --> 00:02:40.800]  所以今天,我們說了幾千年前
[00:02:40.800 --> 00:02:46.640]  大衛王這個家族,在宮廷的事件
[00:02:46.640 --> 00:02:48.120]  究竟發生了甚麼事
[00:02:48.120 --> 00:02:51.800]  這個爭權、爭產的風暴,究竟為甚麼
[00:02:51.800 --> 00:02:55.600]  上星期,梁牧師也就這件事件
[00:02:55.600 --> 00:02:57.840]  非常精彩的三點
[00:02:57.840 --> 00:03:01.320]  當天我去完美國,順學女讀書
[00:03:01.320 --> 00:03:04.240]  去完加拿大,探望親愛的父母
[00:03:04.240 --> 00:03:07.360]  回到隔壁的時候,聽見窗戶
[00:03:07.360 --> 00:03:08.560]  非常入心
[00:03:08.560 --> 00:03:11.360]  也很精彩,對我很多的提醒
[00:03:11.360 --> 00:03:14.560]  他用三點,真正面對問題
[00:03:14.560 --> 00:03:15.960]  第一點,記不記得?
[00:03:15.960 --> 00:03:16.920]  記不記得?
[00:03:16.920 --> 00:03:18.560]  那你先記得吧
[00:03:18.560 --> 00:03:20.320]  鼓勵梁牧師
[00:03:20.320 --> 00:03:24.080]  第二,信靠神忠心行事
[00:03:24.080 --> 00:03:27.320]  當然是梁牧師,你抄低當然抄低
[00:03:27.320 --> 00:03:30.320]  第三,忍淚到底
[00:03:30.320 --> 00:03:33.160]  今天我用類似的經文
[00:03:33.160 --> 00:03:34.760]  但是用另一個角度
[00:03:34.760 --> 00:03:37.240]  從人心的角度
[00:03:37.240 --> 00:03:40.120]  心裡黑暗的角度
[00:03:40.120 --> 00:03:41.760]  照明的角度
[00:03:41.760 --> 00:03:43.760]  內心世界的角度再看一看
[00:03:43.760 --> 00:03:46.160]  究竟在這個向道
[00:03:46.160 --> 00:03:47.360]  我們又學到些甚麼
[00:03:47.360 --> 00:03:50.640]  更加豐富這段經文
[00:03:50.640 --> 00:03:51.600]  我們重溫一下
[00:03:51.600 --> 00:03:55.120]  壓沙龍究竟做甚麼殺暗聯
[00:03:55.120 --> 00:03:57.480]  暗聯是他的大哥,記不記得?
[00:03:57.480 --> 00:04:00.120]  是同父異母的大哥
[00:04:00.120 --> 00:04:03.240]  壓沙龍和他的妹妹叫他瑪
[00:04:03.240 --> 00:04:04.800]  有這件事
[00:04:04.800 --> 00:04:06.240]  我們先讀一讀這段經文
[00:04:06.240 --> 00:04:08.600]  撒姆爾基亞十三章二十八節
[00:04:08.600 --> 00:04:10.560]  我們一起讀,一二三
[00:04:10.560 --> 00:04:13.280]  壓沙龍吩咐僕人說
[00:04:13.280 --> 00:04:17.600]  你不注意,暗聯引咒卓拜的時刻
[00:04:17.600 --> 00:04:20.160]  我對你不說,殺暗聯
[00:04:20.160 --> 00:04:23.040]  你們要殺他,不要害怕
[00:04:23.040 --> 00:04:25.600]  這不是我吩咐你們害怕
[00:04:25.600 --> 00:04:28.160]  你們只會喪膽奮勇
[00:04:28.160 --> 00:04:33.120]  壓沙龍叫僕人照他吩咐殺他大哥
[00:04:33.120 --> 00:04:38.880]  原因是他大哥強姦他同父異母的妹妹
[00:04:38.880 --> 00:04:42.320]  即是壓沙龍的胞妹
[00:04:42.320 --> 00:04:43.440]  我們都知道
[00:04:43.440 --> 00:04:46.720]  本來暗聯是成雞人
[00:04:46.720 --> 00:04:52.520]  但這件事正正反映宮廷內的道德敗壞
[00:04:52.520 --> 00:04:57.040]  而宮廷的掌管人是誰?
[00:04:57.040 --> 00:04:59.360]  大衛,很明顯
[00:04:59.360 --> 00:05:02.240]  而大衛置之不理是有原因的
[00:05:02.240 --> 00:05:05.600]  我相信因為他自己也心熟不靜
[00:05:05.600 --> 00:05:07.320]  怎樣去教人呢?
[00:05:07.320 --> 00:05:12.560]  於是乎壓沙龍就自己做審判官
[00:05:12.560 --> 00:05:15.040]  自己下手,殺了他哥
[00:05:15.040 --> 00:05:16.240]  成不成功?
[00:05:16.240 --> 00:05:16.920]  成功
[00:05:16.920 --> 00:05:18.320]  之後會怎樣?
[00:05:18.320 --> 00:05:19.680]  走啦,逃跑啦
[00:05:19.680 --> 00:05:22.480]  大家看看,這個拋棵做得很好
[00:05:22.480 --> 00:05:24.400]  真的會跑
[00:05:24.400 --> 00:05:25.400]  行不行?
[00:05:25.400 --> 00:05:26.400]  但跑不完
[00:05:26.400 --> 00:05:27.680]  因為怎樣?未完
[00:05:27.680 --> 00:05:28.720]  他不是真的走
[00:05:28.720 --> 00:05:30.080]  還有事發生
[00:05:30.080 --> 00:05:31.440]  我們再看一次,好嗎?
[00:05:31.440 --> 00:05:32.880]  這挺好的
[00:05:32.880 --> 00:05:35.200]  多謝莎莎幫我們做
[00:05:35.200 --> 00:05:36.040]  好了
[00:05:36.040 --> 00:05:37.200]  大衛有甚麼感覺呢?
[00:05:37.200 --> 00:05:44.360]  爸爸看到傷殘大兒子和三兒子壓沙龍
[00:05:44.360 --> 00:05:45.640]  究竟怎樣呢?
[00:05:45.640 --> 00:05:47.200]  他的感受當然是傷心
[00:05:47.200 --> 00:05:47.840]  我們一起讀,好嗎?
[00:05:47.840 --> 00:05:49.000]  一二三
[00:05:49.000 --> 00:05:53.040]  大衛天天為他兒子悲哀
[00:05:53.040 --> 00:05:55.240]  壓沙龍無路可走
[00:05:55.240 --> 00:05:57.400]  在那裡穿山衣
[00:05:57.400 --> 00:05:59.240]  含冤死地遇黑
[00:05:59.240 --> 00:06:01.400]  大衛仍然安慰
[00:06:01.400 --> 00:06:04.040]  心裡每次想念壓沙龍
[00:06:04.040 --> 00:06:07.080]  悲哀,是真的
[00:06:07.080 --> 00:06:09.000]  不難想像
[00:06:09.000 --> 00:06:11.760]  但除了悲哀,他還做了甚麼呢?
[00:06:11.760 --> 00:06:13.120]  有沒有做事?
[00:06:13.120 --> 00:06:14.360]  沒有
[00:06:14.360 --> 00:06:15.600]  怎樣?沒有教導
[00:06:15.600 --> 00:06:16.680]  沒有面對
[00:06:16.680 --> 00:06:17.720]  台調政策
[00:06:17.720 --> 00:06:19.040]  總之當作看不到
[00:06:19.040 --> 00:06:19.960]  很多時候我們也是
[00:06:19.960 --> 00:06:21.760]  看到有些東西很難處理
[00:06:21.760 --> 00:06:24.240]  我當作看不到,睡一覺
[00:06:24.240 --> 00:06:25.480]  明天起床
[00:06:25.480 --> 00:06:27.560]  All is well
[00:06:27.560 --> 00:06:28.680]  有沒有試過?
[00:06:28.680 --> 00:06:29.600]  想啊
[00:06:29.600 --> 00:06:30.040]  有沒有試過?
