
[00:00:00.000 --> 00:00:02.960]  繼續和大家去思想這個詩篇
[00:00:02.960 --> 00:00:05.080]  我記得我和大家提過
[00:00:05.080 --> 00:00:08.220]  這個詩篇的第一節
[00:00:08.220 --> 00:00:13.760]  其實真的令到我是很多時間去思考
[00:00:13.760 --> 00:00:16.800]  去看一些參考書
[00:00:16.800 --> 00:00:20.940]  因爲它一開始這個詩篇23篇它就說
[00:00:20.940 --> 00:00:24.520]  「耶和華是我的目者,我必不辭缺乏」
[00:00:24.520 --> 00:00:27.280]  「我必不辭缺乏」是什麼意思呢?
[00:00:27.280 --> 00:00:31.700]  是不是代表說,所有一切的東西都是順利的
[00:00:31.700 --> 00:00:33.700]  沒有問題的
[00:00:33.700 --> 00:00:37.480]  我今天早上起牀
[00:00:37.480 --> 00:00:44.340]  因爲今天早上師母要開車去一個地方
[00:00:44.340 --> 00:00:48.000]  其實我心裏面已經有個擔心
[00:00:48.000 --> 00:00:51.220]  擔心什麼呢?擔心她的車插不上
[00:00:51.220 --> 00:00:53.420]  因爲我們一人一車
[00:00:53.420 --> 00:00:57.500]  她的車三天沒有開了
[00:00:57.500 --> 00:01:02.040]  三天沒有開,因爲她停在樹蔭底下
[00:01:02.040 --> 00:01:05.300]  因爲我們自己沒有停泊,停在街上
[00:01:05.300 --> 00:01:07.160]  樹蔭底下,這麼漂亮的位置
[00:01:07.160 --> 00:01:09.860]  我不想開走了出去
[00:01:09.860 --> 00:01:12.700]  回來沒有了位置,三天沒有開
[00:01:12.700 --> 00:01:15.420]  三天沒有開車,應該怎麼樣?
[00:01:15.420 --> 00:01:17.420]  應該是開得起的,對不對?
[00:01:17.420 --> 00:01:20.860]  但這輛車是有不好的記錄的
[00:01:20.860 --> 00:01:24.520]  事到過去這一年都還沒完
[00:01:24.520 --> 00:01:29.180]  起碼有四至五次是開不上車的
[00:01:29.180 --> 00:01:31.940]  已經找過師傅修理過
[00:01:31.940 --> 00:01:36.500]  我心裏面已經有一點擔憂的陰影
[00:01:36.500 --> 00:01:41.780]  我早上起牀洗澡、刷牙、洗臉
[00:01:41.780 --> 00:01:44.340]  穿着衣服的時候,突然間電話響了
[00:01:44.340 --> 00:01:47.340]  我知道出事了
[00:01:47.340 --> 00:01:49.060]  師母電話打來
[00:01:49.060 --> 00:01:51.480]  「你出來幫我針車吧」
[00:01:51.480 --> 00:01:53.140]  大家知道什麼是針車嗎?
[00:01:53.140 --> 00:01:55.140]  針車,針是英文來的
[00:01:55.140 --> 00:01:57.540]  就是拖着車
[00:01:57.540 --> 00:02:01.020]  那時候我已經開始穿衣服,準備回來
[00:02:01.020 --> 00:02:02.300]  我說不要針車了
[00:02:02.300 --> 00:02:05.840]  因爲出去又搞得全身大汗,這種天氣
[00:02:05.840 --> 00:02:08.260]  我說不如你開我那輛
[00:02:08.260 --> 00:02:11.460]  因爲我有輛藍色的小車
[00:02:11.460 --> 00:02:15.620]  你去做你的事,不過先車我回來救
[00:02:15.620 --> 00:02:21.100]  我又在想這一次的遭遇
[00:02:21.100 --> 00:02:24.140]  如果神是我的目者,我必不辭缺乏
[00:02:24.140 --> 00:02:26.580]  爲什麼我的車又不行呢?
[00:02:26.580 --> 00:02:29.540]  其實早幾個星期,如果大家有印象
[00:02:29.540 --> 00:02:32.180]  我是不是說我有一輛車開出街
[00:02:32.180 --> 00:02:35.860]  車震得很厲害,結果我開回家
[00:02:35.860 --> 00:02:39.060]  不過anyway
[00:02:39.060 --> 00:02:41.420]  但其實我是不是真的缺乏呢?
